SOURCELONG:Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.fantasyflightgames.com																														
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Abomination Type Traits|PRERACE:1,RACETYPE=Abomination																															
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Abomination|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Abomination]																															
																																
Abomination Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES																				ABILITY:Special Ability|AUTOMATIC|Abomination ~ Alien Psychology|Abomination ~ Bizarre Physiology|Abomination ~ Unknown Philosophy|Abomination ~ Unholy Presence									SOURCEPAGE:MM1
Abomination Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Abomination don't eat/sleep/breathe. They have Alien Psychology, Bizarre Physiology, Unknown Philosophy and Unholy Presence.	KEY:Traits Output ~ Abomination																											SOURCEPAGE:DD
																																
Alien Psychology	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Abominations are immune to all mind-influencing effects, fear-based effects, and all spells from the enchantment school. Their minds work in such strange ways, if they even have minds, that mortal spells and magic cannot hope to alter them.	KEY:Abomination ~ Alien Psychology																		ABILITY:Special Ability|AUTOMATIC|Immunity to Mind-Affecting|Immunity To Fear|Immunity to Enchantment									SOURCEPAGE:DD
Bizarre Physiology	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:The forms and bodies that abominations adopt are warped shells spawned by the cosmos to contain the utter blasphemy of their intrusion into the physical world. They tend to take on horrific guises partially because an intelligent mind cannot comprehend their true forms. The cosmos literally spawns a husk of flesh and bone to contain their psychic and physical aspects when they breach the wall into the physical planes. Thus, abominations are immune to critical hits, they cannot be flanked, and they never suffer sneak attack damage. They are immune to disease, poison, stunning and sleep effects, and death effects.	KEY:Abomination ~ Bizarre Physiology																		ABILITY:Special Ability|AUTOMATIC|Immunity to Disease|Immunity to Poison|Immunity to Stunning|Immunity to Sleep|Immunity To Death Effects									SOURCEPAGE:DD
Unknown Philosophy	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:An abomination never has an alignment. As a creature from a wholly alien realm, it has no conception of or need for moral and philosophical values as mortal creatures know them. Any spell, effect, or ability that relies on alignment always fails to affect them. If a spell or ability lists an effect that applies if none of its alignment-specific ones work, use that default result.	KEY:Abomination ~ Unknown Philosophy																											SOURCEPAGE:DD
Unholy Presence	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Reality shifts and strains its very fiber to accommodate an abomination's presence. By the same token, a mortal creature's mind can barely comprehend the utter blasphemy of reality that an abomination presents.	KEY:Abomination ~ Unholy Presence																											SOURCEPAGE:DD
