SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																														
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A reef warrior gains no new weapon proficiencies.	KEY:Reef Warrior ~ Weapon and Armor Proficiency																										SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Reef Bonding	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, the character has allowed many of the organism that compose his home reef to meld and enter into a symbiotic relationship with him. The character gains a +2 competence bonus on Search, Spot, Survival, Move Silently and Hide checks when within 500-ft of the reef.	KEY:Reef Warrior ~ Reef Bonding																										SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Coral Skin	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A light growth of stony coral covers the character's skin, giving him a +1 natural bonus to Armor Class. This increases to +2 at 4th level, +3 at 6th level, +4 at 8th level and +5 at 10th level.	KEY:Reef Warrior ~ Coral Skin				DEFINE:CoralSkinAC|0					BONUS:COMBAT|AC|CoralSkinAC|TYPE=NaturalArmor	BONUS:VAR|CoralSkinAC|ReefWarriorLVL/2																SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Sustenance	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, as long as the character is in the water where there is ample life (neat the shore and the surface), he can obtain nutrition from the countless tiny organisms that fill the water and feed the coral. He no longer needs to eat; his symbiotes sustain him.	KEY:Reef Warrior ~ Sustenance																										SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Alien Presence	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As the coral symbiotes continue to grow in a reef warrior's body, he becomes more distant and strange. His senses become attuned to odd things; his mind becomes slowly less his own and more the mind of a collective. At 4th level, this results in a -1 penalty to Charisma, and this penalty increases to -2 at 6th level, -3 at 8th level, and -4 at 10th level.	KEY:Reef Warrior ~ Alien Presence				DEFINE:AlienPresencePenalty|0					BONUS:STAT|CHA|(-1)*AlienPresencePenalty	BONUS:VAR|AlienPresencePenalty|(ReefWarriorLVL-2)/2																SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Meld	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:If the reef warrior takes a full-round action, he can literally meld into the reef, becoming effectively invisible and appearing as just an off-shaped outcroping. A Spot check (DC 25) is needed to notice him. Combined with sustenance, this means a reef warrior can guard a room or corridor indefinitely, simply appearing out of the wall when invaders approach. The reef warrior can do this a number of times per day equal to his Constitution bonus (%1/day)|MeldTimes	KEY:Reef Warrior ~ Meld				DEFINE:MeldTimes|0					BONUS:VAR|MeldTimes|CON																	SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Reef Attunement	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:With a suuccessful Scry (DC 15) check, the reef warrior can "tune in" any part of the reef, perceiving events as if he were standing at the point to which he is attuned. The attunement lasts for a number of minutes equal to the reef warrior's class levels (%1 minutes) and can be done a number of times per day equal to the reef warrior's wisdom bonus (%2/day)|ReefAttunementDuration|ReefAttunementTimes	KEY:Reef Warrior ~ Reef Attunement				DEFINE:ReefAttunementDuration|0	DEFINE:ReefAttunementTimes|0				BONUS:VAR|ReefAttunementDuration|ReefWarriorLVL	BONUS:VAR|ReefAttunementTimes|WIS																SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level and every three levels thereafter the reed warrior may choose a bonus feat from the fighter's list of bonus feats.	KEY:Reef Warrior ~ Bonus Feat									BONUS:ABILITYPOOL|Reef Warrior Feat|ReefWarriorLVL/3																	SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Spikes	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The reef warrior may cause sharp coral spikes to grow out of his flesh. Any armor he wears must be specially designed to accomodate this, increasing the base cost of the armor by 50%%. If the reef warrior makes a successful grapple attack, the spikes deal 2d6 points of piercing damage. The reef warrior can also formthe equivalent of half-spear at will, so he is always armed.	KEY:Reef Warrior ~ Spikes																										SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
Reefwalking	CATEGORY:Special Ability	TYPE:ClassFeatures.ReefWarriorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 10th level, the reef warrior can teleport from one part of the reef to another. This is a standard action and the reef warrior can use this ability a number of times per day equal to hos wisdom modifier (%1/day).|ReefwalkingTimes	KEY:Reef Warrior ~ Reefwalking				DEFINE:ReefwalkingTimes|0					BONUS:VAR|ReefwalkingTimes|WIS																	SORTKEY:Class_Reef_Warrior	SOURCEPAGE:Shb
