SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																															
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Half-Merrow	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Half-Merrow Racial Traits	ABILITY:Half-Merrow Subrace|AUTOMATIC|Half-Merrow ~ Half-Merrow|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Half-Merrow Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Half-Merrow Racial Traits																												
																																	
# Merfolk ~ Shore																																	
Favored Class	CATEGORY:Special Ability	TYPE:MerfolkRaceTrait.SpecialQuality.MerfolkFavoredClass	VISIBLE:YES	DESC:Bard. This trait replaces the Merfolk's favored class.	KEY:Shore Merfolk ~ Favored Class																		TEMPLATE:Merfolk ~ Shore ~ Favored Class									SOURCEPAGE:Shb	
																																	
# Merfolk ~ Shelf																																	
Favored Class	CATEGORY:Special Ability	TYPE:MerfolkRaceTrait.SpecialQuality.MerfolkFavoredClass	VISIBLE:YES	DESC:Fighter. This trait replaces the Merfolk's favored class.	KEY:Shelf Merfolk ~ Favored Class																		TEMPLATE:Merfolk ~ Shelf ~ Favored Class									SOURCEPAGE:Shb	
																																	
# Merfolk ~ Deep																																	
Favored Class	CATEGORY:Special Ability	TYPE:MerfolkRaceTrait.SpecialQuality.MerfolkFavoredClass	VISIBLE:YES	DESC:Barbarian. This trait replaces the Merfolk's favored class.	KEY:Deep Merfolk ~ Favored Class																		TEMPLATE:Merfolk ~ Deep ~ Favored Class									SOURCEPAGE:Shb	
																																	
# Merfolk ~ Mirefolk																																	
Favored Class	CATEGORY:Special Ability	TYPE:MerfolkRaceTrait.SpecialQuality.MerfolkFavoredClass	VISIBLE:YES	DESC:Barbarian. This trait replaces the Merfolk's favored class.	KEY:Mirefolk Merfolk ~ Favored Class																		TEMPLATE:Merfolk ~ Mirefolk ~ Favored Class									SOURCEPAGE:Shb	
																																	
# Half-Merrow ~ Half-Merrow																																	
Low-Light Vision	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow see four times as far as a human in the dim murk beneath the waves.	KEY:Half-Merrow ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1	BONUS:VAR|LowLightDistance|2|TYPE=Racial																	SOURCEPAGE:Shb	
Imposing Demeanor	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Half-Merrow may use strength, rather than charisma, as the ability modifier for Intimidate, and Intimidate is always considered a class skill for them.	KEY:Half-Merrow ~ Imposing Demeanor									BONUS:SKILL|Intimidate|max(STR,CHA)-STR									CSKILL:Intimidate									SOURCEPAGE:Shb	
Swim Skill	CATEGORY:Special Ability	TYPE:HalfMerrowRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Swim skill is always a class skill for half-merrow.	KEY:Half-Merrow ~ Swim Skill																		CSKILL:Swim									SOURCEPAGE:Shb	
