SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																																
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
# Subraces																																		
# Base Races (assigned by race trait)																																		
###TODO: + racial stat modifiers																																		
#Common	CATEGORY:Internal	TYPE:MerfolkSubrace.MerfolkBase			KEY:Merfolk ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkFavoredClass					SOURCEPAGE:MM1		
Shore	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice.MerfolkFavoredClass		DESC:These cultures live very close to land, in water 20 to 50 feet deep.	KEY:Merfolk ~ Shore	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Shore],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Shore Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Shore Merfolk ~ Favored Class					SOURCEPAGE:Shb		
Shelf	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice.MerfolkFavoredClass		DESC:These people dwell primarily at the bottom of the sea along continental shelves.	KEY:Merfolk ~ Shelf	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Shelf],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Shelf Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Shelf Merfolk ~ Favored Class					SOURCEPAGE:Shb		
Deep	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice.MerfolkFavoredClass		DESC:These cultures dwell far from land, in the deepest part of the sea.	KEY:Merfolk ~ Deep	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Deep],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Deep Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Deep Merfolk ~ Favored Class					SOURCEPAGE:Shb		
Mirefolk	CATEGORY:Internal	TYPE:MerfolkSubrace.AltSubraceChoice.MerfolkFavoredClass		DESC:Merfolk have moved to inland dwelling in deep swamps and mires.	KEY:Merfolk ~ Mirefolk	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Merfolk ~ Mirefolk],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Mirefolk Merfolk	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkAmphibious	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkRacialSwimSkill	ABILITY:Merfolk Race Trait|AUTOMATIC|Merfolk ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MerfolkLanguages	ABILITY:Merfolk Race Trait|AUTOMATIC|Mirefolk Merfolk ~ Favored Class					SOURCEPAGE:Shb		
Half-Merrow	CATEGORY:Internal	TYPE:HalfMerrowSubrace.HalfMerrowBase		DESC:Half-Merrow are similar to their merrow parent but softened a bit by their merfolk blood.	KEY:Half-Merrow ~ Half-Merrow									BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Half-Merrow ~ Half-Merrow	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowLowLight	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Imposing Demeanor|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowImposingDemeanor	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Swim SKill|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowSwimSkill	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Swim Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowSwimSkillBonus	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Natural Armor|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowNaturalArmor	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Clumsy|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowClumsy	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Oversize|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowOversize	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Amphibious|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowAmphibious|!PRETEMPLATE:1,Half-Merrow ~ Fish Tail	SOURCEPAGE:Shb	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowLanguages	ABILITY:Half-Merrow Race Trait|AUTOMATIC|Half-Merrow ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfMerrowFavoredClass
# High	CATEGORY:Internal	TYPE:ElfSubrace.ElfBase			KEY:Elf ~ High									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:High Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfWeaponProficiency	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfSkillBonus	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLanguages	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfFavoredClass					
