SOURCELONG:Seafarer's Handbook	SOURCESHORT:SHb	SOURCEWEB:http://www.fantasyflightgames.com																																									
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	PRETOTALAB	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Amphibious Endurance	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Water Breathing],[PRERACE:1,RACESUBTYPE=Aquatic]				DESC:Water-breathing creatures can survive out of water for two hours per point of contitution, after which the effects of suffocation begins.																	SOURCEPAGE:Shb	
Armor Proficiency (Aquatic)	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:Normally, a surface dwelling characther is not proficient in any type of aquatic armor (see equipment pag 24). However, taking this feat allows the character to be proficient in any type of aquatic armor for which he has a corresponding proficiency. In other words, if the character is proficient with light and medium armor, taking this feat allows him to use light aquatic and medium aquatic armor normally. This feat needs to be taken only once, regardless of how many types of armor the character is proficient with. This feat applies only to surface dwellers.				ABILITY:Internal|AUTOMATIC|TYPE.ArmorProfAquaticLight|PREPROFWITHARMOR:1,TYPE.Light	ABILITY:Internal|AUTOMATIC|TYPE.ArmorProfAquaticMedium|PREPROFWITHARMOR:1,TYPE.Medium	ABILITY:Internal|AUTOMATIC|TYPE.ArmorProfAquaticHeavy|PREPROFWITHARMOR:1,TYPE.Heavy											SOURCEPAGE:Shb
Barroom Brawler	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=13									DESC:You gain +4 hit points for the purposes of defending against subdual damage. In addition, your unarmed attacks do 1d4 points of subdual damage plus your strength modifies (1d3 for small creatures).																	SOURCEPAGE:Shb	UDAM:1,1,1d2,1d3,1d4,1d6,1d8,1d10,1d12,2d8
Cast Iron Stomach	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CON=13									DESC:You derive nourishment from spoiled food and can avoid dehydration by drinking seawater with few ill effects. By substituting on these unusual provisions, you double the amount of time you can go without fresh food and water.																	SOURCEPAGE:Shb	
Child of the Sea	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PRELEVELMAX:1																			DESC:At some point in the near or distant past, you had an ancestor who was a member of an aquatic species. This gives you a greater ability to hold your breath. For every five point of constitution, you may hold your breath for one hour before having to surface for air.																	SOURCEPAGE:Shb	
Create Manikin	CATEGORY:FEAT	TYPE:ItemCreation	VISIBLE:YES			PRECLASS:1,SPELLCASTER=12																			DESC:A manikin serves as a focus for the transmission of spells against a target not currently within the spell's range.																	SOURCEPAGE:Shb	
Endurance Swimmer	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance									PRESTAT:1,STR=13									DESC:You suffer a -1 penalty on swim checks for every 20 pounds of armor and equipment you carry, up to your maximum load.																	SOURCEPAGE:Shb	
Fool's Luck	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																					DEFINE:FoolSLuckTimes|0	DESC:%1/day, you may choose to ignore the effects of a failed roll of any sort (attack roll, saving throw, skill check) and convert it into a success, provided you can explain how what at first appeared to be a failure was, in fact, a success.|FoolSLuckTimes	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FoolSLuckTimes|1			SOURCEPAGE:Shb	
Great Lungs	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance									PRESTAT:1,CON=13									DESC:You can hold your breath for a number of rounds equal to four times your constitution score.																	SOURCEPAGE:Shb	
Improved Poistional Advantage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4								PRESKILL:1,Swim=1												DESC:You cmay attempt to gain positional advantage (see combat, pag 48) against more than one opponent simultaneously. Each time this feat is chosen, you increase the number of melee opponents you can attempt to maneuver around by 1. You make a single swim check with a -2 circumstance penalty for each additional opponent, while all of your opponents make separate checks. The results are applied independently; thus, you might end up gaining a significant edge on one foe while inviting an attack of opportunity from another.																	SOURCEPAGE:Shb	
Lookout	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:for every 5-ft of elevation aboce the terrain you are opserving, you triple the distance you can see without penalty to your Spot checks.																	SOURCEPAGE:Shb	
Naval Heritage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PRELEVELMAX:1																			DESC:You receive a +2 circumstance bonus on Charisma ability checks and Charisma-based skill checks when dealing with other characters who also possess this feat. In addition, you gain +2 circumstance bonus on skill checks relating to navan operations and information, as you spent your formative years aboard seagoing vessel.																	SOURCEPAGE:Shb	
Notorious	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You get a +4 bonus on all Intimidate checks when dealing with someone who has occasion to hear of your infamous deeds and unpleasant demeanor.																	SOURCEPAGE:Shb	
Parry	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:3		PREABILITY:1,CATEGORY=FEAT,Combat Expertise									PRESTAT:1,DEX=13									DESC:On your action, you may choose to hold one or more of your normal attacks until an opponenet attacks. The opponent rolls his attack normally to determine if he hots. If he succeeds, you may then make an opponsed attack roll against a DC equal to your opponent's final attack result. If you succeed, you have parried the blow and struck your opponent's weapon (PHB 136). Using parry does not provoke an attack of opportunity. If, at the end of the round, you have any unused parry actions, they are lost and may not be transferred to the next round.																	SOURCEPAGE:Shb	
Parry Weapon	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Two-Weapon Fighting																		DESC:When wielding a weapon in your off-hand that is at least one size category smaller than you are, you can defend yourself with the weapon as if it were a buckler. No armor check penalty applies, but normal arcane spell failure does. You cannot use the weapon to both attack and defend in the same melee round.																	SOURCEPAGE:Shb	
Polar Bear Skin	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:You take only one point of subdual damage from hypotermia per minute of exposure to very cold water.																	SOURCEPAGE:Shb	
