SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
# Ability Name	Category of Ability	TYPE:	Visible	Special Ability					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
###Block: Variant Abilities																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Variant Rule - Good Spells 	CATEGORY:Special Ability	TYPE:AltRules.SpecialQuality		DESC:As a variant rule, consider the following spells from the Player’s Handbook to have the good descriptor: good hope and shield other.				DEFINE:EXD_VAR_GOODSPELLS|0						BONUS:VAR|EXD_VAR_GOODSPELLS|1	COST:0

###Block: Template Abilities																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Ascetic Traits ~ Vow of Poverty	CATEGORY:Internal	TYPE:Special	DEFINE:AsceticLVL|0	DEFINE:VowOfPeaceBonus|0	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ AC Bonus|PREVARGTEQ:AsceticLVL,1	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Bonus Exalted Feats|PREVARGTEQ:AsceticLVL,2	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Endure Elements|PREVARGTEQ:AsceticLVL,3	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Exalted Strike|PREVARGTEQ:AsceticLVL,4	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Sustenance|PREVARGTEQ:AsceticLVL,5	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Deflection|PREVARGTEQ:AsceticLVL,6	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Resistance|PREVARGTEQ:AsceticLVL,7	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Ability Score Enhancement|PREVARGTEQ:AsceticLVL,7	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Natural Armor|PREVARGTEQ:AsceticLVL,8	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Mind Shielding|PREVARGTEQ:AsceticLVL,8	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Damage Reduction|PREVARGTEQ:AsceticLVL,10	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Greater Sustenance|PREVARGTEQ:AsceticLVL,12	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Energy Resistance|PREVARGTEQ:AsceticLVL,13	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Freedom of Movement|PREVARGTEQ:AsceticLVL,14	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ Regeneration|PREVARGTEQ:AsceticLVL,17	ABILITY:Special Ability|AUTOMATIC|Ascetic ~ True Seeing|PREVARGTEQ:AsceticLVL,18																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
AC Bonus	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 1st-level ascetic receives a +4 exalted bonus to his Armor Class. The bonus increases to +5 at 3rd level, and thereafter increases by +1 for each 3 character levels. This bonus does not apply to touch attacks and does not hinder incorporeal touch attacks. Brilliant energy weapons, however, do not ignore this bonus. This does not stack with an armor bonus.	KEY:Ascetic ~ AC Bonus				DEFINE:AsceticAC|0					BONUS:COMBAT|AC|AsceticAC|TYPE=Exalted	BONUS:VAR|AsceticAC|4+(AsceticLVL/3)+VowOfPeaceBonus																	SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Bonus Exalted Feat	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:At 1st level, an ascetic gets a bonus exalted feat, and another bonus feat at 2nd level and every 2 levels thereafter. Unlike the other benefits of a vow of poverty, a character does not gain these bonus feats retroactively when he takes the Vow of Poverty feat; he only gains those bonus feats that apply for the levels he gains after swearing his vow. Thus, the bonus feat gained at 1st level is available only to humans who take both Sacred Vow and Vow of Poverty at 1st level.	KEY:Ascetic ~ Bonus Exalted Feats				DEFINE:ExaltedBonusFeatSelections|0					BONUS:ABILITYPOOL|Exalted Feat|ExaltedBonusFeatSelections																		SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
Endure Elements	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 3rd-level ascetic is immune to the effects of being in a hot or cold environment. He can exist comfortably in conditions between -50 and 140 degrees Fahrenheit without having to make Fortitude saves (as described in the Dungeon Master's Guide).	KEY:Ascetic ~ Endure Elements																											SOURCEPAGE:ExD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
