SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																																																																					
																																																																								
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	SOURCEPAGE:	Innate Spells								
Swan			STARTFEATS:1	SIZE:S	MOVE:Walk,10,Fly,60	FACE:5	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor						BONUS:STAT|STR|-2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4												LEGS:2	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d3|Bite,Weapon.Natural.Finesseable.Melee.Slashing.Piercing.Bludgeoning,*1,1d2		ABILITY:Internal|AUTOMATIC|Race Traits ~ Swan									MONSTERCLASS:Animal:1	RACETYPE:Animal		TYPE:Animal							CR:1/3	SOURCEPAGE:ExD, p. 77									
Archon (Owl)	OUTPUTNAME:[NAME] Archon		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,90	FACE:10	REACH:10			KIT:1|LG			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Diplomacy|Escape Artist|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival|Use Rope									LEGS:2	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Slashing.Piercing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Slashing.Piercing.Bludgeoning,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Owl Archon						SR:25	DR:10/Evil		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:8	CR:11	SOURCEPAGE:ExD									
Archon (Sword)	OUTPUTNAME:[NAME] Archon		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:10			KIT:1|LG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Concentration|Decipher Script|Diplomacy|Disguise|Gather Information|Hide|Knowledge (Religion)|Knowledge (The Planes)|Search|Sense Motive|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Armblade,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8,SPROP=+2 Holy Flaming		ABILITY:Internal|AUTOMATIC|Race Traits ~ Sword Archon						SR:26	DR:10/Evil		MONSTERCLASS:Outsider:11	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:21,33	LEVELADJUSTMENT:9	CR:11	SOURCEPAGE:ExD									
Archon (Throne)	OUTPUTNAME:[NAME] Archon		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			KIT:1|LG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (History)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Throne Archon						SR:30	DR:10/Evil		MONSTERCLASS:Outsider:14	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:29,42	LEVELADJUSTMENT:10	CR:15	SOURCEPAGE:ExD									
Archon (Warden)	OUTPUTNAME:[NAME] Archon		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			KIT:1|LG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|16		BONUS:STAT|CON|6	BONUS:STAT|INT|6		BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Diplomacy|Jump|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spot|Survival|Swim|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Warden Archon						SR:25	DR:10/Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:ExD									
Asura			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|CG			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Diplomacy|Escape Artist|Intimidate|Knowledge (The Planes)|Listen|Sense Motive|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Asura						SR:19	DR:5/Cold Iron or Evil		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Asura|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:ExD									
Bariaur (Exalted)	OUTPUTNAME:Bariaur [NAME]	FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base											BONUS:STAT|STR|4		BONUS:STAT|CON|2			BONUS:STAT|CHA|-2			MONCSKILL:Diplomacy|Handle Animal|Hide|Jump|Listen|Move Silently|Ride|Sense Motive|Spot|Survival|Tumble									LEGS:4	HANDS:2				NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Exalted Bariaur									MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Bariaur|Chaotic|Extraplanar|Good	TYPE:Outsider						LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:ExD									
Crypt Warden			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|LG			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2		BONUS:STAT|INT|14	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Climb|Diplomacy|Intimidate|Jump|Knowledge (Religion)|Sense Motive|Tumble									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Crypt Warden						SR:19	DR:5/Bludgeoning		MONSTERCLASS:Deathless:9	RACETYPE:Deathless		TYPE:Deathless					HITDICEADVANCEMENT:13,27		CR:8	SOURCEPAGE:ExD									
Eladrin (Coure)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,60	FACE:2.5	REACH:0			KIT:1|CG			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|-4	BONUS:STAT|DEX|14	BONUS:STAT|CON|2	BONUS:STAT|INT|2		BONUS:STAT|CHA|4			MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival|Use Rope									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Coure Eladrin									MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:2,6	LEVELADJUSTMENT:5	CR:2	SOURCEPAGE:ExD									
Eladrin (Firre)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|CG			BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (The Planes)|TYPE.Perform|Sense Motive|Spellcraft|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Flaming,*1,1d6,SPROP=1d6 Fire damage		ABILITY:Internal|AUTOMATIC|Race Traits ~ Firre Eladrin						SR:27	DR:10/Cold Iron or Evil		MONSTERCLASS:Firre:8	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:16,24	LEVELADJUSTMENT:10	CR:10	SOURCEPAGE:ExD									
Eladrin (Shiradi)	OUTPUTNAME:Eladrin [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:10			KIT:1|CG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Gather Information|Heal|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Knowledge (Religion)|Listen|TYPE.Perform|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Shiradi Eladrin						SR:30	DR:10/Cold Iron or Evil		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Eladrin|Chaotic|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:12	CR:14	SOURCEPAGE:ExD									
