SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																								
																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Affliction			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Evil creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Infects evil subject with chosen affliction.	SOURCEPAGE:EXD									
Amber Sarcophagus			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Target is trapped in stasis inside amber.	SOURCEPAGE:EXD		COST:500							
Aspect of the Deity			TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Aspect of the Deity, but get celestial qualities.	SOURCEPAGE:EXD									
Aspect of the Deity (Greater)	OUTPUTNAME:Aspect of the Deity, Greater		TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Aspect of the Deity, but gain wings, enhanced ability scores, and various resistamce and immunities.	SOURCEPAGE:EXD									
Aspect of the Deity (Lesser)	OUTPUTNAME:Aspect of the Deity, Lesser		TYPE:Arcane.Divine	CLASSES:Paladin=4		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your form becomes more like your deity's.	SOURCEPAGE:EXD									
Axiomatic Creature			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S, M, XP, Archon	CASTTIME:1 round	RANGE:Touch	TARGETAREA:One corporeal creature of lawful or neutral alignment that is native to the Material Plane		DURATION:Permanent	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Transform creature into n axiomatic creature.	SOURCEPAGE:EXD		COST:10000	XPCOST:1000						
Bastion of Good			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:20-ft	TARGETAREA:20-ft radius spherical emanation centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Acts as Minor Globe of Invlunerability and double strength Magic Circle against Evil.Abstinence: fast 24 hours.	SOURCEPAGE:EXD									
Blessed Sight			TYPE:Divine	CLASSES:Cleric=3|Paladin=3		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Evil auras becomes visible to you.	SOURCEPAGE:EXD									
Blinding Beauty			TYPE:Arcane.Divine	CLASSES:Bard=4|Druid=4|Ranger=4		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You become as beautiful as a nymph, and can blind humanoids who look at you. Abstinence: abstain from sexual intercourse for one week.	SOURCEPAGE:EXD									
Blinding Glory			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Close	TARGETAREA:100-ft/level radius spread, centered on you		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:100-ft/level radius of light linds evil creatures.	SOURCEPAGE:EXD									
Blood of the Martyr			TYPE:Divine	CLASSES:Cleric=4|Paladin=4		SCHOOL:Necromancy	SUBSCHOOL:Healing	DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:willing creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You heal a target at range and take a like amount of damage.	SOURCEPAGE:EXD									
Bolt of Glory			TYPE:Divine			SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes		SOURCEPAGE:EXD									
Call Faithful Servants			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good	COMPS:V, S, Abstinence, Celestial	CASTTIME:1 minute	RANGE:Close	TARGETAREA:1d4 lantern archons, coure eladrins or musteval guardinals		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Summons 1d4 lantern archons, coure eladrins or musteval guardinals. Abstinence: abstain from casting Conjuration spells for 3 days.	SOURCEPAGE:EXD									
Call Mount			TYPE:Divine	CLASSES:Paladin=2		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good	COMPS:V	CASTTIME:1 round	RANGE:10-ft	TARGETAREA:Your special mount		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Call your special mount, even if you already called it today.	SOURCEPAGE:EXD									
