SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cancer mages are proficient with all simple and martial weapons, with all types of armor, and with shields.	KEY:Cancer Mage ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If a cancer mage can catch an opponent when she is unable to defend herself effectively from his attack, he can strike a vital spot for extra damage. Basically, any time the cancer mage's target would be denied her Dexterity bonus to AC (whether she actually has a Dexterity bonus or not), the cancer mage's attack deals +1d6 points of damage. This extra damage increases by +1d6 points every four levels (+2d6 at 5th level and +3d6 at 9th level). Should the cancer mage score a critical hit with a sneak attack, this extra damage is not multiplied. It takes precision and penetration to hit a vital spot, so ranged attacks can only count as sneak attacks if the target is 30 feet away or less. With a sap or an unarmed strike, a cancer mage can make a sneak attack that deals subdual damage instead of normal damage. He cannot use a weapon that deals normal damage to deal subdual damage in a sneak attack, not even with the usual -4 penalty, because he must make optimal use of his weapon in order to execute the sneak attack. A cancer mage can only sneak attack a living creature with a discernible anatomy-undead, constructs, oozes, plants, and incorporeal creatures lack vital areas to attack. Additionally, any creature immune to critical hits is similarly immune to sneak attacks. Also, the cancer mage must be able to see the target well enough to pick out a vital spot and must be able to reach a vital spot. A cancer mage cannot sneak attack while striking at a creature with concealment or by striking the limbs of a creature whose vitals are beyond reach. If a cancer mage gets a sneak attack bonus from another source (such as rogue levels), the bonuses to damage stack.	KEY:Cancer Mage ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(ArcaneTricksterLVL+3)/4									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Disease Host	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a cancer mage suffers no ill effects of diseases, except for purely cosmetic ones such as boils, pockmarks, watery eyes, blackened skin, hair loss, foul smell, and so on. The cancer mage becomes a carrier of every disease he encounters, though he remains immune to most of their effects. However, the cancer mage takes 1d6 points of damage per caster level if someone casts a cure disease spell or effect on him (he can make a Fortitude save to try to resist the effect). Furthermore, if the cancer mage has a cancerous companion (see below), he loses all abilities gained from the companion for 1d10 days after being the subject of a cure disease spell.	KEY:Cancer Mage ~ Disease Host																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Contagion	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 2nd level, the touch of a cancer mage carries a contagion spell once per day per class level. The DC for the target's saving throw is 13 + the cancer mage'sWisdom modifier.	KEY:Cancer Mage ~ Contagion																		SPELLS:Innate|TIMES=CancerMageLVL|CASTERLEVEL=5|Contagion,13+WIS								SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Cancerous Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a cancer grows within the cancer mage, forming a large tumor. This cancerous growth gains intelligence and a personality distinct from the cancer mage. The companion and the cancer mage can communicate telepathically. When needed, the cancerous companion uses the cancer mage's scores for saves, ability scores other than Intelligence, and so forth. The cancerous companion gains abilities as the cancer mage gains levels.	KEY:Cancer Mage ~ Cancerous Companion									BONUS:VAR|CancerousCompanion|CancerMageLVL									ABILITY:Special Ability|AUTOMATIC|Cancerous Companion								SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Tatterdemalion	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gathering scraps of clothing and old, discarded rags, a 3rd-level cancer mage is able to make such articles into light armor with a the following stats: armor bonus +4, maximum Dex bonus +5, armor check penalty -1, arcane spell failure 15%%, speed 30 ft./20 ft., weight 20 lb. Only a 3rd-level or higher cancer mage can wear this armor and gain these benefits; other wearers treat it as padded armor. This armor is considered masterwork quality and can be fashioned into magic armor.	KEY:Cancer Mage ~ Tatterdemalion				DEFINE:TatterdemalionLVL|0					BONUS:VAR|TatterdemalionLVL|1|TYPE=Base																	SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Poison	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day per class level beginning at 3rd level, the touch of a cancer mage carries a poison spell. The DC for the target's saving throw is 14 + the cancer mage's Wisdom modifier.	KEY:Cancer Mage ~ Poison																		SPELLS:Innate|TIMES=1|CASTERLEVEL=CancerMageLVL|Poison,14,WIS								SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Children of the Night	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 4th-level cancer mage commands the lesser creatures of the world and can call forth a swarm of 2d6 Small monstrous spiders or a pack of 4d8 dire rats or a swarm of 10d10 bats, once per day, as a standard action. These creatures arrive in 2d6 rounds and serve the cancer mage (understanding his mental commands) for up to 10 minutes per class level.	KEY:Cancer Mage ~ Children of the Night																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Viral agent	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, a cancer mage befriends a disease or virus that infests his body. He supernaturally enhances a disease, making it smarter by giving it a point of his own Intelligence. He establishes a telepathic link with the disease that functions at a range of one mile per class level of the cancer mage. The cancer mage can then attempt to infect a target with his viral agent, using his contagion ability. If successful, the viral agent can tell the cancer mage telepathically what its host experiences. In all other respects, the viral agent is a normal disease; if the victim fights it off or a cure disease spell is used, the disease and the viral agent die. The cancer mage regains his Intelligence point 24 hours after the viral agent dies. The cancer mage can create as many viral agents as he is willing to devote Intelligence points toward.	KEY:Cancer Mage ~ Viral Agent																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
Infected Wound	CATEGORY:Special Ability	TYPE:ClassFeatures.CancerMageClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Once per day per class level beginning at 6th level, a cancer mage can infect his foe with an infectious taint after making a successful melee attack. The foe takes 1 point of Constitution damage and must make a Fortitude save (DC 10 + cancer mage's class level + cancer mage's Wis modifier) 1 hour later or take a further 1d6 points of Constitution damage.	KEY:Cancer Mage ~ Infected Wound																										SORTKEY:Class_Cancer_Mage	SOURCEPAGE:BoVD	
