SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10				
							
FOLLOWER:CancerousCompanionLVL=2	TYPE:Cancer	COPYMASTERBAB:MASTER	COPYMASTERCHECK:MASTER	COPYMASTERHP:1	USEMASTERSKILL:YES	DEFINESTAT:MINVALUE|INT|6	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Blindsight
FOLLOWER:CancerousCompanionLVL=3	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|7	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Spell-Like Abilities
FOLLOWER:CancerousCompanionLVL=4	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|8	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Evasion
FOLLOWER:CancerousCompanionLVL=5	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|9	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Uncanny Dodge
FOLLOWER:CancerousCompanionLVL=6	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|10	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Mind-Affecting Protection
FOLLOWER:CancerousCompanionLVL=7	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|11	
FOLLOWER:CancerousCompanionLVL=8	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|12	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Improved Uncanny Dodge
FOLLOWER:CancerousCompanionLVL=9	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|13	ABILITY:Special Ability|AUTOMATIC|Cancerous Companion ~ Tendril
FOLLOWER:CancerousCompanionLVL=10	TYPE:Cancer					DEFINESTAT:MINVALUE|INT|14	
