SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																							
																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus	
Aberrate				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, Fiend	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:10 min/level	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Subject becomes an aberration.	SOURCEPAGE:BoVD									
Absorb Mind				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Corrupt=3	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster.	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 25%% chance of knowing information in a brain eaten.	SOURCEPAGE:BoVD						DESC:Focus: A fresh or preserved (still bloody) 1-ounce portion of another creature's brain. Corruption Cost: 2d6 points of Wisdom damage.			
Absorb Strength				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Corrupt=4	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 1/4 of creature's STR and CON when he eats it.	SOURCEPAGE:BoVD						DESC:Focus: A fresh or preserved (still bloody) 1-ounce portion of another creature's flesh. Corruption Cost: 2d6 points of Wisdom damage.			
Abyssal Might				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	CLASSES:Blackguard=3|Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, M, Demon	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster.	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 to STR, CON, DEX and SR,.	SOURCEPAGE:BoVD						DESC:Material Component: The heart of a dwarf child.	TEMPBONUS:PC|STAT|STR,DEX,CON|2|TYPE=Enhancement	TEMPBONUS:PC|MISC|SR|2|TYPE=Enhancement	
Addiction				TYPE:Spell	SCHOOL:Enchantment			CLASSES:Assassin=1|Bard=2|Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Subject becomes addicted to a drug.	SOURCEPAGE:BoVD						DESC:Drug Component: The chosen drug for the addiction.			
Alert Bebilith				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bebilith.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Summons bebilith to deal with a demon.	SOURCEPAGE:BoVD						DESC:Material Component: A bit of demon's flesh and a lump of iron.			
Angry Ache				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Assassin=1|Cleric=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 min/level	SAVEINFO:Fort negates.	SPELLRES:Yes	DESC:Subject takes -2 penalty on attack rolls.	SOURCEPAGE:BoVD							TEMPBONUS:PC|COMBAT|TOHIT|-2*((%CHOICE)/4)|TYPE=Enhancement	TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level	
Apocalypse from the Sky				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Corrupt=9	COMPS:V, S, M, Corrupt	CASTTIME:1 day	RANGE:Personal	TARGETAREA:10-mile radius/level, centered on caster.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:All in a 10-mile radius/level take 10d6 damage.	SOURCEPAGE:BoVD						DESC:Material Component: An artifact, usually one of good perverted to this corrupt use. Corruption Cost: 3d6 points of Constitution damage and 4d6 points of Wisdom drain. Just preparing this spell deals 1d3 points of Wisdom damage, with another 1d3 points of Wisdom damage for each day it remains among the caster's prepared spells.			
Befoul				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=8	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Water in a volume of 100 ft./level by 100 ft./level by 10 ft./level	DURATION:Permanent	SAVEINFO:None (See text)	SPELLRES:Yes	DESC:Large amount of water becomes poisonous.	SOURCEPAGE:BoVD						DESC:Material Component: A dead fish and a drop of poison.			
Bestow Greater Curse				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=6|Cleric=7|Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent	SAVEINFO:Will negates.	SPELLRES:Yes	DESC:Caster transfers 1 hp/level of wounds on another.	SOURCEPAGE:BoVD									
