SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
###Block: Race Traits																																	
																																	
###Block: Subtype Traits																																	
# Elements																																	
																																	
# Alignments																																	
																																	
# Racial																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Demodand Traits|PRERACE:1,RACESUBTYPE=Demodand																																
Demodand Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:DemodandStandardLanguages|0														ABILITY:Special Ability|AUTOMATIC|Demodand ~ Summon Demodand|Demodand ~ Freedom of movement|Immunity To Poison									SOURCEPAGE:FF	
Summon Demodand	CATEGORY:Special Ability	TYPE:DemodandSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Demodands can summon others of their kind as though casting a summon monster spell, but they have only a limited chance of success. Roll d%% and compare the result to the die range given in the demodand's specific description: On a failure, no demodands answer the summons. Summoned creatures remain for 1 hour, then return to their home on Carceri. A demodand that is itself summoned cannot use its own summon demodand ability for 1 hour.	KEY:Demodand ~ Summon Demodand																											SOURCEPAGE:FF	
Freedom of Movement	CATEGORY:Special Ability	TYPE:DemodandSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:All demodands gain the benefit of continuous freedom of movement, as the spell cast by a 10th-level spellcaster.	KEY:Demodand ~ Freedom of Movement																											SOURCEPAGE:FF	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Mongrelfolk Traits|PRERACE:1,RACESUBTYPE=Mongrelfolk																																
Mongrelfolk Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																														SOURCEPAGE:FF	
																																	
# Race Groups Subtype																																	
																																	
# Race Groups																																	
Aoa Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Aoa ~ Dispelling Touch|Aoa ~ Reflective Spell Resistance|Aoa ~ Resistances|Aoa ~ Spell-Like Abilities|Aoa ~ Skills									SOURCEPAGE:FF	
Dispelling Touch	CATEGORY:Special Ability	TYPE:AoaSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:If an aoa successfully damages an opponent with its slam attack, the opponent is also affected by dispel magic as if cast by a %1 th level wizard.|DispellingTouchLVL	KEY:Aoa ~ Dispelling Touch				DEFINE:DispellingTouchLVL|0																							SOURCEPAGE:FF	
Reflective Spell Resistance	CATEGORY:Special Ability	TYPE:AoaSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An aoa has a special type of spell resistance that causes any targeted spell it successfully resists to bounce off and reflect back at the caster. The caster becomes either the spell's target or the point of origin for the spell's effect, as appropriate. In addition, aoa are immune to gaze attacks, and such an effect is reflected back to its origin.	KEY:Aoa ~ Reflective Spell Resistance																											SOURCEPAGE:FF	
Resistances	CATEGORY:Special Ability	TYPE:AoaSubRaceTrait.SpecialQuailty.Extraordinary	VISIBLE:YES	DESC:An aoa has fire, cold, electricity, and sonic resistance 20.	KEY:Aoa ~ Resistances									BONUS:VAR|FireResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,SonicResistanceBonus|20|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Fire|Resistance to Cold|Resistance to Electricity|Resistance to Sonic									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AoaSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Aoa ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Detect Magic,15									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:AoaSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aoa have a -6 racial bonus on Hide checks.	KEY:Aoa ~ Skills									BONUS:SKILL|Hide|-6																		SOURCEPAGE:FF	
																																	
Ooze Aquatic Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Ooze Aquatic ~ Skills									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:OozeAquaticSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Aquatic oozes have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always take 10 on Swim checks, even if distracted or endangered.	KEY:Ooze Aquatic ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Canomorph Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Canomorph ~ Change Shape|Canomorph ~ Command Fiendish Hound|Canomorph ~ Scent									SOURCEPAGE:FF	
Change Shape	CATEGORY:Special Ability	TYPE:CanomorphSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A canomorph can assume  the  form of any Small, Medium or Large humanoid. It retains  the extraordinary attacks of its original form regardless of its  new form. Changing shape to or from its original form  requires a move action.	KEY:Canomorph ~ Change Shape																											SOURCEPAGE:FF	
Command Fiendish Hound	CATEGORY:Special Ability	TYPE:CanomorphSubRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:All canomorphs can use greater command at will against fiendish hounds of their associated kind (hell hounds for haraknins, shadow mastiffs for shadurakuls, and vorrs for vultivors). These creatures will never voluntarily attack a canomorph of the associated kind.	KEY:Canomorph ~ Command Fiendish Hound																											SOURCEPAGE:FF	
Scent	CATEGORY:Special Ability	TYPE:CanomorphSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A canomorph can detect approaching enemies, sniff out hidden foes, and track by sense of smell.	KEY:Canomorph ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:FF	
																																	
Dark Ones Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Dark Ones ~ Languages|Dark Ones ~ Shadow Cloak|Dark Ones ~ Sneak Attack|Dark Ones ~ Blindsight|Dark Ones ~ Light Sensitivity|Dark Ones ~ Skills									SOURCEPAGE:FF	
Languages	CATEGORY:Special Ability	TYPE:DarkOnesSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dark ones speak their own language and appear to understand Undercommon, although they have never been heard to speak it.	KEY:Dark Ones ~ Languages																		AUTO:LANG|Dark One|Undercommon									SOURCEPAGE:FF	
