SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Abrian			STARTFEATS:1	SIZE:M	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Extraplanar	MONSTERCLASS:Magical Beast:2	MOVE:Walk,50	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Beak,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*1,1d3|Kick,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abrian			BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4			MONCSKILL:Hide|Listen|Move Silently|Spot	CR:1		HITDICEADVANCEMENT:3,6	LEVELADJUSTMENT:1	LEGS:2	HANDS:0	SOURCEPAGE:FF	KIT:1|Abrian Stats
Ghoul (Abyssal)			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Extraplanar	MONSTERCLASS:Undead:16	MOVE:Walk,40	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Claw (Rear),Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ghoul (Abyssal)		SR:20	BONUS:STAT|STR|14	BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Balance|Climb|Hide|Jump|Move Silently|Tumble	CR:10	KIT:1|CE	HITDICEADVANCEMENT:24,48		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Ghoul (Abyssal) Stats
Ahuizotl			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Aquatic	MONSTERCLASS:Aberration:7	MOVE:Walk,20,Swim,40	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Tail Hand,Weapon.Natural.Finesseable.Melee.Bludgeoning.Reach,*1,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ahuizotl			BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|2		BONUS:STAT|CHA|4	MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Spot|Swim	CR:6		HITDICEADVANCEMENT:14,21		LEGS:2	HANDS:3	SOURCEPAGE:FF	KIT:1|Ahuizotl Stats
Aoa (Droplet)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:3	MOVE:Fly,50	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aoa (Droplet)	DR:5/Magic	SR:22	BONUS:STAT|STR|-2	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4		MONCSKILL:Hide|Listen|Move Silently|Search|Spot	CR:3	KIT:1|TN	HITDICEADVANCEMENT:3,6,12		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Aoa (Droplet) Stats
Aoa (Sphere)			STARTFEATS:1	SIZE:H	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:13	MOVE:Fly,50	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aoa (Sphere)	DR:10/Magic	SR:25	BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|14	BONUS:STAT|INT|-6	BONUS:STAT|WIS|6		MONCSKILL:Hide|Listen|Move Silently|Search|Spot	CR:15	KIT:1|TN	HITDICEADVANCEMENT:20,39		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Aoa (Sphere) Stats
Ooze (Bloodbloater)				SIZE:M	TYPE:Ooze	RACETYPE:Ooze	RACESUBTYPE:Swarm|Aquatic	MONSTERCLASS:Ooze:2	MOVE:Walk,5,Swim,30		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6,SPROP=Str damage				FACE:5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (Bloodbloater)				BONUS:STAT|DEX|2	BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10	MONCSKILL:Swim	CR:1	KIT:1|TN			LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Ooze (Bloodbloater) Stats
Ooze (Flotsam)				SIZE:M	TYPE:Ooze	RACETYPE:Ooze	RACESUBTYPE:Aquatic	MONSTERCLASS:Ooze:2	MOVE:Walk,10,Swim,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (Flotsam)			BONUS:STAT|STR|4		BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10	MONCSKILL:Hide|Swim	CR:2	KIT:1|TN	HITDICEADVANCEMENT:2,6,15,30,*		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Ooze (Flotsam) Stats
Ooze (Reekmurk)				SIZE:H	TYPE:Ooze	RACETYPE:Ooze	RACESUBTYPE:Aquatic	MONSTERCLASS:Ooze:5	MOVE:Walk,40,Swim,60		NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*1,2d6,SPROP=+1d6 Acid				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (Reekmurk)			BONUS:STAT|STR|12	BONUS:STAT|DEX|14	BONUS:STAT|CON|10		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10	MONCSKILL:Swim	CR:6	KIT:1|TN	HITDICEADVANCEMENT:12,15		LEGS:0	HANDS:0	SOURCEPAGE:FF	KIT:1|Ooze (Reekmurk) Stats
Bacchae			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:2	MOVE:Walk,30	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bacchae		SR:11	BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4		BONUS:STAT|WIS|-2	BONUS:STAT|CHA|4	MONCSKILL:Balance|Intimidate|Jump|Listen|TYPE.Perform|Spot|Survival|Tumble	CR:2	KIT:1|CN	HITDICEADVANCEMENT:4		LEGS:2	HANDS:2	SOURCEPAGE:FF	KIT:1|Bacchae Stats
Bhut			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Incorporeal	MONSTERCLASS:Undead:8	MOVE:Fly,50		NATURALATTACKS:Incorporeal Bite,Weapon.Natural.Finesseable.Melee.Touch,*1,1d12				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bhut				BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|10	MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Spot|Survival	CR:9	KIT:1|NE	HITDICEADVANCEMENT:24		LEGS:0	HANDS:2	SOURCEPAGE:FF	KIT:1|Bhut Stats
