SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:03-2004																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Black blood hunters gain no proficiency with any weapon, armor, or shield.	KEY:Black Blood Hunter ~ Weapon and Armor Proficiency																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Greater Curse of Lycanthropy	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The DC of the Fortitude save required to avoid contracting lycanthropy from the character's bite attack increases by an amount equal to his black blood hunter level.	KEY:Black Blood Hunter ~ Greater Curse of Lycanthropy									BONUS:VAR|CurseOfLycanthropyDC|BlackBloodHunterLVL																	SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Lycanthropic Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A black blood hunter with spellcasting ability can cast spells normally in his animal or hybrid form, as though he were a druid in wild shape using the Natural Spell feat.	KEY:Black Blood Hunter ~ Lycanthropic Spell																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Wild Items	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A black blood hunter can use armor with the wild special ability, a wilding clasp, or any similar item designed for a druid to use while in wild shape. For the purpose of using such items, all the black blood hunter's lycanthropic forms count as wild shapes.	KEY:Black Blood Hunter ~ Wild Items																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Animal Aspect	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 2nd level, a black blood hunter gains the ability to take on limited characteristics of his animal form while remaining in his humanoid form. Once per day, he can gain the Strength, Dexterity, or Constitution of his animal form without actually adopting that shape. In addition, his natural armor bonus increases by +2. All these changes last for 1 minute per black blood hunter level. The black blood hunter can use this ability twice per day at 4th level, three times per day at 6th level, four times per day at 8th level, and fi ve times per day at 10th level.	KEY:Black Blood Hunter ~ Animal Aspect	DESC:%1/day|AnimalAspectTimes			DEFINE:AnimalAspectTimes|0					BONUS:VAR|AnimalAspectTimes|BlackBloodHunterLVL/2																	SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Wild Empathy	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A black blood hunter of 2nd level or higher can use body language, vocalizations, and demeanor to improve the attitude of an animal. This ability functions like the druid class feature of the same name, except that the character adds his black blood hunter level to his 1d20 roll instead of his druid level. Furthermore, he gains a +8 racial bonus (rather than the normal +4) when using this ability with normal or dire animals of the same kind as his animal form. If the black blood hunter also has the wild empathy ability from another class (such as druid or ranger), levels of that class stack with his black blood hunter levels for the purpose of determining the bonus on the wild empathy check.	KEY:Black Blood Hunter ~ Wild Empathy									BONUS:VAR|WildEmpathyBonus|BlackBloodHunterLVL|TYPE=Base.REPLACE	BONUS:VAR|WildEmpathyMagicalBeastBonus|-4								ABILITY:Special Ability|AUTOMATIC|Wild Empathy								SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Improved Hybrid Form	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a black blood hunter gains the ability to use his animal form's special attacks while in hybrid form.	KEY:Black Blood Hunter ~ Improved Hybrid Form																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Improved Vile Natural Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 4th level, a black blood hunter deals an additional 1d4 points of vile damage with each successful natural attack, rather than the 1 point that the Vile Natural Attack feat allows. Vile damage can be healed only by magic cast within the area of a consecrate or hallow spell. When he r eaches 8 th l evel, the vile d amage he d eals w ith a natural attack increases to 1d6 points.	KEY:Black Blood Hunter ~ Improved Vile Natural Attack																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Improved Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When the black blood hunter reaches 5th level, his lycanthropic damage reduction improves by 5 points-to 10/silver if he is an affl icted lycanthrope, or to 15/silver if he is a natural lycanthrope. When he reaches 10th level, his damage reduction can be bypassed only by magic silver weapons.	KEY:Black Blood Hunter ~ Improved Damage Reduction									BONUS:VAR|LycanthropeDR|5									DR:LycanthropeDR/Silver and Magic|PREVARGTEQ:BlackBloodHunterLVL,10								SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Faster Change	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A black blood hunter of at least 6th level can change to or from animal or hybrid form as a move action rather than a standard action.	KEY:Black Blood Hunter ~ Faster Change																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Quick Change	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackBloodHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 9th-level or higher black blood hunter can change to or from animal or hybrid form as a free action.	KEY:Black Blood Hunter ~ Quick Change																										SORTKEY:Class_Black_Blood_Hunter	SOURCEPAGE:PgtF
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Maidens of pain gain proficiency with the whip, but not with any armor or shield	KEY:Maiden of Pain ~ Weapon and Armor Proficiency																										SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Spell per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Beginning at 2nd level, when a new maiden of pain level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in cleric. She does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of maiden of pain to the level of cleric, then determines spells per day, spells known, and caster level accordingly.	KEY:Maiden of Pain ~ Spells per Day																										SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Agony Addiction	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maiden of pain gains a permanent addiction to the drug agony, also known as liquid pain. However, her addiction to the drug is mild and cannot grow worse. Each day that she goes without a dose of agony, she takes 1d3 points of Dexterity damage. In addition, the negative effects of the drug are blunted by her intimate familiarity with pain. The initial effect of a dose of agony is to stun her for 1d4-1 rounds and force her to take only a single action each round for 1d4 minutes after that.	KEY:Maiden of Pain ~ Agony Addiction																										SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Extra Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 1st-level maiden of pain gains access to the Pain domain if she does not already have it, or another domain offered by Loviatar if she does. She gains the granted power of this third domain and can choose from its spell list as well as those of her other domains when selecting her domain spells for the day. She can still cast only one domain spell at each level (1st through 9th) per day, but now she has three choices instead of two at each spell level.	KEY:Maiden of Pain ~ Extra Domain																										SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
Lasher	CATEGORY:Special Ability	TYPE:ClassFeatures.MaidenOfPainClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A maiden of pain can use a whip to deliver touch attacks. This ability effectively gives her 15-foot reach with a touch spell or with her pain touch ability. If she desires, she can make a normal attack with the whip when delivering a touch effect, but in this case she must make a successful melee attack rather than a touch attack. A maiden of pain can deliver a touch spell through her whip even against creatures that are normally unaffected by whip attacks.	KEY:Maiden of Pain ~ Lasher																										SORTKEY:Class_Maiden_Of_Pain	SOURCEPAGE:PgtF
