SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
					
STARTPACK:Mercantile Background Kit	TYPE:Feat	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PREABILITY:1,CATEGORY=FEAT,Merchantile Background
FUNDS:gp	QTY:300				
					
STARTPACK:Faerunian Generic Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRETEMPLATE:1,No Faerun Region
FUNDS:gp	QTY:100

#Kit Name
REGION:Ashane
STARTPACK:Spirit Folk ~ Ashane Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Spirit Folk
GEAR:Chain (Spiked)	EQMOD:MWORKW				
					
STARTPACK:Spirit Folk ~ Ashane Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Spirit Folk
GEAR:Nunchaku	EQMOD:MWORKW				
					
STARTPACK:Spirit Folk ~ Ashane Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Spirit Folk
GEAR:Siangam	EQMOD:MWORKW				
					
STARTPACK:Spirit Folk ~ Ashane Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Spirit Folk
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Detect Magic]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
STARTPACK:Spirit Folk ~ Ashane Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Spirit Folk
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Light]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Aglarond					
STARTPACK:Human ~ Aglarond Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Aglarond Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll (Web)					
GEAR:Scroll (Protection from Arrows)					
					
STARTPACK:Half-Elf ~ Aglarond Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Aglarond Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Aglarond Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Hide	EQMOD:MWORKA				
GEAR:Shield (Heavy/Wood)	EQMOD:DARKWOOD_SHLD				
					
					
					
REGION:Altumbel					
STARTPACK:Human ~ Altumbel Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
