SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Deep Imaskari			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid		MONSTERCLASS:Humanoid:1	MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Deep Imaskari										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Deep Imaskari Stats
Gloaming			STARTFEATS:1	SIZE:S	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Native	MONSTERCLASS:Outsider:1	MOVE:Walk,20,Fly,40						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Gloaming										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Gloaming Stats
Slyth			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Shapechanger	MONSTERCLASS:Humanoid:1	MOVE:Walk,30,Swim,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Slyth										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Slyth Stats
																																		
All-Consuming Hunger				SIZE:D	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Swarm	MONSTERCLASS:Undead (Mindless):16	MOVE:Walk,40,Climb,20		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6,SPROP=All-consuming waste				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (All-Consuming Hunger)			BONUS:STAT|STR|-10					BONUS:STAT|CHA|6	MONCSKILL:Climb	CR:8	KIT:1|NE			LEGS:0	HANDS:0	SOURCEPAGE:Und	KIT:1|Swarm (All-Consuming Hunger) Stats
Annihilator			STARTFEATS:1	SIZE:M	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:20	MOVE:Walk,40	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Touch,*2,0,SPROP=Disintegration				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Annihilator	DR:15/Magic	SR:31		BONUS:STAT|DEX|10	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|3	BONUS:STAT|CHA|2	MONCSKILL:Listen|Spot	CR:15	KIT:1|NE	HITDICEADVANCEMENT:20,40,60		LEGS:4	HANDS:0	SOURCEPAGE:Und	KIT:1|Annihilator Stats
Baphitaur		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Native	MONSTERCLASS:Outsider:16	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Baphitaur			BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2			BONUS:STAT|CHA|-2	MONCSKILL:Climb|Intimidate|Jump|Listen|Move Silently|Search|Spot|Survival	CR:2			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:Und	KIT:1|Baphitaur Stats
Earth Glider			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Earth|Evil|Extraplanar	MONSTERCLASS:Outsider:15	MOVE:Walk,20,Fly,50	BONUS:COMBAT|AC|18|TYPE=NAturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d10|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d8,SPROP=Poison|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Earth Glider	DR:5/Bludgeoning		BONUS:STAT|STR|18	BONUS:STAT|DEX|4	BONUS:STAT|CON|10				MONCSKILL:Hide|Intimidate|Knowledge (Dungeoneering)|Listen|Move Silently|Search|Spot|Survival	CR:12		HITDICEADVANCEMENT:21,45		LEGS:0	HANDS:0	SOURCEPAGE:Und	KIT:1|Earth Glider Stats
Elder Brain			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Elder Brain:26	MOVE:Walk,10,Fly,30,Swim,30	BONUS:COMBAT|AC|20|TYPE=NaturalArmor	NATURALATTACKS:Tendril,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*1,1d6,SPROP=Extract				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elder Brain	DR:15/Adamantine	SR:34	BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|28	BONUS:STAT|INT|18	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16	MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Intimidate|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot|Survival	CR:25	KIT:1|LE	HITDICEADVANCEMENT:38,56		LEGS:0	HANDS:0	SOURCEPAGE:Und	KIT:1|Elder Brain Stats
Giant Cockroach				SIZE:M	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:4	MOVE:Walk,40,Climb,40	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant Cockroach			BONUS:STAT|STR|10	BONUS:STAT|DEX|8	BONUS:STAT|CON|6			BONUS:STAT|CHA|-8		CR:2	KIT:1|TN	HITDICEADVANCEMENT:8,12		LEGS:6	HANDS:0	SOURCEPAGE:Und	KIT:1|Giant Cockroach Stats
