SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																								
																											
#																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Amorphous Form				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Assassin=3|Sorcerer=3|Wizard=3	COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing corporeal creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject becomes puddlelike and can slip through cracks quickly. Arcane Material Component: A pinch of gelatin.	SOURCEPAGE:Und										
Blindsight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grants blindsight to a range of 30 ft.	SOURCEPAGE:Und										
Burrow				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=2|Ranger=2|Sorcerer=3|Wizard=3	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Grow claws and gain burrow speed of 10 ft. Arcane Focus: A claw from a burrowing creature.	SOURCEPAGE:Und										
Burrow (Mass)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=6|Ranger=4|Sorcerer=6|Wizard=6	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more creatures, no two of which can be more than 30 ft. apart	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As burrow, but affects 1/level subjects. Arcane Focus: A claw from a burrowing creature.	SOURCEPAGE:Und										
Camouflage				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None 	SPELLRES:No	DESC:Grants +10 bonus on Hide checks.	SOURCEPAGE:Und							TEMPBONUS:PC|SKILL|Hide|10|Circumstance			
Changestones				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7|Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Prepared stones touched.	DURATION:1 hour/level	SAVEINFO:None 	SPELLRES:No	DESC:Prepared stones become liths. Focus: The requisite number of stones, which must be specially prepared. The materials for polishing and smoothing each stone cost 200 gp. Once the stones are prepared, you must perform a rite of purification that requires one day per stone. You cannot adventure or engage in any other strenuous activity during the purification process.	SOURCEPAGE:Und		COST:200								
Clarity of Mind				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Blackguard=2|Paladin=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You grant the subject a +4 insight bonus on saving throws against all spells with the charm, compulsion, or glamer descriptors.	SOURCEPAGE:Und										
Contagious Fog				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cloud spreads in a 30-ft. radius, 20 ft. high.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:This spell generates a damp miasma of disease-filled fog similar to a fog cloud.	SOURCEPAGE:Und										
Darkvision (Mass)				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=4|Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level, no two of which can be more than 30 ft. apart.	DURATION:1 hour/level	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:As darkvision, but affects 1/level subjects.	SOURCEPAGE:Und							TEMPBONUS:ANYPC|VAR|DarkvisionRange|60|TYPE=Base			
Deeper Darkvision				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=4|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject can see 60 ft. in magical darkness. Material Component: A pinch of dried carrot or an agate.	SOURCEPAGE:Und										
