SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Common	CATEGORY:Internal	TYPE:DeepImaskariSubrace.DeepImaskariBase		DESC:Secret and few, the deep Imaskari are heirs to the lost empire of Imaskar.	KEY:Deep Imaskari ~ Common									BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Common Deep Imaskari	ABILITY:Deep Imaskari Race Trait|AUTOMATIC|Deep Imaskari ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepImaskariLowLightVision	ABILITY:Deep Imaskari Race Trait|AUTOMATIC|Deep Imaskari ~ Spell Clutch|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepImaskariSpellClutch	ABILITY:Deep Imaskari Race Trait|AUTOMATIC|Deep Imaskari ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepImaskariSkills				ABILITY:Deep Imaskari Race Trait|AUTOMATIC|Deep Imaskari ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepImaskariLanguages	ABILITY:Deep Imaskari Race Trait|AUTOMATIC|Deep Imaskari ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DeepImaskariFavoredClass	SOURCEPAGE:Und		
																																		
# Duergar																																		
																																		
Common	CATEGORY:Internal	TYPE:GloamingSubrace.GloamingBase		DESC:Gloamings are planetouched beings descended from natives of Toril and the Plane of Shadow.	KEY:Gloaming ~ Common									BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Common Gloaming	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Light Blindness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingLightBlindness	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Shadow Spells|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingShadowSpells	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingLowLightVision	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Luminescence|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingLuminescence	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Bonus Feat|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingBonusFeat	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingSkills	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingLanguages	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingFavoredClass	SOURCEPAGE:Und	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Saving Throw|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingSavingThrow	ABILITY:Gloaming Race Trait|AUTOMATIC|Gloaming ~ Psionic Saving Throw|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GloamingPsionicSavingThrow
																																		
# Grimlock																																		
																																		
# Kuo-Toa																																		
																																		
