SOURCELONG:Gozzilioni Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																															
#																																																																		
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page																								
Leadership	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PRELEVEL:MIN=6																		DEFINE:LeadershipScore|0	DESC:You can attract loyal companions and devoted followers, subordinates who assist you. Your DM has information on what sort of cohort and how many followers you can recruit.														BONUS:VAR|LeadershipMaxCohortLvl|min((TL-2),(((LeadershipScore+6)*7)/10)-4)			SOURCEPAGE:DMG	DEFINE:LeadershipMaxCohortLvl|0	DESC:Cohort Level=%1|LeadershipCohortLVL	DESC:Level 1 Followers=%1|LeadershipFollowerLVL1	DESC:Level 2 Followers=%1|LeadershipFollowerLVL2	DESC:Level 3 Followers=%1|LeadershipFollowerLVL3	DESC:Level 4 Followers=%1|LeadershipFollowerLVL4	DESC:Level 5 Followers=%1|LeadershipFollowerLVL5	DESC:Level 6 Followers=%1|LeadershipFollowerLVL6	ABILITY:Special Ability|AUTOMATIC|Leadership Score|Leadership Cohort	BONUS:VAR|LeadershipScore|(TL+CHA)	BONUS:VAR|LeadershipCohortLVL|min(CohortLVL,TL-2)	FOLLOWERS:Follower LVL 1|LeadershipFollowerLVL1	FOLLOWERS:Follower LVL 2|LeadershipFollowerLVL2	FOLLOWERS:Follower LVL 3|LeadershipFollowerLVL3	FOLLOWERS:Follower LVL 4|LeadershipFollowerLVL4	FOLLOWERS:Follower LVL 5|LeadershipFollowerLVL5	FOLLOWERS:Follower LVL 6|LeadershipFollowerLVL6	COMPANIONLIST:Follower LVL 1|ANY	COMPANIONLIST:Follower LVL 2|ANY	COMPANIONLIST:Follower LVL 3|ANY	COMPANIONLIST:Follower LVL 4|ANY	COMPANIONLIST:Follower LVL 5|ANY	COMPANIONLIST:Follower LVL 6|ANY	ASPECT:LeadershipCohortLVL|%1|LeadershipMaxCohortLvl
Tattoo Focus	CATEGORY:FEAT	TYPE:Special	VISIBLE:YES							PRETEXT:Specialized in a school of magic.															DESC:Add +1 to the DC for all saving throws against spells from your specialized school. You get a +1 bonus on caster level checks (1d20 + caster level) to overcome a creature's spell resistance when casting spells from that school.	STACK:NO	MULT:YES	CHOOSE:SCHOOLS|ALL	BONUS:DC|SCHOOL.%CHOICE|1													SOURCEPAGE:DMG																								
Improved Familiar	CATEGORY:FEAT	TYPE:Special	VISIBLE:YES							PRETEXT:Ability to acquire a new familiar, combatible alignment, sufficiently high level.															DESC:When choosing a familiar, the creatures listed below are also available to the spellcaster. The spellcaster may choose a familiar with an alignment up to one step away on each of the alignment axes (lawful through chaotic, good through evil). For example, a chaotic good spellcaster could acquire a neutral familiar. A lawful neutral spellcaster could acquire a neutral good familiar.																	SOURCEPAGE:DMG	COMPANIONLIST:Familiar|Companion ~ Shocker Lizard,Companion ~ Stirge|PREALIGN:LN,NG,TN,NE,CN|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Formian (Worker)|PREALIGN:LG,LN,LE,TN|PRECLASS:1,SPELLCASTER.Arcane=7	COMPANIONLIST:Familiar|Companion ~ Devil (Imp)|PREALIGN:LN,LE,NE|PRECLASS:1,SPELLCASTER.Arcane=7	COMPANIONLIST:Familiar|Companion ~ Pseudodragon|PREALIGN:LG,NG,TN,CG|PRECLASS:1,SPELLCASTER.Arcane=7	COMPANIONLIST:Familiar|Companion ~ Demon (Quasit)|PREALIGN:NE,CE,CN|PRECLASS:1,SPELLCASTER.Arcane=7	COMPANIONLIST:Familiar|Companion ~ Animal (Celestial/Hawk)|PRERACE:1,RACESUBTYPE=Good|PRECLASS:1,SPELLCASTER.Arcane=3	COMPANIONLIST:Familiar|Companion ~ Animal (Fiendish/Viper/Tiny)|PRERACE:1,RACESUBTYPE=Evil|PRECLASS:1,SPELLCASTER.Arcane=3	COMPANIONLIST:Familiar|Companion ~ Elemental (Air/Small)|PRERACE:1,RACESUBTYPE=Air|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Elemental (Earth/Small)|PRERACE:1,RACESUBTYPE=Earth|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Elemental (Fire/Small)|PRERACE:1,RACESUBTYPE=Fire|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Shocker Lizard|PRERACE:1,RACESUBTYPE=Electricity|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Elemental (Water/Small)|PRERACE:1,RACESUBTYPE=Water|PRECLASS:1,SPELLCASTER.Arcane=5	COMPANIONLIST:Familiar|Companion ~ Homunculus|PRERACE:1,RACETYPE=Undead|PRECLASS:1,SPELLCASTER.Arcane=7	COMPANIONLIST:Familiar|Companion ~ Mephit (Ice)|PRERACE:1,RACESUBTYPE=Cold|PRECLASS:1,SPELLCASTER.Arcane=7										
#																																																																		
CATEGORY=FEAT|Spell Mastery.MOD	TYPE:RedWizard																																																																	
																																																																		
[Normal Feat]	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Choose a normal feat.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Feat|1													SOURCEPAGE:DMG																								
Familiar Spell	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,INT=25,CHA=25					PRETEXT:Int 25 (if your spellcasting is controlled by Intelligence) or Cha 25 (if your spellcasting is controlled by Charisma).				DESC:See text.	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[KNOWN=YES;LEVELMAX=8]														SOURCEPAGE:DMG																								
Great Smiting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CHA=25					PREABILITY:1,CATEGORY=Special Ability,TYPE.Smite				DESC:See text.				BONUS:ABILITYPOOL|Great Smiting|1													SOURCEPAGE:DMG																								
Improved Elemental Wild Shape	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,WIS=25					PREABILITY:1,CATEGORY=Special Ability,Wild Shape	PREVARGTEQ:WildShapeProgression,6			DESC:See text.														BONUS:VAR|ImprovedWildShape|1			SOURCEPAGE:DMG																								
Improved Favored Enemy	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREABILITY:1,CATEGORY=Special Ability,Favored Enemy				DESC:See text.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ImprovedFavoredEnemyBonus|1			SOURCEPAGE:DMG	ASPECT:NAME|Improved Favored Enemy +%1|ImprovedFavoredEnemyBonus																							
Improved Metamagic	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:4,CATEGORY=FEAT,TYPE.Metamagic						PRESKILL:1,Spellcraft=30												DESC:See text.																	SOURCEPAGE:DMG	ADDSPELLLEVEL:-1																							
Improved Sneak Attack	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREABILITY:1,CATEGORY=Special Ability,Sneak Attack	PREVARGTEQ:SneakAttackDice,8			DESC:See text.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|SneakAttackDice|1													SOURCEPAGE:DMG																								
