SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
																																													
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Psions are proficient with the club, dagger, heavy crossbow, light crossbow, quar ter staff, and shortspear. They are not proficient with any type of armor or shield. Armor does not, however, interfere with the manifestation of powers.	KEY:Psion ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfPsion								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Power Points per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A psion's ability to manifest powers is limited by the power points he has available. His base daily allotment of power points is given on Table 2-3: The Psion. In addition, he receives bonus power points per day if he has a high Intelligence score (see Table 2-1: Ability Modifiers and Bonus Power Points). His race may also provide bonus power points per day, as may certain feats and items.	KEY:Psion ~ Power Points per Day									BONUS:VAR|PsionML|PsionLVL									ABILITY:Internal|AUTOMATIC|Psion Caster Support								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Discipline	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Every psion must decide at 1st level which psionic discipline he will specialize in. Choosing a discipline provides a psion with access to the class skills associated with that discipline (see above), as well as the powers restricted to that discipline. However, choosing a discipline also means that the psion cannot learn powers that are restricted to other disciplines. He can't even use such powers by employing psionic items. (See Psionic Disciplines, below, for a brief description of each discipline. Chapter 5 of this book contains a list of powers available to all psions and lists of powers restricted to certain disciplines).	KEY:Psion ~ Discipline																										SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Seer	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Seer																		SPELLLEVEL:CLASS|Psion=1|Destiny Dissonance,Precognition|Psion=2|Clairvoyant Sense,Object Reading,Sensitivity to Psychic Impression|Psion=3|Escape Detection,Fate Link|Psion=4|Anchored Navigation,Remote Viewing|Psion=5|Clairtangent Hand,Second Chance|Psion=6|Precognition (Greater)|Psion=7|Fate of One|Psion=8|Hypercognition|Psion=9|Metafaculty								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Shaper	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Shaper																		SPELLLEVEL:CLASS|Psion=1|Astral Construct,Minor Creation (Psionic)|Psion=2|Psionic Repair Damage|Psion=3|Concealing Amorpha (Greater),Ectoplasmic Cocoon|Psion=4|Fabricate (Psionic),Quintessence|Psion=5|Hail of Crystals|Psion=6|Fabricate (Greater/Psionic)|Psion=7|Crystallize,Ectoplasmic Cocoon (Mass)|Psion=8|Astral Seed|Psion=9|Genesis,True Creation (Psionic)								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Kineticist	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Kineticist																		SPELLLEVEL:CLASS|Psion=1|Control Object|Psion=2|Control Air,Energy Missile|Psion=3|Energy Cone|Psion=4|Control Body,Energy Ball,Inertial Barrier|Psion=5|Energy Current,Fiery Discorporation|Psion=6|Dispelling Buffer,Null Psionic Field|Psion=7|Reddopsi|Psion=8|Telekinetic Sphere (Psionic)|Psion=9|Tornado Blast								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Egoist	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Egoist																		SPELLLEVEL:CLASS|Psion=1|Thicken Skin|Psion=2|Animal Affinity,Chameleon,Empathic Transfer|Psion=3|Ectoplasmic Form,Hustle|Psion=4|Metamorphosis,Psychic Vampire|Psion=5|Psionic Revivify,Psychofeedback,Restore Extremity|Psion=6|Restoration (Psionic)|Psion=7|Fission|Psion=8|Fusion|Psion=9|Metamorphosis (Greater)								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Nomad	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Nomad																		SPELLLEVEL:CLASS|Psion=1|Burst,Detect Teleportation,Dismissal|Psion=2|Levitate (Psionic)|Psion=3|Astral Caravan|Psion=4|Dimension Swap,Dimensional Anchor,Fly (Psionic)|Psion=5|Baleful Teleport,Teleport (Psionic),Teleport Trigger|Psion=6|Banishment|Psion=7|Dream Travel,Ethereal Jaunt (Psionic)|Psion=8|Time Hop (Mass)|Psion=9|Teleportation Circle (Psionic),Time Regression								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Telepath	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion ~ Discipline ~ Telepath																		SPELLLEVEL:CLASS|Psion=1|Charm (Psionic),Mindlink|Psion=2|Aversion,Brain Lock,Read Thoughts,Suggestion (Psionic)|Psion=3|Crisis of Breath,Empathic Transfer (Hostile),False Sensory Input|Psion=4|Dominate (Psionic),Mindlink (Thieving),Modify Memory (Psionic),Schism|Psion=5|Metaconcert,Mind Probe|Psion=6|Mind Switch|Psion=7|Crisis of Life|Psion=8|Mind Seed|Psion=9|Mind Switch (True),Psychic Chirurgery								SORTKEY:Class_Psion	SOURCEPAGE:EPH													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A psion gains a bonus feat at 1st level, 5th level, 10th level, 15th level, and 20th level. This feat must be a psionic feat, a metapsionic feat, or a psionic item creation feat. These bonus feats are in addition to the feats that a character of any class gains every three levels (as given on Table 3-2: Experience and Level- ependent Benefi ts, page 22 of the Player's Handbook). A psion is not limited to psionic feats, metapsionic feats, and psionic item creation feats when choosing these other feats.	KEY:Psion ~ Bonus Feats				DEFINE:PsionBonusFeats|0					BONUS:VAR|PsionBonusFeats|1+(PsionLVL/5)	BONUS:ABILITYPOOL|Psion Feat|PsionBonusFeats																SORTKEY:Class_Psion	SOURCEPAGE:EPH													
