SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Race Traits																																	
# Race Traits (assigned by race)																																	
Race Traits ~ Dromite	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Dromite Racial Traits	ABILITY:Dromite Subrace|AUTOMATIC|Dromite ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Elan	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Elan Racial Traits	ABILITY:Elan Subrace|AUTOMATIC|Elan ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Half-Giant	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Half-Giant Racial Traits	ABILITY:Half-Giant Subrace|AUTOMATIC|Half-Giant ~ Half-Giant|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Maenad	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Maenad Racial Traits	ABILITY:Maenad Subrace|AUTOMATIC|Maenad ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Thri-Kreen	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Thri-Kreen Racial Traits	ABILITY:Thri-Kreen Subrace|AUTOMATIC|Thri-Kreen ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Xeph	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Xeph Racial Traits	ABILITY:Xeph Subrace|AUTOMATIC|Xeph ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
																																	
###Block: Racial Assigned (assigned by race trait)																																	
Dromite Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Dromite Racial Traits																												
Elan Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Elan Racial Traits																												
Half-Giant Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Half-Giant Racial Traits																												
Maenad Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Maenad Racial Traits																												
Thri-Kreen Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Thri-Kreen Racial Traits																												
Xeph Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Xeph Racial Traits																												
																																	
###Block: Traits																																	
# Dromite ~ Common																																	
Chitin	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:A dromite's skin is hardened, almost like an exoskeleton, and grants the character a +3 natural armor bonus to AC and one of the following resistance to energy: cold 5, electricity 5, fire 5 or sonic 5. The player chooses what type of energy resistance is gained the the charachter is creater. (This choice also dictates which which caste the dromite belongs to). This natural energy resistance stacks with any future energy resistance gained through other effects.	KEY:Dromite ~ Chitin									TEMPLATE:Dromite Chitin																		SOURCEPAGE:EPH	
Naturally Psionic	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dromites gain 1 bonus power point at 1st level. This benefit doesnt grant them the ability to manifest powers unless they gain that ability through another source, such as levels in a psionic class.	KEY:Dromite ~ Naturally Psionic									BONUS:VAR|BonusPP|1|TYPE=Racial																		SOURCEPAGE:EPH	
Psi-Like Abilities	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality.PsiLike	VISIBLE:YES		KEY:Dromite ~ Psi-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=max(1,(TL/2))|Energy Ray,11+CHA									SOURCEPAGE:EPH	
Scent	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Its antennae give a dromite the scent ability.	KEY:Dromite ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:EPH	
Blind-Fight	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Its antennae also give a dromite Blind-Fight as a bonus feat.	KEY:Dromite ~ Blind-Fight																		ABILITY:FEAT|AUTOMATIC|Blind-Fight									SOURCEPAGE:EPH	
Compound Eyes	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:This feature of anatomy gives a dromite a +2 racial bonus on Spot checks.	KEY:Dromite ~ Compound Eyes									BONUS:SKILL|Spot|2|TYPE=Racial																		SOURCEPAGE:EPH	
Languages	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common. Bonus Languages: Dwarven, Gnome, Goblin, Terran.	KEY:Dromite ~ Languages																		TEMPLATE:Dromite ~ Common ~ Languages									SOURCEPAGE:EPH	
Favored Class	CATEGORY:Special Ability	TYPE:DromiteRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Wilder.	KEY:Dromite ~ Favored Class																		TEMPLATE:Dromite ~ Common ~ Favored Class									SOURCEPAGE:EPH	
# Dwarf ~ Duergar																																	
Naturally Psionic	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Duergar gain 3 bonus power point at 1st level. This benefit doesnt grant them the ability to manifest powers unless they gain that ability through another source, such as levels in a psionic class.	KEY:Psionic Duergar Dwarf ~ Naturally Psionics									BONUS:VAR|BonusPP|3|TYPE=Racial																		SOURCEPAGE:EPH	
Favored Class	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Psychic Warrior.	KEY:Psionic Duergar Dwarf ~ Favored Class																		TEMPLATE:Dromite ~ Common ~ Favored Class									SOURCEPAGE:EPH	
# Elan ~ Common																																	
Darkvision	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Elans (unlike most aberrations) do not have darkvision.	KEY:Elan ~ Darkvision									BONUS:VAR|DarkvisionRange|-60|TYPE=Base.STACK																		SOURCEPAGE:EPH	
Naturally Psionic	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Elans gain 2 bonus power points at 1st level. This benefi t does not grant them the ability to manifest powers unless they gain that ability through another source, such as levels in a psionic class.	KEY:Elan ~ Naturally Psionic									BONUS:VAR|BonusPP|2|TYPE=Racial																		SOURCEPAGE:EPH	
Resistance	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Elans can use psionic energy to increase their resistance to various forms of attack. As an immediate action, an elan can spend 1 power point to gain a +4 racial bonus on saving throws until the beginning of her next action (For a definition of immediate action, see page 59).	KEY:Elan ~ Resistance																											SOURCEPAGE:EPH	
Resilience	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When an elan takes damage, she can spend power points to reduce its severity. As an immediate action, she can reduce the damage she is about to take by 2 hit points for every 1 power point she spends (For a defi nition of immediate action, see page 59).	KEY:Elan ~ Resilience																											SOURCEPAGE:EPH	
Repletion	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An elan can sustain her body without need of food or water. If she spends 1 power point, an elan does not need to eat or drink for 24 hours.	KEY:Elan ~ Repletion																											SOURCEPAGE:EPH	
Languages	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common. Bonus Languages: Any (other than secret languages, such as Druidic). Elans' past lives expose them to wide ranges of language.	KEY:Elan ~ Languages																		TEMPLATE:Elan ~ Common ~ Languages									SOURCEPAGE:EPH	
Favored Class	CATEGORY:Special Ability	TYPE:ElanRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Psion.	KEY:Elan ~ Favored Class																		TEMPLATE:Elan ~ Common ~ Favored Class									SOURCEPAGE:EPH	
# Githyanki ~ Psionic Githyanki																																	
Naturally Psionic	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Githyanki gain 3 bonus power points at 1st level. This benefi t does not grant them the ability to manifest powers unless they gain that ability through another source, such as levels in a psionic class.	KEY:Psionic Githyanki Githyanki ~ Naturally Psionics									BONUS:VAR|BonusPP|3|TYPE=Racial																		SOURCEPAGE:EPH	
Psi-Like Abilities	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES		KEY:Psionic Githyanki Githyanki ~ Psi-Like Abilities																		ABILITY:Special Ability|AUTOMATIC|Githyanki ~ Far Hand|Githyanki ~ Psionic Daze	ABILITY:Special Ability|AUTOMATIC|Githyanki ~ Concealing Amorpha|PRELEVEL:MIN=3	ABILITY:Special Ability|AUTOMATIC|Githyanki ~ Psionic Dimension Door|PRELEVEL:MIN=6	ABILITY:Special Ability|AUTOMATIC|Githyanki ~ Telekinetic Thrust|Githyanki ~ Psionic Plane Shift|PRELEVEL:MIN=9						SOURCEPAGE:EPH	
Far Hand	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.SpecialAttack.PsiLike	VISIBLE:YES		KEY:Githyanki ~ Far Hand																		SPELLS:Innate|TIMES=3|CASTERLEVEL=max(1,(TL/2))|Far Hand,10+CHA									SOURCEPAGE:EPH	
