SOURCELONG:Gozzilioni Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
#																						
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property														
Ioun Stone (Rainbow)		TYPE:Wondrous.IounStone	COST:16000	WT:0	SOURCEPAGE:EPH	SPROP:Provides 5 psionic power points per day (regenerates)																
																						
##Block: Cognizance Crystal																						
Cognizance Crystal (1)		TYPE:CognizanceCrystal	COST:1000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 1 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_001															
Cognizance Crystal (3)		TYPE:CognizanceCrystal	COST:4000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 3 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_003															
Cognizance Crystal (5)		TYPE:CognizanceCrystal	COST:9000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 5 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_005															
Cognizance Crystal (7)		TYPE:CognizanceCrystal	COST:16000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 7 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_007															
Cognizance Crystal (9)		TYPE:CognizanceCrystal	COST:25000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 9 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_009															
Cognizance Crystal (11)		TYPE:CognizanceCrystal	COST:36000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 11 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_011															
Cognizance Crystal (13)		TYPE:CognizanceCrystal	COST:49000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 13 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_013															
Cognizance Crystal (15)		TYPE:CognizanceCrystal	COST:64000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 15 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_015															
Cognizance Crystal (17)		TYPE:CognizanceCrystal	COST:81000	WT:1	SOURCEPAGE:EPH	SPROP:Stores up to 17 Power Point to be used for manifesting powers	SORTKEY:Cognizance_Crystal_017															
																						
																						
##Block: Psicrown																						
