SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
#																								
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST:	DESC:	Bonus	Bonus
Adapt Body				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=5|Wilder=5|Psychic Warrior=5	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9		
Affinity Field				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=9|Wilder=9	COMPS:Vi, Ma	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:20-ft-radius emanation, centered on you.	DURATION:1 round/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 17		
Anchored Navigation				TYPE:Power	SCHOOL:Clairsentience				COMPS:Ma, Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: If you spend 6 additional power points, the effect of this power extends across all planar boundaries.		
Animal Affinity				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=2	COMPS:Ma	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 5 additional power points you spend, this power grants a +4 enhancement bonus to another ability.		
Apopsi				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=9|Wilder=9	COMPS:Au, Ma, Vi	CASTTIME:1 round	RANGE:Close	TARGETAREA:One living psionic creature.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:50		DESC:Power Points: 17. XP Cost: 50 XP per level of the deleted powers.		
Assimilate				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=9|Wilder=9	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched.	DURATION:Instantaneous and 1 hour; see text	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH							
Astral Caravan				TYPE:Power	SCHOOL:Psychoportation				COMPS:None	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:You and touched willing creatures.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: If you spend 2 additional power points, this power weaves a quasi-real fi lmy membrane around yourself and all those adjacent to each other in the caravan (being linked by hand is not required if this membrane is used). You remain visible within the translucent, amorphous enclosure. You can pick up or drop willing passengers, easily reaching through the fi lm. Anything you hold is enveloped by the fi lm. Any attacks made through the enclosure in either direction have a 25%% miss chance due to the rippling membrane. When you manifest this power in its augmented form, your apparent speed to those observing on the Astral Plane is 40 feet, and you can make a Knowledge (the planes) check once every 12 hours to attempt to make it to your destination (six successful checks within 12 consecutive days still sees you to your desired goal).		
Astral Construct				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation			COMPS:Vi; See text	CASTTIME:1 round	RANGE:Close	TARGETAREA:One created astral contruct.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, the level of the astral construct increases by one.		
Astral Seed				TYPE:Power	SCHOOL:Metacreativity				COMPS:Ma; See text	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One storage crystal	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 15.		
Astral Traveler				TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:None	CASTTIME:1 hour	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:See text	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Attraction				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power's save DC increases by 1 and the bonus on interaction checks increases by 1.		
Aura Alteration				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=6|Wilder=6	COMPS:Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature.	DURATION:10 minutes/level or instantaneous; See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: You can augment this power in one or both of the following ways. &nl;1. For every additional power point you spend, the duration of the disguise aura increases by 10 minutes. &nl;2. If you spend 2 additional power points, the subject's alignment shifts an additional step (chaotic evil to lawful evil, for instance); if you spend 4 additional power points, the subject's alignment changes to its opposite (chaotic evil to lawful good, for instance).		
Aura Sight				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=4|Wilder=4	COMPS:Vi	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation centered on you.	DURATION:Concentration, up to 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every 2 additional power points you spend, this power's range increases by 5 feet.		
Aversion				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting		COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's save DC increases by 1 and the duration increases by 1 hour.		
Baleful Teleport				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation			COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal creature.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every additional power point you spend, this power's damage increases by 1d6 points. For each extra 2d6 points of damage, this power's save DC increases by 1 and your manifester level increases by 1 for the purpose of overcoming power resistance.		
Banishment		KEY:Banishment (Psionic)		TYPE:Power	SCHOOL:Psychoportation				COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more extraplanar creatures, no two of which can be more than 30 ft apart.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: For every 2 additional power points you spend, this power's save DC increases by 1 and your manifester level increases by 1 for the purpose of overcoming power resistance.		
Bend Reality				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=8|Wilder=8	COMPS:Vi	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:See text	SAVEINFO:None; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:300		DESC:Power Points: 15. XP Cost: 300 XP.		
Bestow Power				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:Me	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:One psionic creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. DESC:Augment: For every 3 additional power points you spend, the subject gains 2 additional power points.		
