SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
																																					
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page					
# Subraces																																					
Psionic Aboleth	CATEGORY:Internal	TYPE:AbolethSubrace.AltSubraceChoice.AbolethEnslave.AbolethPsionics			KEY:Aboleth ~ Psionic									BONUS:STAT|STR|16|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|10|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Psionic Aboleth	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Slime|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AbolethSlime	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AbolethDarkvision	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Mucus Cloud|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AbolethMucusCloud	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AbolethSkills	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AbolethLanguages	ABILITY:Aboleth Race Trait|AUTOMATIC|Aboleth ~ Psi-Like Abilities			SOURCEPAGE:EPH					
Psionic Couatl	CATEGORY:Internal	TYPE:CouatlSubrace.AltSubraceChoice.CouatlPsionics			KEY:Couatl ~ Psionic									BONUS:STAT|STR|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Psionic Couatl	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Constrict|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlConstrict	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Improved Grab|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlImprovedGrab	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Poison|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlPoison	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Spells|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlSpells	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Ethereal Jaunt|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlEtherealJaunt	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Telepathy|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlTelepathy	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.CouatlLanguages	ABILITY:Couatl Race Trait|AUTOMATIC|Couatl ~ Psi-Like Abilities	SOURCEPAGE:EPH					
Common Dromite	CATEGORY:Internal	TYPE:DromiteSubrace.DromiteBase			KEY:Dromite ~ Common									BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Dromite	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Chitin|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteChitin	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Naturally Psionic|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteNaturallyPsionic	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Psi-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromitePsiLikeAbilities	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Scent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteScent	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Blind-Fight|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteBlindFight	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Compound Eyes|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteCompoundEyes	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteLanguages	ABILITY:Dromite Race Trait|AUTOMATIC|Dromite ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DromiteFavoriteClass	SOURCEPAGE:EPH					
Psionic Duergar	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfRacialVision.DwarfPoisonSaveBonus.DwarfLanguages.DwarfWeaponFamiliarity		DESC:The duergar, or gray dwarves, are grim folk who lead lives of neverending toil in great underground foundry-cities.	KEY:Dwarf ~ Psionic Duergar	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Psionic Duergar],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Psionic Duergar Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfRacialVision		ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Immunities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAttackBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	SOURCEPAGE:EPH	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Psionic Duergar Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Spell-Like Abilities|Duergar Dwarf ~ Light Sensitivity|Duergar Dwarf ~ Move Silently Skill Bonus|Duergar Dwarf ~ Listen Skill Bonus|Duergar Dwarf ~ Spot Skill Bonus|Psionic Duergar Dwarf ~ Naturally Psionics
Common Elan	CATEGORY:Internal	TYPE:ElanSubrace.ElanBase			KEY:Elan ~ Common									BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits									TEMPLATE:Common Elan	ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanDarkvision	ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Naturally Psionic|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanNaturallyPsionic	ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Resistance|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanResistance	ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Repletion|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanRepletion			ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanLanguages	ABILITY:Elan Race Trait|AUTOMATIC|Elan ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElanFavoriteClass	SOURCEPAGE:EPH					
Psionic Githyanki	CATEGORY:Internal	TYPE:GithyankiSubrace.AltSubraceChoice.GithyankiPsionics.GithyankiLanguages.GithyankiFavoredClass		DESC:Githyanki are an ancient race of martial humanoids residing on the Astral Plane.	KEY:Githyanki ~ Psionic Githyanki	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Githyanki ~ Psionic Githyanki],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Psionic Githyanki Githyanki	ABILITY:Githyanki Race Trait|AUTOMATIC|Githyanki ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithyankiDarkvision	ABILITY:Githyanki Race Trait|AUTOMATIC|Psionic Githyanki Githyanki ~ Psi-Like Abilities	ABILITY:Githyanki Race Trait|AUTOMATIC|Psionic Githyanki Githyanki ~ Languages	ABILITY:Githyanki Race Trait|AUTOMATIC|Psionic Githyanki Githyanki ~ Favored Class	SR:GithyankiSR	DEFINE:GithyankiSR|0	BONUS:VAR|GithyankiSR|TL+5	BONUS:VAR|GithyankiLanguage|1|TYPE=Racial	SOURCEPAGE:EPH	ABILITY:Githyanki Race Trait|AUTOMATIC|Psionic Githyanki Githyanki ~ Naturally Psionics				
Psionic Githzerai	CATEGORY:Internal	TYPE:GithzeraiSubrace.AltSubraceChoice.GithzeraiPsionics.GithzeraiInertialArmor.GithzeraiLanguages		DESC:The githzerai turned their attention to the mysteries of the inner self and became a race of ascetics who harness the power of the mind and the spirit.	KEY:Githzerai ~ Psionic Githzerai	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Githzerai ~ Psionic Githzerai],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|6|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Psionic Githzerai Githzerai	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiDarkvision	ABILITY:Githzerai Race Trait|AUTOMATIC|Psionic Githzerai Githzerai ~ Psi-Like Abilities		ABILITY:Githzerai Race Trait|AUTOMATIC|Psionic Githzerai Githzerai ~ Languages	ABILITY:Githzerai Race Trait|AUTOMATIC|Githzerai ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GithzeraiFavoredClass	SR:GithzeraiSR	DEFINE:GithzeraiSR|0	BONUS:VAR|GithzeraiSR|TL+5	SOURCEPAGE:EPH	ABILITY:Githzerai Race Trait|AUTOMATIC|Psionic Githzerai Githzerai ~ Naturally Psionics				
Blue Goblin	CATEGORY:Internal	TYPE:GoblinSubrace.AltSubraceChoice.GoblinFavoredClass			KEY:Goblin ~ Blue									BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Blue Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinDarkvision	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Move Silently Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialMoveSilentlySkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Ride Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialRideSkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Blue Goblin ~ Favored Class|Blue Goblin ~ Naturally Psionic				SOURCEPAGE:EPH					
Half-Giant	CATEGORY:Internal	TYPE:HalfGiantSubrace.HalfGiantBase			KEY:Half-Giant ~ Half-Giant																		TEMPLATE:Half-Giant ~ Half-Giant	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Fire Acclimated|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantFireAcclimated	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Powerful Build|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantPowerfulBuild	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Naturally Psionic|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantNaturallyPsionic	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Psi-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantPsiLikeAbilities	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantLanguages	ABILITY:Half-Giant Race Trait|AUTOMATIC|Half-Giant ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfGiantFavoredClass			SOURCEPAGE:EPH					
