SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
#			
### Weapon/Spell			
### Simple/Martial/Exotic			
### Melee/Ranged			
### Bludgeoning/Piercing/Slashing			
### Reach/Double/Thrown/Projectile/Ammunition			
### Unharmed/Light/OneHanded/TwoHanded			
###Automatic			
Bite	TYPE:Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning
Claw	TYPE:Weapon.Natural.Finesseable.Melee.Piercing.Slashing
Talon	TYPE:Weapon.Natural.Finesseable.Melee.Piercing.Slashing
Gore	TYPE:Weapon.Natural.Finesseable.Melee.Piercing
Slap	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning
Slam	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning
Sting	TYPE:Weapon.Natural.Finesseable.Melee.Piercing
Tentacle	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing
#
Wing	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning
Tail	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning
Tail Slap	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning
Pincer	TYPE:Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing
Foreclaw	TYPE:Weapon.Natural.Finesseable.Melee.Piercing.Slashing
