SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																			
																																						
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page						
Deep	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfSpellSaveBonus.DwarfPoisonSaveBonus.DwarfRacialVision.DwarfLanguages.DwarfLightSensitivity		DESC:These dwarves live far underground and tend to be more standoffish with nondwarves.	KEY:Dwarf ~ Deep	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Deep],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Deep Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Deep Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfRacialVision	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Deep Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Deep Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAttackBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	ABILITY:Dwarf Race Trait|AUTOMATIC|Deep Dwarf ~ Light Sensitivity		
Duergar	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfRacialVision.DwarfPoisonSaveBonus.DwarfLanguages.DwarfWeaponFamiliarity		DESC:Sometimes called gray dwarves, these evil beings dwell in the underground.	KEY:Dwarf ~ Duergar	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Duergar],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Duergar Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfRacialVision		ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Immunities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAttackBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	ABILITY:Dwarf Race Trait|AUTOMATIC|Duergar Dwarf ~ Spell-Like Abilities|Duergar Dwarf ~ Light Sensitivity|Duergar Dwarf ~ Move Silently Skill Bonus|Duergar Dwarf ~ Listen Skill Bonus|Duergar Dwarf ~ Spot Skill Bonus		
Mountain	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice		DESC:Mountain dwarves live deeper under the mountains than hill dwarves but generally not as far underground as deep dwarves.	KEY:Dwarf ~ Mountain	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Mountain],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Mountain Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfRacialVision	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAttackBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass			
																																						
Aquatic	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice		DESC:Also called sea elves, these creatures are waterbreathing cousins to land-dwelling elves.	KEY:Elf ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Aquatic Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Superior Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Aquatic Elf ~ Gills								
Drow	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice		DESC:Also known as dark elves, drow are a depraved and evil subterranean offshoot.	KEY:Elf ~ Drow	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Drow],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Drow Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Drow Elf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Drow Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Drow Elf ~ Poison|Drow Elf ~ Spell Resistance|Drow Elf ~ Spell-Like Abilities|Drow Elf ~ Spell Saving Throw								
Gray	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice		DESC:Gray elves are the most noble and regal of all elves.	KEY:Elf ~ Grey	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Grey],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Gray Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits									
Wild	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice		DESC:Wild elves, also known as grugach, are barbaric and tribal.	KEY:Elf ~ Wild	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Wild],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Wild Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Wild Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits									
Wood	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice		DESC:Also called sylvan elves, members of this subrace live deep in primordial forests.	KEY:Elf ~ Wood	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Wood],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Wood Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Elf Race Trait|AUTOMATIC|Wood Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits									
																																						
