SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																															
																																		
Common	VISIBLE:NO	KEY:Common Aboleth																																
Languages	KEY:Aboleth ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Aboleth	LANGBONUS:Undercommon,Aquan																														
																																		
Common	VISIBLE:NO	KEY:Common Couatl	LEVELADJUSTMENT:7																															
Languages	KEY:Couatl ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Celestial|Common|Draconic																															
																																		
Languages	KEY:Bugbear ~ Common ~ Languages	VISIBLE:NO	LANGBONUS:Draconic,Elven,Giant,Gnoll,Orc																															
Favored Class	KEY:Bugbear ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue																															
																																		
Languages	KEY:Centaur ~ Common ~ Languages	VISIBLE:NO	LANGBONUS:Common,Gnome,Halfling																															
Favored Class	KEY:Centaur ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Ranger																															
																																		
Level Adjustment	KEY:Derro ~ Common ~ Level Adjustment	VISIBLE:NO	LEVELADJUSTMENT:-2																															
																																		
Languages	KEY:Doppelganger ~ Common ~ Languages	VISIBLE:NO	LANGBONUS:Auran,Dwarven,Elven,Gnome,Halfling,Giant,Terran																															
Favored Class	KEY:Doppelganger ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue																															
																																		
Deep	VISIBLE:NO	KEY:Deep Dwarf	SUBRACE:Deep																															
Duergar	VISIBLE:NO	KEY:Duergar Dwarf	SUBRACE:Duergar	LEVELADJUSTMENT:1																														
Mountain	VISIBLE:NO	KEY:Mountain Dwarf	SUBRACE:Mountain																															
Languages	KEY:Dwarf ~ Deep ~ Languages	VISIBLE:NO	AUTO:LANG|Dwarven|Goblin	LANGBONUS:Draconic,Undercommon																														
Languages	KEY:Dwarf ~ Duergar ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Dwarven|Undercommon	LANGBONUS:Draconic,Giant,Goblin,Orc,Terran																														
																																		
Aquatic	VISIBLE:NO	KEY:Aquatic Elf	SUBRACE:Aquatic	RACESUBTYPE:Aquatic	MOVE:Swim,40																													
Drow	VISIBLE:NO	KEY:Drow Elf	SUBRACE:Drow	LEVELADJUSTMENT:1	CR:1																													
Gray	VISIBLE:NO	KEY:Gray Elf	SUBRACE:Gray																															
Wild	VISIBLE:NO	KEY:Wild Elf	SUBRACE:Wild																															
Wood	VISIBLE:NO	KEY:Wood Elf	SUBRACE:Wood																															
Languages	KEY:Elf ~ Drow ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Elven	LANGBONUS:Abyssal,Aquan,Draconic,Drow Sign Language,Gnome,Goblin,Kuo-toan																														
Favored Class	KEY:Elf ~ Aquatic ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
Favored Class	KEY:Elf ~ Drow ~ Favored Class	VISIBLE:NO	TEMPLATE:CHOOSE:Drow Male|Drow Female																															
Favored Class	KEY:Elf ~ Wild ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Sorcerer																															
Favored Class	KEY:Elf ~ Wood ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Ranger																															
																																		
Common	VISIBLE:NO	KEY:Common Gargoyle	LEVELADJUSTMENT:5																															
Kapoacinth	VISIBLE:NO	KEY:Kapoacinth Gargoyle	SUBRACE:Kapoacinth	LEVELADJUSTMENT:5																														
Languages	KEY:Gargoyle ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Common	LANGBONUS:Auran,Dwarven,Elven,Gnome,Halfling,Giant,Terran																														
Favored Class	KEY:Gargoyle ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
																																		
Githyanki	VISIBLE:NO	KEY:Common Githyanki	LEVELADJUSTMENT:2																															
Languages	KEY:Githyanki ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Githyanki	LANGBONUS:Common,Infernal,Draconic,Undercommon																														
Favored Class	KEY:Githyanki ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Fighter																															
																																		
Githzerai	VISIBLE:NO	KEY:Common Githzerai	LEVELADJUSTMENT:2																															
Languages	KEY:Githzerai ~ Common ~ Languages	VISIBLE:NO	AUTO:LANG|Githzerai	LANGBONUS:Common,Slaad,Undercommon																														
Favored Class	KEY:Githzerai ~ Common ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Monk																															
																																		
