SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
###Block: Race Traits																																	
																																	
																																	
###Block: Subtype Traits																																	
# Elements																																	
# Alignments																																	
# Racial																																	
																																	
# Race Groups Subtype																																	
																																	
# Race Groups																																	
Drone	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, an abeil can beat its wings to create a droning buzz in a 60-foot spread. Each creature in the area must make a Will save (DC %1) or fall asleep as the sleep spell. There is no Hit Dice limit for this effect. Abeils are immune to their own drone attacks as well as those of other abeils.|DroneDC	KEY:Abeil ~ Drone				DEFINE:DroneDC|0					BONUS:VAR|DroneDC|DefaultDCCha	BONUS:VAR|DroneDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Drone)																	SOURCEPAGE:MM2	
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If an abeil hits a single target that is at least one size category smaller than itself with both claws, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (see below for grapple bonuses). If it gets a hold, it automatically hits with its sting. Thereafter, the abeil has the option to conduct the grapple normally, or simply use its claws to hold the opponent (-20 penalty on grapple check, but the abeil is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals damage from both claws and the sting.	KEY:Abeil ~ Improved Grab																											SOURCEPAGE:MM2	
Hive Mind	CATEGORY:Special Ability	TYPE:AbeilSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All abeils within 25 miles of their queen are in constant communication. If one is aware of a particular danger, they all are. If one in a particular group is not flat-footed, none of them are. No abeil in such a group is considered flanked unless they all are.	KEY:Abeil ~ Hive Mind																											SOURCEPAGE:MM2	
																																	
Unreliable	CATEGORY:Special Ability	TYPE:AutomatonSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The shadow consciousness of an automaton is only quasireal, like the consciousness of a creation such as a simulacrum. The creature is thus sometimes slow to react to the changing environment around it. At the beginning of each round in which an automaton attempts to act, roll 1d20. On a result of 11 or better, it acts normally; otherwise, it takes no action.	KEY:Automaton ~ Unreliable																											SOURCEPAGE:MM2	
																																	
Languages	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Clockwork Horror ~ Languages																		AUTO:LANG|Clockwork Mechanical Sound									SOURCEPAGE:MM2	
Linked Mind	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All clockwork horrors within 10 miles of a gold, platinum, or adamantine horror are in constant communication. If one is aware of a particular danger, they all are. If one in a particular group is not flat-footed, none of them are. No clockwork horror in such a group is considered flanked unless they all are.	KEY:Clockwork Horror ~ Linked Mind																											SOURCEPAGE:MM2	
Spell Vulnerability	CATEGORY:Special Ability	TYPE:ClockworkHorrorSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A clockwork horror is susceptible to the shatter spell, which blinds it for 1d4+1 rounds.	KEY:Clockwork Horror ~ Spell Vulnerability																											SOURCEPAGE:MM2	
																																	
Blindsense	CATEGORY:Special Ability	TYPE:DesmoduBatSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A bat emits high-frequency sounds, inaudible to most other creatures, that bounce off nearby objects and creatures. This ability enables it to discern objects and creatures within 120 feet. The bat usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight. A silence spell negates this ability and forces the bat to rely on its weak vision, which has a range of 10 feet.	KEY:Desmodu Bat ~ Blindsense									BONUS:VAR|BlindsenseRange|120|TYPE=Base																		SOURCEPAGE:MM2	
Immunities	CATEGORY:Special Ability	TYPE:DesmoduBatSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The bats the desmodus breed are immune to the despair and stunning screech abilities of desmodus.	KEY:Desmodu Bat ~ Immunities																											SOURCEPAGE:MM2	
																																	
###Block: Tracker																																	
																																	
###Block: Races Traits																																	
Race Traits ~ Abeil (Vassal)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbeilVassalRaceTrait|TYPE=AbeilSubRaceTrait	AUTO:LANG|Common|Elven|Sylvan										BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AdvancementByClass|1	BONUS:VAR|Maneuverability|3|TYPE=Base																	
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilVassalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A vassal's grapple bonus is +1.	KEY:Abeil (Vassal) ~ Improved Grab									BONUS:COMBAT|TOHIT.GRAPPLE|1|TYPE=Racial																		SOURCEPAGE:MM2	
Poison	CATEGORY:Special Ability	TYPE:AbeilVassalRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 STR, secondary damage 1d4 STR. The save DC is Constitution-based.|PoisonDC	KEY:Abeil (Vassal) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2	
																																	
Race Traits ~ Abeil (Soldier)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbeilSoldierRaceTrait|TYPE=AbeilSubRaceTrait	AUTO:LANG|Common|Elven|Sylvan										BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AdvancementByClass|1	BONUS:VAR|Maneuverability|4|TYPE=Base																	
Improved Grab	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A vassal's grapple bonus is +16.	KEY:Abeil (Soldier) ~ Improved Grab									BONUS:COMBAT|TOHIT.GRAPPLE|16|TYPE=Racial																		SOURCEPAGE:MM2	
Poison	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 2d4 STR, secondary damage 2d4 STR. The save DC is Constitution-based.|PoisonDC	KEY:Abeil (Soldier) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2	
