SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																																																	
																																																																				
#MM2 aggiornato alla 3.5																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:			
Abeil (Vassal)	OUTPUTNAME:Abeil, [NAME]	FAVCLASS:Druid	STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base												BONUS:STAT|DEX|2			BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:TYPE=Craft|TYPE=Knowledge|Listen|Search|Survival			AUTO:WEAPONPROF|Javelin|Flail						LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Sting,Weapon.Natural.Finesseable.Melee.Piercing.Poison,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil Vassal									MONSTERCLASS:Monstrous Humanoid:1	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:4	CR:2	SOURCEPAGE:MM2					
Abeil (Soldier)	OUTPUTNAME:Abeil, [NAME]	FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:5	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base											BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Listen|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Ranseur|Longbow						LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing.Poison,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil Soldier							DR:5/Magic		MONSTERCLASS:Monstrous Humanoid:6	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:6	SOURCEPAGE:MM2					
Abeil (Queen)	OUTPUTNAME:Abeil, [NAME]	FAVCLASS:Druid	STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,80	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base											BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Diplomacy|Knowledge (Nature)|Knowledge (Nobility and Royalty)|Listen|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Sickle|Longbow						LEGS:4	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing.Poison,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil Queen						SR:21	DR:10/Magic		MONSTERCLASS:Abeil Queen:14	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Abeil	TYPE:Monstrous Humanoid							CR:12	SOURCEPAGE:MM2					
Ash Rat			STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|NE			BONUS:COMBAT|AC|1|TYPE=NaturalArmor						BONUS:STAT|STR|-4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Move Silently									LEGS:4		BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ash Rat									MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast	RACESUBTYPE:Fire	TYPE:Magical Beast					HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:MM2					
Asperi			STARTFEATS:1	SIZE:L	MOVE:Walk,60,Fly,30	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|NG			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2				MONCSKILL:Intimidate|Listen|Spot|Survival									LEGS:4					NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Asperi									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Cold	TYPE:Magical Beast					HITDICEADVANCEMENT:6		CR:4	SOURCEPAGE:MM2					
Automaton (Pulverizer)	OUTPUTNAME:Auotmaton, [NAME]			SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	BONUS:VAR|BlindsightRange|40|TYPE=Base		KIT:1|TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|10				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Pulverizer									MONSTERCLASS:Construct:5	RACETYPE:Construct	RACESUBTYPE:Automaton	TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:8,9		CR:4	SOURCEPAGE:MM2					
Automaton (Hammerer)	OUTPUTNAME:Auotmaton, [NAME]			SIZE:M	MOVE:Walk,20	FACE:5	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|15				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6												LEGS:2	HANDS:2	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Hammerer									MONSTERCLASS:Construct:3	RACETYPE:Construct	RACESUBTYPE:Automaton	TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:8,15		CR:4	SOURCEPAGE:MM2					
Avolakia		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base											BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Concentration|Diplomacy|Intimidate|Sense Motive|Spellcraft									LEGS:6	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*8,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Avolakia						SR:21			MONSTERCLASS:Aberration:10	RACETYPE:Aberration	RACESUBTYPE:Shapechanger	TYPE:Aberration						LEVELADJUSTMENT:5	CR:10	SOURCEPAGE:MM2					
Banshee			STARTFEATS:1	SIZE:M	MOVE:Fly,80	FACE:5	REACH:5					LANGBONUS:TYPE=Spoken								BONUS:STAT|DEX|6		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Hide|Jump|Knowledge (Nature)|Knowledge (Religion)|Listen|Search|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing.Touch.Incorporeal,*1,1d8,SPROP=Charisma Drain		ABILITY:Internal|AUTOMATIC|Race Traits ~ Banshee						SR:28			MONSTERCLASS:Undead:26	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:52		CR:17	SOURCEPAGE:MM2					
Bladeling		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|LG|LN|LE		LANGBONUS:Infernal	BONUS:COMBAT|AC|4|TYPE=NaturalArmor							BONUS:STAT|DEX|2							MONCSKILL:Bluff|Climb|Craft (Weaponsmithing)|Hide|Jump|Knowledge (The Planes)|Listen|Spot			AUTO:WEAPONPROF|Longsword						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Claw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Bladeling							DR:5/Magic and Bludgeoning		MONSTERCLASS:Outsider:1	RACETYPE:Outsider	RACESUBTYPE:Lawful	TYPE:Outsider						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM2					
