SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																				
#																																							
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus														
Acid Fog				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads in 20-ft. radius, 20 ft. High.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Acid fog creates a billowing mass of misty vapors similar to that produced by a solid fog spell (page 281). Arcane Material Component: A pinch of dried, powdered peas combined with powdered animal hoof.	SOURCEPAGE:PHB																						
Acid Splash				TYPE:Spell.WizardBaseCantrip	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One missile of acid.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You fire a small orb of acid at the target.	SOURCEPAGE:PHB																						
Aid				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).	SOURCEPAGE:PHB						TEMPDESC:Grants attack bonus and temporary HP	TEMPVALUE:MIN=2|MAX=18|TITLE=Choose number of bonus Hp.	TEMPBONUS:ANYPC|COMBAT|TOHIT|1|TYPE=Morale	TEMPBONUS:ANYPC|HP|CURRENTMAX|%CHOICE|TYPE=Temporary													
Air Walk				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Air	CLASSES:Cleric=4|Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature	DURATION:10 minutes/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:The subject can tread on air as if walking on solid ground.	SOURCEPAGE:PHB																						
Alarm				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft-radius emanation centered on a point in space.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Alarm sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. Arcane Focus: A tiny bell and a piece of very fine silver wire	SOURCEPAGE:PHB																						
Align Weapon				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:See text	CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched or fifty projectiles (all of which must be in contact with each other at the time of casting)	DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Align weapon makes a weapon good, evil, lawful, or chaotic, as you choose.	SOURCEPAGE:PHB																						
Alter Self				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You assume the form of a creature of the same type as your normal form (such as humanoid or magical beast).	SOURCEPAGE:PHB						TEMPDESC:Grants Disguise bonus	TEMPBONUS:PC|SKILL|Disguise|10|TYPE=Temporary															
Analyze Dweomer				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=6|Sorcerer=6|Wizard=6	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object or creature per caster level.	DURATION:1 round/level	SAVEINFO:None or Will negates; see text	SPELLRES:No	DESC:You discern all spells and magical properties present in a number of creatures or objects. Focus:A tiny lens of ruby or sapphire set in a small golden loop. The gemstone must be worth at least 1,500 gp.	SOURCEPAGE:PHB		COST:1500																				
Animal Growth				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=5|Ranger=4|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to one animal (Gargantuan or smaller) per two levels, no two of which can be more than 30 ft. Apart.	DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:A number of animals grow to twice their normal size and eight times their normal weight.	SOURCEPAGE:PHB						TEMPBONUS:ANYPC|VAR|SpellAnimalGrowth|1																
Animal Messenger				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=2|Druid=2|Ranger=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One Tiny animal	DURATION:1 day/level	SAVEINFO:None; See text	SPELLRES:Yes	DESC:You compel a Tiny animal to go to a spot you designate. Material Component: A morsel of food the animal likes.	SOURCEPAGE:PHB																						
Animal Shapes				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one willing creature per level, all within 30 ft of each other	DURATION:1 hour/level	SAVEINFO:None (harmless); See text	SPELLRES:Yes	DESC:You transform up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures.	SOURCEPAGE:PHB																						
Animal Trance				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=2|Druid=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Animals or Magical Beasts with Intelligence of 1 or 2.	DURATION:Concentration	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you.	SOURCEPAGE:PHB																						
Animate Dead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more corpses touched	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:This spell turns the bones or bodies of dead creatures into undead skeletons or zombies that follow your spoken commands. Material Component: You must place a black onyx gem worth at least 25 gp per Hit Die of the undead into the mouth or eye socket of each corpse you intend to animate. The magic of the spell turns these gems into worthless, burned-out shells.	SOURCEPAGE:PHB		COST:25																				
Animate Objects				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=6|Cleric=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One Small object per caster level; see text	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You imbue inanimate objects with mobility and a semblance of life.	SOURCEPAGE:PHB																						
Animate Plants				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One Large plant per three caster levels or all plants within range; see text	DURATION:1 round/level or 1 hour level; see text	SAVEINFO:None	SPELLRES:No	DESC:You imbue inanimate plants with mobility and a semblance of life.	SOURCEPAGE:PHB																						
