SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
CATEGORY=Internal|Default.MOD									DEFINE:NoTypeTraits|0	DEFINE:AdvancementByClass|0																							
CATEGORY=Internal|Creature Type.MOD									DEFINE:RaceNaturalWeaponAlign|0					BONUS:VAR|RaceNaturalWeaponAlign|1|PREABILITY:1,CATEGORY=Special Ability,TYPE.Natural Weapons																			
																																	
###Block: Race Traits																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Aberration Type Traits|PRERACE:1,RACETYPE=Aberration																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Aberration|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Aberration]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Animal Type Traits|PRERACE:1,RACETYPE=Animal																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Animal|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Animal]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Construct Type Traits|PRERACE:1,RACETYPE=Construct																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Construct|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Construct]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Dragon Type Traits|PRERACE:1,RACETYPE=Dragon																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Dragon|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Dragon]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Elemental Type Traits|PRERACE:1,RACETYPE=Elemental																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Elemental|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Elemental]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Fey Type Traits|PRERACE:1,RACETYPE=Fey																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Fey|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Fey]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Giant Type Traits|PRERACE:1,RACETYPE=Giant																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Giant|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Giant]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Humanoid Type Traits|PRERACE:1,RACETYPE=Humanoid																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Humanoid|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Humanoid]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Magical Beast Type Traits|PRERACE:1,RACETYPE=Magical Beast																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Magical Beast|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Magical Beast]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Monstrous Humanoid Type Traits|PRERACE:1,RACETYPE=Monstrous Humanoid																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Monstrous Humanoid|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Monstrous Humanoid]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Ooze Type Traits|PRERACE:1,RACETYPE=Ooze																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Ooze|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Ooze]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Outsider Type Traits|PRERACE:1,RACETYPE=Outsider																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Outsider|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Outsider]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Plant Type Traits|PRERACE:1,RACETYPE=Plant																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Plant|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Plant]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Undead Type Traits|PRERACE:1,RACETYPE=Undead																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Undead|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Undead]																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Vermin Type Traits|PRERACE:1,RACETYPE=Vermin																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Vermin|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Vermin]																																
																																	
Aberration Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Aberration Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Aberrations eat/sleep/breathe.	KEY:Traits Output ~ Aberration																											SOURCEPAGE:MM1	
Animal Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:MINVALUE|INT|1					BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:MM1	
Animal Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Animals eat/sleep/breathe.	KEY:Traits Output ~ Animal																											SOURCEPAGE:MM1	
Construct Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:NONSTAT|CON					BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:HP|CURRENTMAX|max(SIZE-2,0)*10	BONUS:HP|CURRENTMAX|max(SIZE-6,0)*10						ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Necromancy|Immunity To Critical Hits|Immunity To Nonlethal Damage|Immunity To Ability Damage|Immunity To Ability Drain|Immunity To Fatigue|Immunity To Exhaustion|Immunity To Energy Drain	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|PRETEMPLATE:1,Mindless								SOURCEPAGE:MM1	
Construct Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Constructs don't eat/sleep/breathe. Immunity to any effect that requires a Fortitude save (unless the effect also works on objects, or is harmless). Not at risk of death from massive damage. Since it was never alive, a construct cannot be raised or resurrected.	KEY:Traits Output ~ Construct	DESC:Mindless - Immune to all mind-affecting effects (charms/ compulsions/ phantasms/ patterns/ and morale effects)|PRETEMPLATE:1,Mindless																										SOURCEPAGE:MM1	
Dragon Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis									SOURCEPAGE:MM1	
Dragon Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Dragons eat/sleep/breathe.	KEY:Traits Output ~ Dragon																											SOURCEPAGE:MM1	
Elemental Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Critical Hits									SOURCEPAGE:MM1	
Elemental Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Elementals don't eat/sleep/breathe. Cannot be flanked. Spells that restore souls to their bodies, such asRaise Dead, Reincarnate andResurrection don't work on an elemental.	KEY:Traits Output ~ Elemental																											SOURCEPAGE:MM1	
Fey Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|HasLowLightVision|1|TYPE=Base									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Fey Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Feys eat/sleep/breathe.	KEY:Traits Output ~ Fey																											SOURCEPAGE:MM1	
Giant Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|HasLowLightVision|1|TYPE=Base									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Giant Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Giants eat/sleep/breathe.	KEY:Traits Output ~ Giant																											SOURCEPAGE:MM1	
Humanoid Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:MINVALUE|INT|3														ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|!PRECLASS:1,TYPE.Base=1,TYPE.Prestige=1|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Humanoid Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Humanoids eat/sleep/breathe.	KEY:Traits Output ~ Humanoid																											SOURCEPAGE:MM1	
Magical Beast Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																	SOURCEPAGE:MM1	
Magical Beast Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Magical Beasts eat/sleep/breathe.	KEY:Traits Output ~ Magical Beast																											SOURCEPAGE:MM1	
Monstrous Humanoid Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Monstrous Humanoid Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Monstrous Humanoid eat/sleep/breathe.	KEY:Traits Output ~ Monstrous Humanoid																											SOURCEPAGE:MM1	
Ooze Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:NONSTAT|INT	DEFINE:OozeObjectAcidDamageAmount|0				BONUS:VAR|HasBlindsightVision|1|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Ooze ~ Blind|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Polymorph|Immunity To Stunning|Immunity To Critical Hits	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|PRETEMPLATE:1,Mindless	ABILITY:Special Ability|AUTOMATIC|Ooze ~ Acid Attack|PREVARGTEQ:OozeHasObjectAcidDamage,1							SOURCEPAGE:MM1	
Ooze Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Ooze eat/breathe but don't sleep.	KEY:Traits Output ~ Ooze	DESC:Mindless - Immune to all mind-affecting effects (charms/ compulsions/ phantasms/ patterns/ and morale effects)|PRETEMPLATE:1,Mindless																										SOURCEPAGE:MM1	
Blind	CATEGORY:Special Ability	TYPE:OozeTrait.SpecialQuality	VISIBLE:YES		KEY:Ooze ~ Blind				DEFINE:OozeHasObjectAcidDamage|0														ABILITY:Special Ability|AUTOMATIC|Immunity To Gaze Attacks|Immunity To Illusion	VISION:Blind									
Acid Attack	CATEGORY:Special Ability	TYPE:OozeTrait.SpecialQuality	VISIBLE:YES		KEY:Ooze ~ Acid Attack									BONUS:VAR|OozeObjectAcidDamageAmount|DefaultDCCon																			
Outsider Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial|PREVAREQ:NoTypeProficiencies,0									SOURCEPAGE:MM1	
Outsider Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Outsider breathe but don't need to eat/sleep (but they can do so if they whish). Spells that restore souls to their bodies, such as Raise Dead, Reincarnate and Resurrection don't work on an outsider.|!PRERACE:1,RACESUBTYPE=Native	KEY:Traits Output ~ Outsider	DESC:Native outsiders eat/sleep/breathe.|PRERACE:1,RACESUBTYPE=Native																										SOURCEPAGE:MM1	
Plant Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES											BONUS:VAR|HasLowLightVision|1|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity to Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Polymorph|Immunity To Stunning|Immunity To Critical Hits									SOURCEPAGE:MM1	
Plant Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Plants eat/breathe but don't sleep.	KEY:Traits Output ~ Plant																											SOURCEPAGE:MM1	
Undead Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:NONSTAT|CON					BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity to Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Critical Hits|Immunity To Nonlethal Damage|Immunity To Ability Drain|Immunity To Fatigue|Immunity To Exhaustion|Immunity To Energy Drain|Immunity To Strength Damage|Immunity To Dexterity Damage|Immunity To Constitution Damage	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|PREVAREQ:NoTypeProficiencies,0								SOURCEPAGE:MM1	
Undead Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Undead do not eat/sleep/breathe. Spells that restore souls to their bodies, such as Raise Dead, Reincarnate and Resurrection don't work on an Undead.	KEY:Traits Output ~ Undead																											SOURCEPAGE:MM1	
Vermin Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:NONSTAT|INT					BONUS:VAR|DarkvisionRange|60|TYPE=Base																		SOURCEPAGE:MM1	
Vermin Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Vermin eat/sleep/breathe.	KEY:Traits Output ~ Vermin	DESC:Mindless - Immune to all mind-affecting effects (charms/ compulsions/ phantasms/ patterns/ and morale effects)|PRETEMPLATE:1,Mindless																										SOURCEPAGE:MM1	
																																	
Mindless	CATEGORY:Special Ability	TYPE:RacialTrait.SpecialQuality.Extraordinary	VISIBLE:YES																				TEMPLATE:Mindless									SOURCEPAGE:MM1	
																																	
###Block: Subtype Traits																																	
# Elements																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Air Traits|PRERACE:1,RACESUBTYPE=Air																																
Air Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility												BONUS:VAR|Maneuverability|5|TYPE=Base																		SOURCEPAGE:MM1	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Earth Traits|PRERACE:1,RACESUBTYPE=Earth																																
Earth Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																														SOURCEPAGE:MM1	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Fire Traits|PRERACE:1,RACESUBTYPE=Fire																																
Fire Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Vulnerability To Cold									SOURCEPAGE:MM1	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Water Traits|PRERACE:1,RACESUBTYPE=Water																																
Water Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																														SOURCEPAGE:MM1	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Cold Traits|PRERACE:1,RACESUBTYPE=Cold																																
Cold Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Vulnerability To Fire									SOURCEPAGE:MM1	
																																	
# Alignments																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Chaotic Traits|PRERACE:1,RACESUBTYPE=Chaotic																																
Chaotic Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Chaotic ~ Natural Weapons|PREVAREQ:RaceNaturalWeaponAlign,0									SOURCEPAGE:MM1	
Natural Weapons	CATEGORY:Special Ability	TYPE:ChaoticSubRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A creature with the chaotic subtype overcomes damage reduction as if its natural weapons and any weapons it wields were chaotic-aligned.	KEY:Chaotic ~ Natural Weapons																											SOURCEPAGE:MM1	
																																	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Evil Traits|PRERACE:1,RACESUBTYPE=Evil																																
Evil Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Evil ~ Natural Weapons|PREVAREQ:RaceNaturalWeaponAlign,0									SOURCEPAGE:MM1	
