SOURCELONG:Savage Species 3.0	SOURCESHORT:SS30	SOURCEWEB:http://www.gozzilioni.net																										
																												
###Block: AB																												
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Bonus	Bonus				
Air Breathing				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=3|Sorcerer=3|Wizard=3	COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched.	DURATION:2 hours/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The transmuted creatures can breathe air freely. Arcane Material Component: A short reed or piece of straw.	SOURCEPAGE:SS30											
Awaken Construct				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell awakens a humanoidshaped construct to humanlike sentience. Material Component: The brain of a humanoid that has been dead less than 8 hours. XP Cost: 5,000 XP.	SOURCEPAGE:SS30			XPCOST:5000								
Awaken Undead				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=6|Sorcerer=7|Wizard=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle 25-ft. In radius plus 5-ft/2 levels.	DURATION:Permanent	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:This spell grants Intelligence to mindless undead such as skeletons and zombies. XP Cost: 200 XP.	SOURCEPAGE:SS30			XPCOST:200								
Blindsight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell grants the subject the blindsight ability out to a range of 30 feet.	SOURCEPAGE:SS30						TEMPBONUS:ANYPC|VAR|BlindsightVisionRange|30|TYPE=Base					
Blood Wind				TYPE:Spell	SCHOOL:Evocation			CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A single creature with Intelligence of 4 or higher.	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject may take a full attack action to use one of its natural weapons as if it were a thrown weapon with a 20-foot range increment.	SOURCEPAGE:SS30											
Bridge of Sound				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Sonic	CLASSES:Bard=2|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bridge of sound 5-ft wide, 1 in thick, and up to 10-ft/level long.	DURATION:Concentration plus 1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a ribbonlike, weightless, unbreakable, invisible bridge of sound..	SOURCEPAGE:SS30											
Buoyant Lifting				TYPE:Spell	SCHOOL:Evocation			CLASSES:Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing swimminf or floating creature or object (total wight up to 200lb/level).	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You command the water supporting or surrounding a swimming or floating creature or object to rise and hold the creature above the surface of the water.	SOURCEPAGE:SS30											
Cacophonic Burst				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Bard=5|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You cause a burst of low, discordant noise to erupt at the chosen location.	SOURCEPAGE:SS30											
Camouflage				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You change your coloring to match the environment surrounding you.	SOURCEPAGE:SS30						TEMPBONUS:PC|SKILL|Hide|10|TYPE=Circumstance					
Cloud Wings				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell increases the subject's fly speed by 30 feet.	SOURCEPAGE:SS30						TEMPBONUS:PC|MOVEADD|TYPE=Fly|30					
