SOURCELONG:Arms and Equipment Guide 3.0	SOURCESHORT:AaEG30	SOURCEWEB:http://www.gozzilioni.net
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Animal (Climbdog)			STARTFEATS:1	SIZE:S	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:2	MOVE:Walk,40,Climb,40	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Climbdog)			BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Climb|Hide|Listen|Spot	CR:1	KIT:1|TN	HITDICEADVANCEMENT:2,4,6		LEGS:4	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Animal (Climbdog) Stats
Thudhunter			STARTFEATS:1	SIZE:M	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:4	MOVE:Walk,30,Burrow,10	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Thudhunter			BONUS:STAT|STR|8		BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Jump|Spot	CR:2	KIT:1|TN	HITDICEADVANCEMENT:4,8,12		LEGS:4	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Thudhunter Stats
																																		
Animal (Camel).COPY=Animal (Llama)	KEY:Animal (Llama)																																	
Animal (Llama).MOD	SIZE:M	MONSTERCLASS:Animal:2	BONUS:STAT|STR|-6																															
																																		
Lizard (Riding)			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:2	MOVE:Walk,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lizard (Riding)			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Hide|Listen|Spot	CR:1	KIT:1|TN			LEGS:4	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Lizard (Riding) Stats
Axebeak			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:3	MOVE:Walk,65	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Beak,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Kick,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Axebeak			BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4	MONCSKILL:Hide|Jump|Listen|Spot	CR:1	KIT:1|TN	HITDICEADVANCEMENT:6,9		LEGS:2	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Axebeak Stats
Hippocampus			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:4	MOVE:Swim,60	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Hippocampus			BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Sense Motive|Spot|Swim|Survival	CR:2	KIT:1|CG	HITDICEADVANCEMENT:8,12		LEGS:0	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Hippocampus Stats
Golem (Equine)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):6	MOVE:Walk,50	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Equine)	DR:5/Adamantine		BONUS:STAT|STR|10	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10		CR:5	KIT:1|TN	HITDICEADVANCEMENT:12		LEGS:4	HANDS:0	SOURCEPAGE:AaEG30	KIT:1|Golem (Equine) Stats
