SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
																																
# Alignments																																
																																
# Racial																																
																																
# Race Groups Subtype																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Abomination Traits|PRERACE:1,RACESUBTYPE=Abomination																															
Abomination Traits	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:AbominationStandardLanguages|0					BONUS:VAR|FireResistanceBonus|20|TYPE=Resistance	BONUS:VAR|ColdResistanceBonus|20|TYPE=Resistance	BONUS:VAR|HasSeeInvisibilityVision|1|TYPE=Base	BONUS:VAR|BlindsightRange|500|TYPE=Base						ABILITY:Special Ability|AUTOMATIC|Immunity To Polymorph|Immunity To Petrification|Immunity to Energy Drain|Immunity to Ability Drain|Immunity to Ability Damage|Immunity to Mind-Affecting|Resistance To Fire|Resistance to Cold|Abomination ~ True Seeing|Immunity to Death from Massive Damage|Abomination ~ Telepathy	ABILITY:Special Ability|AUTOMATIC|Abomination ~ Languages|PREVAREQ:AbominationStandardLanguages,0								SOURCEPAGE:ELH
True Seeing	CATEGORY:Special Ability	TYPE:AbominationSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Abomination ~ True Seeing																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|True Seeing									SOURCEPAGE:ELH
Telepathy	CATEGORY:Special Ability	TYPE:AbominationSubRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Abominations can communicate telepathically with any creature within 1,000 feet that has a language.	KEY:Abomination ~ Telepathy									BONUS:VAR|TelepathyRange|1000|TYPE=Base																		SOURCEPAGE:ELH
Summon Creature	CATEGORY:Special Ability	TYPE:AbominationSubRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Abominations can summon creatures associated either with the portfolio of their godly progenitor or with their imprisonment. For example, an abomination whose deific father's portfolio included the sky might be able to summon air elementals, while another abomination sealed away deep in the earth might be able to summon earth elementals (regardless of its mother's or father's portfolio). Summoned creatures serve the abomination without question. Summoned creatures automatically return whence they came after 1 hour, or sooner if slain. See specific abomination entries for additional details on summoning.	KEY:Abomination ~ Summon Creature																											SOURCEPAGE:ELH
Languages	CATEGORY:Special Ability	TYPE:AbominationSubRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Abomination ~ Languages																		AUTO:LANG|Abyssal|Celestial|Infernal									SOURCEPAGE:ELH
																																
# Race Groups																																
Colossus Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Colossus ~ Immunity To Magic|Colossus ~ Antimagic Field									SOURCEPAGE:MM1	
Immunity To Magic	CATEGORY:Special Ability	TYPE:ColossusSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A colossus completely resists most magical and supernatural effects, except where otherwise noted below.	KEY:Colossus ~ Immunity To Magic																											SOURCEPAGE:ELH
Antimagic Field	CATEGORY:Special Ability	TYPE:ColossusSubRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A colossus constantly generates an antimagic field in a 100-foot-radius. The field is an invisible barrier that is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines, except for the colossus's own supernatural abilities. This effect is otherwise as an antimagic field cast by a 25th-level caster.	KEY:Colossus ~ Antimagic Field																											SOURCEPAGE:ELH
																																
###Block: Tracker																																
																																
###Block: Races																																
Race Traits ~ Abomination (Anaxim)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbominationAnaximRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base																		
Sonic Blast	CATEGORY:Special Ability	TYPE:AbominationAnaximRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a standard action, an anaxim can emit a 60-foot cone of sonic energy that deals 20d6 points of sonic damage to all creatures that fail a Reflex save (DC %1); those that succeed take half damage. The save DC is Constitution-based.|SonicBlastDC	KEY:Abomination (Anaxim) ~ Sonic Blast				DEFINE:SonicBlastDC|0					BONUS:VAR|SonicBlastDC|DefaultDCCon	BONUS:VAR|SonicBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Sonic Blast)								ABILITY:Ability Focus|AUTOMATIC|Sonic Blast									SOURCEPAGE:ELH
Rend	CATEGORY:Special Ability	TYPE:AbominationAnaximRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If the anaxim hits with both spinning blade, it slices particularly well. This attack automatically deals an additional 4d6+18 points of damage.	KEY:Abomination (Anaxim) ~ Rend									BONUS:VAR|RendDice|4	BONUS:VAR|RendDieSize|6|TYPE=Base																	SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AbominationAnaximRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Abomination (Anaxim) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=22|Dispel Magic (Greater)|Displacement|Invisibility (Greater)|Ethereal Jaunt									SOURCEPAGE:ELH
Summon Iron Golem	CATEGORY:Special Ability	TYPE:AbominationAnaximRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An anaxim can summon an iron golem up to four times per day.	KEY:Abomination (Anaxim) ~ Summon Golem																											SOURCEPAGE:ELH
																																
Race Traits ~ Abomination (Atropal)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbominationAtropalRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base																		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AbominationAtropalRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Abomination (Atropal) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=30|Animate Dead|Blasphemy|Create Greater Undead|Create Undead|Cone of Cold|Desecrate|Dispel Magic (Greater)|Finger of Death|Invisibility (Greater)|Plane shift|Slay Living|Speak with Dead|Spectral Hand|Teleport (Greater)|Unholy Aura	SPELLS:Innate|TIMES=5|CASTERLEVEL=30|Haste|Project Image|Weird								SOURCEPAGE:ELH
Rebuke/Comman Undead	CATEGORY:Special Ability	TYPE:AbominationAtropalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Atropals can rebuke or command undead as a cleric of the same level as the atropals HD.	KEY:Abomination (Atropal) ~ Rebuke/Command Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE	BONUS:VAR|RebukeCheckUndead|6|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Undead									SOURCEPAGE:ELH
