SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
# Demilich Template																																
Trap the Soul	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A demilich can trap the souls of up to eight living creatures per day. To use this power, it selects any target it can see within 300 feet. The target is allowed a Fort saving throw (DC 10 + demilich's HD + demilich's Cha modifier, DC %1). If the target makes its saving throw, it gains four negative levels (this does not count as a use of trap the soul). If the target fails its save, the soul of the target is instantly drawn from its body and trapped within one of the gems incorporated into the demilich's form. The gem gleams wickedly for 24 hours, indicating the captive soul within. The soulless body collapses in a mass of corruption and molders in a single round, reduced to dust. If left to its own devices, the demilich slowly devours the soul over 24 hours-at the end of that time the soul is completely absorbed, and the victim is forever gone. If the demilich is overcome before the soul is eaten, crushing the gem releases the soul, after which time it is free to seek the afterlife or be returned to its body by the use of either resurrection, true resurrection, clone, or miracle. A potential victim protected by a death ward spell is not immune to trap the soul, but receives a +5 bonus on its Fortitude saving throw. Negative energy protection is effective against the level loss.|TrapTheSoulDC	KEY:Demilich ~ Trap the Soul				DEFINE:TrapTheSoulDC|0					BONUS:VAR|TrapTheSoulDC|10+HD+CHA	BONUS:VAR|TrapTheSoulDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trap the Soul)								ABILITY:Ability Focus|AUTOMATIC|Trap the Soul									SOURCEPAGE:ELH
Perfect Automatic Still Spell	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The demilich can cast all the spells it knows without gestures.	KEY:Demilich ~ Perfect Automatic Still Spell																											SOURCEPAGE:ELH
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demilich ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Alter Self|Astral Projection|Create Greater Undead|Create Undead|Death Knell|Enervation|Dispel Magic (Greater)|Harm|Summon Monster I|Summon Monster II|Summon Monster III|Summon Monster IV|Summon Monster V|Summon Monster VI|Summon Monster VII|Summon Monster VIII|Summon Monster IX|Telekinesis|Weird	SPELLS:Innate|TIMES=2|CASTERLEVEL=TL|Planar ally (Greater)								SOURCEPAGE:ELH
Magic Immunity	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Demiliches are immune to all magical and supernatural effects, except as follows. A shatter spell affects a demilich as if it were a crystallyne creature, but deals half the damage normally indicated. A dispel evil spell deals 3d6 points of damage (Fort save for half damage). Holy smite spells affect demiliches normally.	KEY:Demilich ~ Magic Immunity																											SOURCEPAGE:ELH
Phylactery Transference	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Headbands, belts, rings, cloaks, and other wearable items kept in close association with the demilich's phylactery transfer all their benefits to the demilich no matter how far apart the demilich and the phylactery are located. The standard limits on types of items utilized simultaneously still apply.	KEY:Demilich ~ Phylactery Transference																											SOURCEPAGE:ELH
Turn Resistance	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A demilich has turn resistance +20.	KEY:Demilich ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|16																		SOURCEPAGE:ELH
Resistances	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Demiliches have acid resistance 20, fire resistance 20, and sonic resistance 20.	KEY:Demilich ~ Resistances									BONUS:VAR|AcidResistanceBonus,FireResistanceBonus|SonicResistanceBonus|20|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid|Resistance to Fire|Resistance To Sonic									SOURCEPAGE:ELH
Skills	CATEGORY:Special Ability	TYPE:DemilichRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Demiliches receive a +20 racial bonus on Hide, Listen, Move Silently, Search, Sense Motive, and Spot checks. Otherwise same as the lich (this overlaps with the previous racial bonus gained by the lich; it does not stack).	KEY:Demilich ~ Skills									BONUS:SKILL|Hide,Listen,Move Silently,Search,Sense Motive,Spot|20|TYPE=Racial																		SOURCEPAGE:ELH
																																
