SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																										
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page										
CATEGORY=Internal|Standard Selection ~ Familiar.MOD																							COMPANIONLIST:Familiar|Animal (Lizard),Animal (Octopus)																																									
																																										
Familiar ~ Lizard	CATEGORY:Special Ability													BONUS:SKILL|Climb|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FRCS										
Familiar ~ Octopus	CATEGORY:Special Ability													BONUS:SKILL|Spot|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FRCS										
																																										
# Foe Hunter - Humanoid (Goblinoid)	CATEGORY:Special Ability	TYPE:ClassFeatures.FoeHunterClassFeatures.FoeHunter.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 competence bonus on weapon damage rolls with melee attacks and on ranged attacks at ranges of up 30-ft and you act as if you had the Improved Critical feat for the weapon you are using.|FoeHunterBonusHumanoidGoblinoid	KEY:Foe Hunter ~ Humanoid ~ Goblinoid	PREVARGTEQ:FoeHunterEnemyLVL,1	PREMULT:1,[PREREGION:Cormyr,Damara,Tethyr,Vaasa],[PREVARGTEQ:RegionDwarfShield,1]		DEFINE:FoeHunterBonusHumanoidGoblinoid|0					BONUS:VAR|FoeHunterBonusHumanoidGoblinoid|FoeHunterBaseBonus	BONUS:VAR|FoeHunterBonusHumanoidGoblinoid|ImprovedFavoredEnemyBonus																	SOURCEPAGE:FRCS30	ASPECT:Ability Benefit|+%1|FoeHunterBonusHumanoidGoblinoid									
# Foe Hunter - Humanoid (Reptilian)	CATEGORY:Special Ability	TYPE:ClassFeatures.FoeHunterClassFeatures.FoeHunter.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 competence bonus on weapon damage rolls with melee attacks and on ranged attacks at ranges of up 30-ft and you act as if you had the Improved Critical feat for the weapon you are using.|FoeHunterBonusHumanoidReptilian	KEY:Foe Hunter ~ Humanoid ~ Reptilian	PREVARGTEQ:FoeHunterEnemyLVL,1	PREREGION:Chult,Tashalar		DEFINE:FoeHunterBonusHumanoidReptilian|0					BONUS:VAR|FoeHunterBonusHumanoidReptilian|FoeHunterBaseBonus	BONUS:VAR|FoeHunterBonusHumanoidReptilian|ImprovedFavoredEnemyBonus																	SOURCEPAGE:FRCS30	ASPECT:Ability Benefit|+%1|FoeHunterBonusHumanoidReptilian									
# Foe Hunter - Humanoid (Gnoll)	CATEGORY:Special Ability	TYPE:ClassFeatures.FoeHunterClassFeatures.FoeHunter.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 competence bonus on weapon damage rolls with melee attacks and on ranged attacks at ranges of up 30-ft and you act as if you had the Improved Critical feat for the weapon you are using.|FoeHunterBonusHumanoidGnoll	KEY:Foe Hunter ~ Humanoid ~ Gnoll	PREVARGTEQ:FoeHunterEnemyLVL,1	PREVARGTEQ:RegionElfWood,1		DEFINE:FoeHunterBonusHumanoidGnoll|0					BONUS:VAR|FoeHunterBonusHumanoidGnoll|FoeHunterBaseBonus	BONUS:VAR|FoeHunterBonusHumanoidGnoll|ImprovedFavoredEnemyBonus																	SOURCEPAGE:FRCS30	ASPECT:Ability Benefit|+%1|FoeHunterBonusHumanoidGnoll									
# Foe Hunter - Humanoid (Orc)	CATEGORY:Special Ability	TYPE:ClassFeatures.FoeHunterClassFeatures.FoeHunter.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 competence bonus on weapon damage rolls with melee attacks and on ranged attacks at ranges of up 30-ft and you act as if you had the Improved Critical feat for the weapon you are using.|FoeHunterBonusHumanoidOrc	KEY:Foe Hunter ~ Humanoid ~ Orc	PREVARGTEQ:FoeHunterEnemyLVL,1	PREREGION:The Lake of Steam,Moonsea		DEFINE:FoeHunterBonusHumanoidOrc|0					BONUS:VAR|FoeHunterBonusHumanoidOrc|FoeHunterBaseBonus	BONUS:VAR|FoeHunterBonusHumanoidOrc|ImprovedFavoredEnemyBonus																	SOURCEPAGE:FRCS30	ASPECT:Ability Benefit|+%1|FoeHunterBonusHumanoidOrc									
																																										
CATEGORY=Internal|Standard Selection ~ Familiar.MOD																							COMPANIONLIST:Familiar|Beholderkin (Eyeball)|PREALIGN:LE,TN,NE,CE|PRECLASS:1,SPELLCASTER.Arcane=5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Animal (Tressym)|PREALIGN:LN,NG,TN,NE,CN|PRECLASS:1,SPELLCASTER.Arcane=5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Devil (Imp)|PREALIGN:LN,LE,NE|PRECLASS:1,SPELLCASTER.Arcane=7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Pseudodragon|PREALIGN:LG,NG,TN,CG|PRECLASS:1,SPELLCASTER.Arcane=7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Demon (Quasit)|PREALIGN:NE,CN,CE|PRECLASS:1,SPELLCASTER.Arcane=7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Bat (Deep/Night Hunter)|PREALIGN:LE,TN,NE,CE|PRECLASS:1,SPELLCASTER.Arcane=5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Formian (Worker)|PREALIGN:LG,LN,LE,TN|PRECLASS:1,SPELLCASTER.Arcane=7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Shocker Lizard,Stirge|PREALIGN:LN,NG,TN,NE,CN|PRECLASS:1,SPELLCASTER.Arcane=5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar												
																																										
Chaos	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.AlignmentFocus.SpecialQuality	VISIBLE:YES		KEY:Arcane Devotee ~ Alignment Focus ~ Chaos	PREMULT:1,[PREDEITYALIGN:CG,CN,CE],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:CG,CN,CE]],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:TN]]								BONUS:CASTERLEVEL|DESCRIPTOR.Chaotic|1																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30										
Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.AlignmentFocus.SpecialQuality	VISIBLE:YES		KEY:Arcane Devotee ~ Alignment Focus ~ Evil	PREMULT:1,[PREDEITYALIGN:LE,NE,CE],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:LE,NE,CE]],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:TN]]								BONUS:CASTERLEVEL|DESCRIPTOR.Evil|1																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30										
Good	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.AlignmentFocus.SpecialQuality	VISIBLE:YES		KEY:Arcane Devotee ~ Alignment Focus ~ Good	PREMULT:1,[PREDEITYALIGN:LG,NG,CG],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:LG,NG,CG]],[PREMULT:2,[PREDEITYALIGN:TN],[PREALIGN:TN]]								BONUS:CASTERLEVEL|DESCRIPTOR.Good|1																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30										
