SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Arcane devotees gain no proficieny in any weapon or armor.	KEY:Arcane Devotee ~ Weapon and Armor Proficiency																										SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialAttack	VISIBLE:YES	DESC:An Arcane devotee's training focuses on arcane spells. Thus, whem a new arcane devotee level is gaines, the character gains new spells per day as if he had also gained a level in whatever arcane spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on). This essentially means that he adds the level of arcane devotee to the level of whatever other arcane spellcasting class the character has, then determines spells per fay and caster level accordingly. If a character had more than one arcane spellcasting class before he became an arcane devotee, he must decide to which class he adds each level of arcane devotee for the purpose of determining spells per day.	KEY:Arcane Devotee ~ Spells per Day																										SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Enlarge Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The Arcane devotee may cast a spell as if it were under the effects of the Enlarge Spell feat. He does not need to prepare this spell in advance, and it does not increase the casting time or use a higher spell slot. This ability can be used a number of times per day equal to 1 + the arcane devotee's Charisma bonus (minimum of once per day).	KEY:Arcane Devotee ~ Enlarge Spell	DESC:%1/day.|EnlargeSpellTimes			DEFINE:EnlargeSpellTimes|0					BONUS:VAR|EnlargeSpellTimes|1+max(0,CHA)																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value (+1 at 2nd level, +2 at 4th level) to the arcane devotee's saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders.	KEY:Arcane Devotee ~ Sacred Defense				DEFINE:ArcaneDevoteeSacredDefenseLVL|0					BONUS:VAR|ArcaneDevoteeSacredDefenseLVL|ArcaneDevoteeLVL/2	BONUS:VAR|SacredDefenseBonus|ArcaneDevoteeSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Alignment Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 2nd-level arcane devotee chooses one component of his deity's alignment. He now casts spells of that alignment at +1 caster level. If his deity is neutral, he chooses one component of his alignment for this focus. If the arcane devotee and his deity are neutral, the character chooses chaos, evil, good or law for his focus.	KEY:Arcane Devotee ~ Alignment Focus									BONUS:ABILITYPOOL|Arcane Devotee Alignment Focus|1																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, an arcane devotee can choose any one item creation feat or any feat frm the following list: Spell Focus, Greater Spell Focus, Spell Penetration, Greater Spell Penetration, Improved Counterspell, Magical Artisan or Shadow Weave Magic (devotees of Shar only)	KEY:Arcane Devotee ~ Bonus Feat									BONUS:ABILITYPOOL|Arcane Devotee Feat|1																	SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Divine Shroud	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneDevoteeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day, a 5th-level arcane devotee may surround himself with a shroud of glowing divine power that protects him against enemy spells. The shroud is of a color appropriate to the arcane devotee's patron's alignment: constant blue for law, shimmering white for good, wavering black for evil or flickering yellow for chaos. the shroud grants spell resistance of 12+the character's caster level as if he were under the effect of a spell resistance spell. this ability can be invoked as a free action and lasts a number of rounds equal to the arcane devotee's Charisma bonus +5.	KEY:Arcane Devotee ~ Divine Shroud	DESC:1/day %1 rounds, SR %2.|DivineShroudDuration|DivineShroudSR			DEFINE:DivineShroudSR|0	DEFINE:DivineShroudDuration|0				BONUS:VAR|DivineShroudSR|12+Caster_Level_Highest	BONUS:VAR|DivineShroudDuration|CHA+5																SORTKEY:Class_Arcane_Devotee	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A divine champion is proficient with all simple and martial weapons, light armor, medium armor and shields.	KEY:Divine Champion ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
Lay on Hands	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:As a defender of the faith, a divine champion may lay on hands to heal herself or another creature following the same patron deity as himself. The ability works like a paladin's ability to lay on hands, exept the divine champion may heal 1 point of damage per divine champion level plus her Charisma bonus. If the divine champion is a paladin, she can combine this healing with her paladin class's lay on hands ability.	KEY:Divine Champion ~ Lay on Hands									BONUS:VAR|LayOnHandsLVL|1|TYPE=Base	BONUS:VAR|LayOnHandsCHABonus|CHA|TYPE=Base	BONUS:VAR|LayOnHands|DivineChampionLVL+LayOnHandsCHABonus							ABILITY:Special Ability|AUTOMATIC|Lay on Hands								SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
Fighter Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level and again at 4th, a divine champion may choose any one feat (except Weapon Specialization) from the fighter class bonus feat list on page 37 of the Player's Handbook or any feat with the [Fighter] designator in this chapter.	KEY:Divine Champion ~ Fighter Feat				DEFINE:DivineChampionBonusFeats|0					BONUS:VAR|DivineChampionBonusFeats|DivineChampionLVL/2	BONUS:ABILITYPOOL|Divine Champion Feat|DivineChampionBonusFeats																SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
Sacred Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineChampionClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value (+1 at 2nd level, +2 at 4th level) to the divine champion's saving throws against divine spells, as well as the spell-like and supernatural abilities of outsiders.	KEY:Divine Champion ~ Sacred Defense				DEFINE:DivineChampionSacredDefenseLVL|0					BONUS:VAR|DivineChampionSacredDefenseLVL|DivineChampionLVL/2	BONUS:VAR|SacredDefenseBonus|DivineChampionSacredDefenseLVL								ABILITY:Special Ability|AUTOMATIC|Sacred Defense								SORTKEY:Class_Divine_Champion	SOURCEPAGE:FRCS30		
