SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:06-2001
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###BLOCK:Druid Circles p.24																																	
The Watchers of Sevreld	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Druid circle who work to prevent logging roads being cut into the forests.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:FRCS30
The High Dance	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Druid circle that aids the sylvan creatures who tend and guard the Dancing Place.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:FRCS30
Ring of Swords	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Druid circle that works to cleanse and rejuvenate Neverwinter Wood, drive out gnoll, bugbear and hobgoblin bands sheltering there and turn away those seeking tombs and ruins in the leafy heart of the forest.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:FRCS30
The Flamenar	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Druid circle that works in Amn to recloak its rolling hills in stands of newly planted trees and to drive down the dust storms that have begun to plague the land east of Crimmor and Purskul.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:FRCS30
The Starwater Six	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Druid circle work in the northern forest of Mir where floods of monsters and strange twisted beasts have been raiding the lands south of the river Ith.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:FRCS30
Broken Ones	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Of all the popular deities in Faerun, Ilmater is the deity most associated with an order of monks who act purely in his name. The broken ones can freely multiclass as clerics, divine champions, arcane devotees, divine disciples, hierophants and divine seeker of Ilmater.		PRECLASS:1,Monk=1	PREALIGN:LG,NG,CG																										SOURCEPAGE:FRCS30
Dark Moon	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Shar is worshiped by a powerful sect of monks who maintain open temples in lands ruled by evil overlords or hide among hills, back alleys or Underdark. The dark moon ones can freely multiclass as sorcerers so long as their monk level and sorcerer level stay within two levels each other.		PRECLASS:1,Monk=1	PREALIGN:LE,NE,CE																										SOURCEPAGE:FRCS30
Hin Fist	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The halfling of Lurien turn their confidence into belief in the power of a single halfling to master herself and the world. Monk of the Hin fist order can multiclass as fighters, rogus or paladin (usually of Yondalla).		PRECLASS:1,Monk=1	PREALIGN:LG,NG,CG,TN																										SOURCEPAGE:FRCS30
Long Death	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:the Long Death order worships the principle of death without caring much which deity currently owns the portfolio. Monks of Long Death can multiclass freely as fighters, assassins and blackguards.		PRECLASS:1,Monk=1	PREALIGN:LE,NE,CE																										SOURCEPAGE:FRCS30
