SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																																																	
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
Faerunian Region	CATEGORY:Regional	TYPE:RegionChooser	VISIBLE:YES														ABILITY:Regional|AUTOMATIC|Pool ~ Faerun Region															SOURCEPAGE:FRCS30																																	
Pool ~ Faerun Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:NO																													SOURCEPAGE:G																																	
																																																																	
Faerunian Generic Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Faerunian Generic Region															TEMPLATE:No Faerun Region													SOURCEPAGE:FRCS30																																	
##BLOCK:Geographic regions																																																																	
Aglarond Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Aglarond															TEMPLATE:Aglarond Region													SOURCEPAGE:FRCS30																																	
Amn Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Amn															TEMPLATE:Amn Region													SOURCEPAGE:FRCS30																																	
Anauroch Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Anauroch															TEMPLATE:Anauroch Region													SOURCEPAGE:FRCS30																																	
Calimshan Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Calimshan															TEMPLATE:Calimshan Region													SOURCEPAGE:FRCS30																																	
Chessenta Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Chessenta															TEMPLATE:Chessenta Region													SOURCEPAGE:FRCS30																																	
Chondalwood Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Chondalwood															TEMPLATE:Chondalwood Region													SOURCEPAGE:FRCS30																																	
Chult Region	CATEGORY:Regional	TYPE:FaerunRegion	VISIBLE:YES	OUTPUTNAME:Chult															TEMPLATE:Chult Region													SOURCEPAGE:FRCS30																																	
