SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:06-2001
									
#	SOURCEPAGE:SpellListI.rtf		SPELLLEVEL:DOMAIN|=1||=2||=3||=4||=5||=6||=7||=8||=9|	DESC:					
Cavern	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCavern,1]	SPELLLEVEL:DOMAIN|Cavern=1|Detect Secret Doors|Cavern=2|Darkness|Cavern=3|Meld into Stone|Cavern=4|Leomund's Secure Shelter|Cavern=5|Passwall|Cavern=6|Find the Path|Cavern=7|Maw of stone|Cavern=8|Earthquake|Cavern=9|Imprisonment	DESC:You gain the dwarven ability of stonecunning. If you already have stonecunning, your racial bonus for stone cunning increases from +2 to +4 on checks to notice unusual stonework.		ABILITY:Special Ability|AUTOMATIC|Cavern ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.Stonecunning	BONUS:VAR|StonecunningSearchBonus|2|TYPE=Racial.STACK|PREABILITY:1,CATEGORY=Special Ability,TYPE.Stonecunning		
Charm	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCharm,1]	SPELLLEVEL:DOMAIN|Charm=1|Charm Person|Charm=2|Calm Emotions|Charm=3|Suggestion|Charm=4|Emotion|Charm=5|Charm Monster|Charm=6|Geas/Quest|Charm=7|Insanity|Charm=8|Demand|Charm=9|Dominate Monster	DESC:You can boost your Charisma by 4 points once per day. Activating this ower is a free action. The charisma increase lasts 1 minute.		TEMPDESC:You can boost your Charisma by 4 points once per day.	TEMPBONUS:PC|STAT|CHA|4|TYPE=Enhancement		
Craft	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainCraft,1]	SPELLLEVEL:DOMAIN|Craft=1|Animate Rope|Craft=2|Wood Shape|Craft=3|Stone Shape|Craft=4|Minor Creation|Craft=5|Wall of Stone|Craft=6|Fantastic Machine|Craft=7|Major Creation|Craft=8|Forcecage|Craft=9|Fantastic Machine (Greater)	DESC:You cast Creation spells at +1 caster level and gain Skill Focus (a +2 bonus) in the Craft skill of your choice.		BONUS:CASTERLEVEL|SUBSCHOOL.Creation|1|PRERULE:1,SYS_DOMAIN	BONUS:ABILITYPOOL|Craft Skill Focus|1		
Darkness	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainDarkness,1]	SPELLLEVEL:DOMAIN|Darkness=1|Obscuring Mist|Darkness=2|Blindness/Deafness|Darkness=3|Blacklight|Darkness=4|Armor of Darkness|Darkness=5|Darkbolt|Darkness=6|Prying Eyes|Darkness=7|Nightmare|Darkness=8|Power Word Blind|Darkness=9|Power Word Kill	DESC:Free Blind-Fight feat.		ABILITY:FEAT|AUTOMATIC|Blind-Fight			
Drow	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainDrow,1]	SPELLLEVEL:DOMAIN|Drow=1|Cloak of Dark Power|Drow=2|Clairaudience/Clairvoyance|Drow=3|Suggestion|Drow=4|Discern Lies|Drow=5|Spiderform|Drow=6|Dispel Magic (Greater)|Drow=7|Word of Chaos|Drow=8|Planar Ally (Greater)|Drow=9|Gate	DESC:Free Lightning Reflexes feat.		ABILITY:FEAT|AUTOMATIC|Lightning Reflexes			
Dwarf	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainDwarf,1]	SPELLLEVEL:DOMAIN|Dwarf=1|Magic Weapon|Dwarf=2|Bear's Endurance|Dwarf=3|Glyph of Warding|Dwarf=4|Magic Weapon (Greater)|Dwarf=5|Fabricate|Dwarf=6|Stone Tell|Dwarf=7|Dictum|Dwarf=8|Protection from Spells|Dwarf=9|Elemental Swarm ~ Earth only	DESC:Free Great Fortitude feat.		ABILITY:FEAT|AUTOMATIC|Great Fortitude			
Elf	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainElf,1]	SPELLLEVEL:DOMAIN|Elf=1|True Strike|Elf=2|Cat's Grace|Elf=3|Snare|Elf=4|Tree Stride|Elf=5|Commune with Nature|Elf=6|Find the Path|Elf=7|Liveoak|Elf=8|Sunburst|Elf=9|Antipathy	DESC:Free Point Blank Shot feat.		ABILITY:FEAT|AUTOMATIC|Point Blank Shot			
Family	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainFamily,1]	SPELLLEVEL:DOMAIN|Family=1|Bless|Family=2|Shield Other|Family=3|Helping Hand|Family=4|Imbue with Spell Ability|Family=5|Rary's Telepathic Bond|Family=6|Heroes' Feast|Family=7|Refuge|Family=8|Protection from Spells|Family=9|Prismatic Sphere	DESC:As a free action, you may protect a number of creatures equal to your Charisma modifier (minimum one creature) with a +4 dodge bonus to AC. This supernatural ability lasts 1 round per level. An affected creature loses this protection if it moves more than 10 feet from you. You may affect yourself with this ability.					
Fate	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainFate,1]	SPELLLEVEL:DOMAIN|Fate=1|True Strike|Fate=2|Augury|Fate=3|Bestow Curse|Fate=4|Status|Fate=5|Mark of justice|Fate=6|Geas/Quest|Fate=7|Vision|Fate=8|Mind Blank|Fate=9|Foresight	DESC:You gain the uncanny dodge ability of a 3rd-level rogue. If you have another class that grants the uncanny dodge ability, trat your level in that class as three higher for determining your uncanny dodge ability.		ABILITY:Special Ability|AUTOMATIC|Fate ~ Uncanny Dodge			
Gnome	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainGnome,1]	SPELLLEVEL:DOMAIN|Gnome=1|Silent Image|Gnome=2|Gembomb|Gnome=3|Minor Image|Gnome=4|Minor Creation|Gnome=5|Hallucinatory Terrain|Gnome=6|Fantastic Machine|Gnome=7|Screen|Gnome=8|Otto's Irresistible Dance|Gnome=9|Summon Nature's Ally IX ~ Earth only	DESC:You cast Illusion spells at +1 caster level.		BONUS:CASTERLEVEL|SCHOOL.Illusion|1|PRERULE:1,SYS_DOMAIN			
Halfling	SOURCEPAGE:FRCS30	PREMULT:1,[PREVARLT:DomainNotAllowed,1],[PREVAREQ:AllowDomainHalfling,1]	SPELLLEVEL:DOMAIN|Halfling=1|Magic Stone|Halfling=2|Cat's Grace|Halfling=3|Magic Vestment|Halfling=4|Freedom of Movement|Halfling=5|Mordenkainen's Faithful Hound|Halfling=6|Move Earth|Halfling=7|Shadow Walk|Halfling=8|Word of Recall|Halfling=9|Foresight	DESC:You gain the ability to add your Charisma modifier to your Climb, Jump, Move Silently and Hide checks. This extraordinary ability is a free action that lasts 10 minutes. It can be used once a day.		TEMPDESC:You gain the ability to add your Charisma modifier to your Climb, Jump, Move Silently and Hide checks.	TEMPBONUS:PC|SKILL|Climb,Jump,Move Silently,Hide|CHA		
