SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-10
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spur Lords gain proficiency with the longsword and one other simple or martial weapon of their choice. They gain no proficiency in armor or shields of any type.	KEY:Spur Lord ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSpurLord								SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30		
Dark Bond	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Spur Lord is immune to any harmful spell, spell-like ability, or supernatural ability that originates from the power of Cyric. Such effects act as if the Spur Lord is not included in their area. This includes spells waiting to be triggered (such as glyph of warding) but not magic items created by worshipers of Cyric. Whenever this ability is triggered, a brief manifestation of a skull surrounded by black flames appears above the Spur Lord's head.	KEY:Spur Lord ~ Dark Bond																										SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30		
Secret Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, a Spur Lord has the ability to magically hide an item as if he were wearing a glove of storing. Only one item can be concealed at a time in this manner, although the Spur Lord can cause the item to reappear in either hand as a free action, regardless of which hand was used to store the item.	KEY:Spur Lord ~ Secret Blade																										SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30		
Dark Bflames	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Spur Lord of 3rd level or higher can invoke black flames of negative energy from his hands. The flames are a ranged touch attack with a range of 10 feet and deal 1d6 points of damage per Hit Die of the user (maximum 15d6). Undead are healed rather than damaged by this effect. A Spur Lord can use this ability a number of times per day equal to 1 + his Charisma modifier	KEY:Spur Lord ~ Dark Flames	DESC:%1d%2|DarkFlamesDice|DarkFlamesDieSize			DEFINE:DarkFlamesDieSize|0	DEFINE:DarkFlamesDice|0				BONUS:VAR|DarkFlamesDice|min(SpurLordLVL,15)	BONUS:VAR|DarkFlamesDieSize|6|TYPE=Base																SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30		
Cyric's Glory	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:This ability allows a Spur Lord of 4th level or higher to temporarily increase his presence and determination to phenomenal levels once per day. He gains +4 to Charisma and a +2 morale bonus on Will saves. Cyric's glory lasts for a number of minutes equal to 1 + the character's (newly improved) Charisma modifier.	KEY:Spur Lord ~ Cyric's Glory																										SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30	TEMPBONUS:PC|STAT|CHA|4	TEMPBONUS:PC|SAVE|Will|2|TYPE=Morale
Flesh of the Prince	CATEGORY:Special Ability	TYPE:ClassFeatures.SpurLordClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Usable once per day, this extreme manifestation of Cyric's power shows that the Spur Lord has reached the pinnacle of Cyric's favor. When it is invoked, his skin turns chalk-white and his eyes turn dark and blaze with infernal energy. In addition to all the abilities of the Cyric's glory ability, any weapon wielded by the Spur Lord becomes a +1flaming weapon, trailing dark flames (this does not increase the bonus of a weapon with an enhancement bonus, but does add the flaming ability if the weapon does not have it). The Spur Lord also gains a +2 natural armor bonus and a +2 deflection bonus to AC. This ability lasts for a number of rounds equal to 1 + the character's (newly improved) Charisma modifier. When the power ends, the Spur Lord is fatigued until he is able to rest for 1 minute. Using this ability does not count toward his ability to call upon his Cyric's glory ability.	KEY:Spur Lord ~ Flesh of the Prince																										SORTKEY:Class_Spur_Lord	SOURCEPAGE:LoD30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Darkmasks gain no proficiency in weapons, armor, or shields of any type.	KEY:Darkmask ~ Weapon and Armor Proficiency																										SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A darkmask continues training in divine magic while practicing his secret skills. Thus, when a new darkmask level is gained, the character increases his spellcasting ability as if he had also gained a level in a divine spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of rebuking or commanding undead, favored enemy, and so on). This essentially means that he adds the level of darkmask to the level of some other divine spellcasting class the character has, then determines spells per day and caster level accordingly. If a character had more than one divine spellcasting class before he became a darkmask, he must decide to which class he adds each level of darkmask for purposes of determining spellcasting when he adds the new level.	KEY:Darkmask ~ Spellcasting																										SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Darkfire	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Darkmask ~ Darkfire																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DarkmaskLVL|Darkfire								SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
Pass without Trace	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkmaskClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Darkmask ~ Pass without Trace																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DarkmaskLVL|Pass without Trace								SORTKEY:Class_Darkmask	SOURCEPAGE:LoD30		
