SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-10
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###BLOCK:Organizations																																	
The Church of Cyric	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The church of Cyric is a fanatical organization devoted to the deity of murder, treachery, and deception.		PREDEITY:1,Cyric																											SOURCEPAGE:LoD30
The Chult of the Dragon	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The members of the Cult of the Dragon believe that it is Faerûn's destiny to be ruled by undead dragons.																													SOURCEPAGE:LoD30
House Jaerle	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The largest group of drow in Cormanthor is House Jaelre, worshipers of Vhaeraun intent on controlling the abandoned elven mythal in that forest.		PRERACE:1,Drow																											SOURCEPAGE:LoD30
The Night Masks	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Night Masks is a powerful thieves' guild that operates out of the metropolis of Westgate on the Dragon Coast.		PRECLASS:1,Druid=1,Ranger=1																											SOURCEPAGE:LoD30
The Red Wizards of Thay	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:Long considered a threat to peace in eastern Faerûn, the Red Wizards of Thay have a history of war and aggression toward their neighbors and even more distant lands.																													SOURCEPAGE:LoD30
The Shades	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The shades are here, and they mean business.																													SOURCEPAGE:LoD30
The Zhentarim	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Zhentarim, also known as the Black Network, began as a group of merchants but has grown to include assassins, spies, an army, and the backing of the church of Bane.																													SOURCEPAGE:LoD30
The Arcane Brotherhood	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Arcane Brotherhood is a society of evil mages that operates, more or less openly, out of the city of Luskan.																													SOURCEPAGE:LoD30
The Church of Bane	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The dread deity Bane is alive again and closing his hand about Faerûn.																													SOURCEPAGE:LoD30
The Church of Shar	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The deity Shar is one of the reasons why good folk in Faerûn fear the night.																													SOURCEPAGE:LoD30
The Daemonfey	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The daemonfey collectively comprise a clan of evil, magically talented half-fiends and fey'ri (tieflings descended from elf-demon crossbreeds) that has been recently freed from centuries of imprisonment to stalk Faerûn once again.																													SOURCEPAGE:LoD30
The Eldreth Veluuthra	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Eldreth Veluuthra is a fanatical elf supremacist group dedicated to the proposition that humans are little better than vermin, and must therefore be eradicated from Faerûn.																													SOURCEPAGE:LoD30
The Fire Knives	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:A small but deadly band of aristocratic killers, the Fire Knives are assassins-in-exile.																													SOURCEPAGE:LoD30
The Iron Throne	CATEGORY:Guild Category	TYPE:SpecialQuality.Groups	VISIBLE:YES	DESC:On the surface, the Iron Throne appears to be just another merchants' guild.																													SOURCEPAGE:LoD30
The Knights of the Shield	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Knights of the Shield is a loose network of nobles and merchants who share information so that they may each exert influence in their chosen areas of interest.																													SOURCEPAGE:LoD30
The Kraken Society	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Kraken Society is a group of information brokers who use their knowledge to influence events in coastal countries along the Trackless Sea.																													SOURCEPAGE:LoD30
Monks of the Dark Moon	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The monks of the Dark Moon are an elite sect of Sharran agents.																													SOURCEPAGE:LoD30
Monks of the Long Death	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The monks of the Long Death are members of an old order devoted to the concept of death, and they are masters of using natural means to inflict death upon others.																													SOURCEPAGE:LoD30
People of the Black Blood	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The People of the Black Blood consist of several tribes of lycanthropic Malar-worshipers living throughout Faerûn's Forests.		PREDEITY:1,Malar																											SOURCEPAGE:LoD30
Rundeen	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Rundeen is a powerful mercantile and slaving consortium that controls trade in Chult, Tashalar, and parts of Calimshan, and is working its way into Tethyr, Amn, and other countries to the north.																													SOURCEPAGE:LoD30
The Shadow Thieves	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The organization collectively known as the Shadow Thieves is the largest and most prosperous thieves' guild in all Faerûn.																													SOURCEPAGE:LoD30
The Twisted Rune	CATEGORY:Guild Category	TYPE:SpecialQuality.Organization	VISIBLE:YES	DESC:The Twisted Rune is a cabal of undead spellcasters that manipulate and twist the webs of power in Calimshan simply for the sake of entertainment.																													SOURCEPAGE:LoD30
