SOURCELONG:Lords of Darkness 3.0	SOURCESHORT:LoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-10
#						
# Equipment Name	Output Name	TYPE:	COST:	WT:	SOURCEPAGE:	
Magic Tattoo		TYPE:Tattoo.Consumable	COST:0	WT:0	SOURCEPAGE:LoD	MODS:REQUIRED
						
###Block: Poisons						
Drug (Haunspeir)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:50	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 12, Init.:1d4 hp, Sec. 1D4+1 enhancement bonus to INT for 1d10+15 minutes. Side Effects: All slashing and piercing attacks against the target deal an additional 1 point of damage while the drug is in effect. Overdose: If more than one dose is taken in a 24-hour period, the target immediately suffers 2d4 points of damage (no save), and the side effect is doubled. Addiction: Low.
Drug (Jhuild)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:6	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 15, Init.:1WIS damage, Sec. +2 alchemical bonus to STR for 1d3 hours1d10+15 minutes. Side Effects: A creature under the effect of jhuild is fearful and extremely susceptible to suggestion. The imbiber is shaken while under the drug's influence, and the DC of an Intimidate check used against the imbiber is reduced to 0 + target's Hit Dice. Overdose: None. Addiction: None.
Drug (Kammarth)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:80	WT:0	SOURCEPAGE:LoD30	SPROP:Contact DC 10 or Ingested DC 15, Init.:Act as if under the effects of an expeditious retreat spell for the next 1d4+1 minutes, Sec. +2 alchemical bonus to Dexterity for the duration of the drug's effect. Side Effects: Kammarth is a potent stimulant and gives ist user a sense of boundless energy and well being. Overdose: If more than one dose is taken in an 8-hour period, the user suffers 1d4 points of damage and is paralyzed for 2d4 minutes. Using it more than three times in any 24-hour period causes 4d4 points of damage and paralyzes the user for 2d4 hours. Addiction: Medium.
Drug (Katukada)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:100	WT:0	SOURCEPAGE:LoD30	SPROP:Contact DC 18, Init.:none, Sec. User gains +3 natural armor bonus for 30 minutes. Side Effects: When the secondary effect ends, the user suffers wracking pains and spasms, which cause 1d4+1 points of temporary Dexterity damage. Overdose: A second dose taken within a tenday of the first dose provides only a +2 natural armor bonus. Addiction: None.
Drug (Mordayn Vapor)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:200	WT:0	SOURCEPAGE:LoD30	SPROP:Inhaled DC 17, Init.:Exotic visions of incredible beauty enthrall the user for the next 1d20+10 minutes. During this time the user has a 50% chance to lose any action he attempts, as described in the bestow curse spell., Sec. 1d4 points of temporary Con damage and 1d4 points of temporary Wisdom damage. Side Effects: The visions of a dreammist user are incredibly beautiful and poignant. His normal life seems drab and futile in comparison, and he aches to experience the transcendent beauty of his drug-induced dreams again. When the dose wears off, the user must attempt a Will save (DC 17) or fall under a compulsion to do whatever is necessary to repeat the dreammist dose (treat this as a compulsion similar to that of a suggestion spell). This compulsion lasts for 1d4 hours before fading. Overdose: If two doses are taken within the space of an hour, or if raw mordayn powder or mordayn tea are ingested, the drug is a deadly poison (Ingested DC 17, 1d10 Con/1d10 Con). Mordayn vapor addicts often throw out the tea as soon as they inhale and make sure that only one dose is available at a time in order to make sure they cannot overdose on the deadly drug. Addiction: High.
Drug (Oruighen)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:20	WT:0	SOURCEPAGE:LoD30	SPROP:Inhaled DC 14, Init.:The victim is blinded for 2d4 minutes and suffers from an extremely painful stinging in the nostrils and eyes. The pain results in a -2 penalty on attack rolls, skill checks, and saving throws in addition to the penalties associated with blindness., Sec. None. Side Effects: None. Overdose: None. Addiction: None.
Drug (Panaeolo)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:250	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 18, Init.:None, Sec. The DC of all arcane spells the user casts increases by +2 for the next 1d4 hours. Side Effects: 1d6 points of temporary Charisma damage. Overdose: If a second dose of panaeolo is taken within an hour of the first, the increase to the user's arcane spell DCs becomes +3 but the user suffers 2d8 points of temporary Charisma damage. Additional doses within an hour do not increase the DCs any more but still cause the Charisma damage. Addiction: Low.
Drug (Redflower Leaves)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:300	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 10, Init.:None, Sec. As a move-equivalent action, the user may focus his attention upon a particular creature. If he follows that action with an attack against that creature, he gains a +4 competence bonus on the attack roll. This ability lasts 10 minutes. Side Effects: None. Overdose: Taking a second dose before the first has worn off causes the user to be nauseated for 1d4x10 minutes. Addiction: Low.
Drug (Rhul)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:50	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 15, Init.:User gains a +4 alchemical bonus to Strength and Constitution, but suffers a -2 penalty to AC. This lasts 1 minute., Sec. User is fatigued. Taking another dose of rhul causes the fatigue to go away for 1 minute (in addition to the drug's normal effects). Two or more doses of rhul-induced fatigue cause the user to be exhausted. Side Effects: Due to stimulation of the scent and tactile nerves, while the initial effect is functioning, the user prefers to engage in close battle. If the user is given the choice of fighting in melee or with ranged attacks, he must make a Will saving throw (DC 16) or choose the melee attack. Overdose: If more than one dose of rhul is taken in a period of 1 hour, the user takes 1d4 points of temporary Intelligence and Wisdom damage. Addiction: Medium.
Drug (Sakrash)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:500	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 11, Init.:User is dazzled for 1 minute., Sec. Cannot be detected by effects that read or alter thoughts (such as detect thoughts, zone of truth, and modify memory) or emotions (such as emotion or fear). This lasts 1d4 hours. Side Effects: Because the user's thoughts cannot be read, attempts to communicate with the user mentally (such as with Rary's telepathic bond, or the empathic link of a familiar to its master) fail, even if the user is willing. Overdose: None. Addiction: None.
Drug (Sezarad Root)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:75	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 14, Init.:User gains 1d8 temporary hit points., Sec. User gains 1d8 temporary hit points. These overlap (do not stack) with any other temporary hit points from sezarad root. All temporary hit points from sezarad root wear off 10 minutes after it is ingested. Side Effects: 1d4 points of temporary Wisdom damage. Overdose: None. Addiction: Low.
Drug (Tekkil)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:5	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 9, Init.:None., Sec. The user becomes numbed to pain for 1d4 hours. Any attack, saving throw, or skill check penalties caused by extreme pain (such as from a symbol of pain) are reduced by 1. The user also gains damage reduction 1/— against subdual damage only. Side Effects: Tekkil causes lassitude and lethargy. While the drug is in effect, the user suffers a -2 penalty on initiative checks. Overdose: A second dose taken while the first dose is still in effect causes a numbing stupor for 2d4 hours. The user acts as if under the effect of a slow spell until the stupor wears off. Addiction: Medium.
Drug (Ziran)	OUTPUTNAME:[NAME]	TYPE:Goods.Drug.Consumable	COST:100	WT:0	SOURCEPAGE:LoD30	SPROP:Ingested DC 17, Init.:User is dazed for 1 round., Sec. User gains a +2 alchemical bonus to Dexterity for 1d3 hours. Side Effects: When the secondary effect ends, the user suffers 2 points of temporary Constitution damage. Ziran users describe a sense of detachment or out-of-body experience, feeling as if they're watching themselves act from a distance. Overdose: If a second dose is taken within 24 hours of the first, the user suffers an additional 2 points of temporary Constitution damage. Addiction: High.
						
###BLOCK:Alchemical Items						
Fleshpellet (Flask)		TYPE:Goods.Alchemical.Consumable.Flask.Liquid	COST:50	WT:0	SOURCEPAGE:LoD30	
Glowpowder		TYPE:Goods.Alchemical.Consumable.Flask	COST:50	WT:0	SOURCEPAGE:LoD30	
Healing Salve		TYPE:Goods.Alchemical.Consumable	COST:50	WT:0	SOURCEPAGE:LoD30	
Phantom Ink		TYPE:Goods.Alchemical.Consumable.Writing.Liquid.Vial	COST:50	WT:0	SOURCEPAGE:LoD30	
Suregrip (Flask)		TYPE:Goods.Alchemical.Consumable.Flask	COST:50	WT:0	SOURCEPAGE:LoD30	
Witchweed (Flask)		TYPE:Goods.Alchemical.Consumable.Flask	COST:50	WT:0	SOURCEPAGE:LoD30	
