SOURCELONG:Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																						
#																									
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:			
# Simple Weapons																									
## Unarmed																									
Gauntlet of the Valorous		KEY:GAUNTLET_VALOR	PROFICIENCY:WEAPON|Gauntlet	TYPE:Enhancement.Weapon.Melee.Simple.Bludgeoning.Unarmed.Gauntlet	COST:18302	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d3	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS3W	SOURCEPAGE:MoF30									MODS:YES	SLOTS:1	
																									
## Light																									
Dagger of Chaos			PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:106302	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS5W	SOURCEPAGE:MoF30	SPROP:If it successfully strikes a creature and inflicts damage, the wielder randomly assumes a new shape as if someone had successfully cast polymorph other on him.						RANGE:10				
Dagger of Defiance			PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:12302	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30							RANGE:10		ABILITY:Special Ability|VIRTUAL|Immunity to Fear|Immunity to Compulsion|Resistance to Enchantment (Sp)	BONUS:VAR|EnchantmentResistanceBonusSp|3|TYPE=Enchantment	
The Fist			PROFICIENCY:WEAPON|Gauntlet (Spiked)	TYPE:Enhancement.Weapon.Melee.Simple.Piercing.Unarmed.Gauntlet	COST:23305	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL.ADAMANT_WEAP.EQ_COST_ADJ.PLUS2W	SOURCEPAGE:MoF30	SPROP:1/day +2d6 points of damage on a successful hit and Fortitude save (DC 22) or be stunned for 1d4 rounds and a Reflex save (DC 22) to avoid being knocked prone.								BONUS:EQM|WEIGHTADD|-1|PREMULT:3,[PREEQUIP:1,TYPE.Armor],[PREEQUIP:1,TYPE.Medium,TYPE.Heavy],[!PREEQUIP:1,Breastplate]		
Nightblade			PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:8702	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30	SPROP:+2 enhancement bonus against good-aligned target and Will save (DC 16) or take 1 point of temporary damage to a random ability score.						RANGE:10				
Spectral Dagger			PROFICIENCY:WEAPON|Dagger	TYPE:Enchantment.Weapon.Melee.Simple.Unarmed.Light.Dagger	COST:20000	WT:1	WIELD:Light		SIZE:M		CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL	SOURCEPAGE:MoF30									SPELLS:Spectral dagger|TIMES=ATWILL|CASTERLEVEL=5|Chill Touch,11		
Spider Fang			PROFICIENCY:WEAPON|Dagger	TYPE:Enchantment.Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:11782	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30	SPROP:Cuts through webs (magical or otherwise). 1/day create a curtain of cobwebs, a 10-foot-square plane of wispy strands that grants one-half concealment to creatures hiding behind it. Any creature that touches the curtain causes it to collapse upon the creature and deal 2d4 points of acid damage.						RANGE:10		SPELLS:Spider Fang|TIMES=1|CASTERLEVEL=3|Web		
Viper Dagger			PROFICIENCY:WEAPON|Dagger	TYPE:Enchantment.Weapon.Melee.Ranged.Simple.Piercing.Slashing.Light.Dagger	COST:10462	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS2W	SOURCEPAGE:MoF30	SPROP:Can turn into a Small Viper.						RANGE:10				
																									
## OneHanded																									
Lit with Danger			PROFICIENCY:WEAPON|Shortspear	TYPE:Enhancement.Weapon.Melee.Ranged.Simple.Bludgeoning.Piercing.OneHanded.Spear	COST:18302	WT:3	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS1W	SOURCEPAGE:MoF30	SPROP:1/day automatically casts a faerie fire on the attacking creature immediately after the attack resolves.						RANGE:20				
Talosian Shortspear			PROFICIENCY:WEAPON|Shortspear	TYPE:Enhancement.Weapon.Melee.Ranged.Simple.Bludgeoning.Piercing.OneHanded.Spear	COST:18302	WT:3	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS1W.FLM_M.SHOCK_M	SOURCEPAGE:MoF30							RANGE:20				
																									
## TwoHanded																									
Mace of the Darkchildren			PROFICIENCY:WEAPON|Mace (Heavy)	TYPE:Enhancement.Weapon.Melee.Simple.Bludgeoning.OneHanded.Mace	COST:17000	WT:8	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL.ADAMANT_WEAP	SOURCEPAGE:MoF30									BONUS:VAR|RebukeCheckUndead|6|TPE=Profane	BONUS:VAR|RebukeHDUndead|2	
Quarterstaff of Battle			PROFICIENCY:WEAPON|Quarterstaff	TYPE:Enhancement.Weapon.Melee.Simple.Bludgeoning.TwoHanded.Double.Quarterstaff	COST:162600	WT:4	WIELD:TwoHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS3W.SPEED	SOURCEPAGE:MoF30	SPROP:+4 bonus on any attack roll made to disarm. 3/day the quarterstaff automatically deflects all ranged weapon attacks and absorbs any missiles or ranged attacks created by spells of 2nd level or less.	ALTTYPE:Enhancement.Weapon.Melee.Bludgeoning	ALTDAMAGE:1d6	ALTCRITRANGE:1	ALTCRITMULT:x2	ALTEQMOD:WOOD.EQ_COST_ADJ_W.PLUS3W			ABILITY:FEAT|VIRTUAL|Improved Disarm	SPELLS:Quarterstaff of Battle|TIMES=1|CASTERLEVEL=12|Repulsion	
Staff of Mighty Sweeping			PROFICIENCY:WEAPON|Quarterstaff	TYPE:Enchantment.Weapon.Melee.Simple.Bludgeoning.TwoHanded.Double.Quarterstaff	COST:28600	WT:4	WIELD:TwoHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD.EQ_COST_ADJ_W.PLUS2W.SWEEP_M	SOURCEPAGE:MoF30		ALTTYPE:Enhancement.Weapon.Melee.Bludgeoning	ALTDAMAGE:1d6	ALTCRITRANGE:1	ALTCRITMULT:x2	ALTEQMOD:WOOD.EQ_COST_ADJ_W.PLUS2W			ABILITY:FEAT|VIRTUAL|Improved Trip		
																									
## Ranged																									
																									
# Martial Weapons																									
## Light																									
																									
## OneHanded																									
Banesword			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:15335	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.LAW_M	SOURCEPAGE:MoF30											
Blingdenstone Warpick			PROFICIENCY:WEAPON|Pick (Heavy)	TYPE:Enhancement.Weapon.Melee.Martial.Piercing.OneHanded.Pick	COST:8308	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x4	EQMOD:STEEL.WOOD.EQ_COST_ADJ_W.PLUS1W.ACID_M	SOURCEPAGE:MoF30											
Cormanthyrian Elfblade			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:8315	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.KEEN	SOURCEPAGE:MoF30											
Cormyrian Goblinthrasher			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:18315	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.BANE_M|Humanoids (goblinoid)	SOURCEPAGE:MoF30											
Golden Axe of the Great Rift			PROFICIENCY:WEAPON|Battleaxe	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Axe	COST:18310	WT:6	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.BANE_M|Aberration	SOURCEPAGE:MoF30											
Justice Blade			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:32315	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS1W.HOLY_M.MI_CLE.LGHT_EMIT_LIGHT	SOURCEPAGE:MoF30											
Namarra			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:30315	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS2W.KEEN	SOURCEPAGE:MoF30	SPROP:Silence on the sword at will.										
One Thousand Broken Dreams			PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Slashing.OneHanded.Sword	COST:100315	WT:4	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL.EQ_COST_ADJ_W.PLUS3W.HOLY_M.BANE_M_ELF|Elf (Drow)	SOURCEPAGE:MoF30									BONUS:VAR|NegativeLevels|1|PREALIGN:LE,NE,CE		
