SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net																															
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
###Block: Race Traits																																	
																																	
###Block: Subtype Traits																																	
# Elements																																	
																																	
# Alignments																																	
																																	
# Racial																																	
																																	
# Race Groups Subtype																																	
																																	
# Race Groups																																	
Energon Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Energon ~ Energy Ray|Energon ~ Explosion									SOURCEPAGE:MotP	
Energy Ray	CATEGORY:Special Ability	TYPE:EnergonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An energon's energy ray has a range of 30 feet.	KEY:Energon ~ Energy Ray																											SOURCEPAGE:MotP30	
Explosion	CATEGORY:Special Ability	TYPE:EnergonRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:If an energon is reduced to 0 hit points, its body is instantaneously destroyed in an explosion of positive or negative energy that deals 1d8+9 points of damage to everyone in a 20-foot-radius burst (Fortitude save DC %1 half ).|ExplosionDC	KEY:Energon ~ Explosion				DEFINE:ExplosionDC|0					BONUS:VAR|ExplosionDC|DefaultDCCha																		SOURCEPAGE:MotP30	
																																	
																																	
																																	
																																	
###Block: Tracker																																	
																																	
###Block: Race																																	
Race Traits ~ Astral Dreadnaught	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AstralDreadnaughtRaceTrait											BONUS:VAR|Maneuverability|2|TYPE=Base																			
Sever Silver Cord	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If the astral dreadnought can attack an astral traveler's back (by flanking it, catching it flat-footed, or pursuing it while panicked and fleeing), it can attack the silver cord that connects the astral form to its material counterpart. The normally insubstantial cord is treated as a tangible object with the owner's AC, hardness 10, and 20 hit points (see Attack an Object in Chapter 8 of the Player 's Handbook). A silver cord visibly trails 5  feet behind an astral traveler before fading into the astral medium. Attacking it draws an attack of opportunity from the astral traveler. When the cord is damaged, the astral traveler must succeed at a Fortitude save (DC 13) or be immediately forced to return to its body. Severing the silver cord destroys both the astral form and the body on the Material Plane.	KEY:Astral Dreadnaught ~ Sever Silver Cord																											SOURCEPAGE:MotP30	
Improved Grab	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the astral dreadnought must hit with its bite attack. If it gets a hold, it automatically deals bite damage and can try to swallow the opponent. An astral dreadnought that hits with a claw attack grabs as above. If it gets a hold, it picks up the opponent and transfers it to the mouth as a partial action, automatically dealing bite damage as above.	KEY:Astral Dreadnaught ~ Improved Grab																											SOURCEPAGE:MotP30	
Swallow Whole	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:The round after it grabs an opponent, an astral dreadnought can try to swallow it by making a successful grapple check. Once inside, the opponent takes 2d8+16 points of crushing damage plus 2d8 points of acid damage every round. A swallowed creature can crawl out of the gullet by making a successful grapple check. This returns it to the astral dreadnought's maw, where another successful grapple check is needed to get free. A swallowed creature can also cut its way out by using claws or a Small or Tiny slashing weapon to deal 35 points of damage to the gullet (AC 24). Once the creature exits, muscular action closes the hole; another swallowed creature must cut its own way out. The astral dreadnought's gullet can hold two Huge, four Large, eight Medium-size, sixteen Small, or thirtytwo Tiny or smaller opponents.	KEY:Astral Dreadnaught ~ Swallow Whole																											SOURCEPAGE:MotP30	
Rend	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If an astral dreadnought hits with both claw attacks, it latches onto the opponent's body and tears the flesh. This attack automatically deals an additional 4d6+24 points of damage.	KEY:Astral Dreadnaught ~ Rend									BONUS:VAR|RendDice|4	BONUS:VAR|RendDieSize|6|TYPE=Base																	SOURCEPAGE:MotP30	
Antimagic Cone	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An astral dreadnought's single eye continually produces a 150-foot antimagic cone extending straight ahead from the creature's front. This functions just like antimagic field cast by an 18th-level sorcerer, with the exception noted below. Once each round, during its turn, the astral dreadnought decides which way its eye faces. The astral dreadnought can only make bite attacks against creatures to its front. All magical, spell-like, and supernatural effects within the cone are suppressed, except for those that brought the subjects to the Astral Plane in the first place (the astral projection spell, for example). Those effects are locked in place while the subjects are in the cone and cannot be dismissed, trapping the subjects on the Astral Plane while under its effect.	KEY:Astral Dreadnaught ~ Antimagic Cone																											SOURCEPAGE:MotP30	
Frightful Presence	CATEGORY:Special Ability	TYPE:AstralDreadnaughtRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The mere sight of an astral dreadnought can unsettle or even panic opponents. The ability takes effect automatically whenever the astral dreadnought attacks or moves within %1 feet of a foe. Those within range must succeed at a Will save (DC %2) or be affected. Creatures with 4 HD or fewer become panicked for 4d6 rounds, and those with 5 HD or more become shaken for 4d6 rounds. Those who succeed at the Will save are immune to the astral dreadnought's frightful presence for one day.The save DC is Charisma-based.|FrightfulPresenceDC|FrightfulPresenceRange	KEY:Astral Dreadnaught ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|200							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MotP30	
																																	
Race Traits ~ Bariaur	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1									BONUS:VAR|RaceSizeIsLong|1									ABILITY:Special Ability|AUTOMATIC|Bariaur Racial Traits	ABILITY:Bariaur Subrace|AUTOMATIC|Bariaur ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Bariaur Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Bariaur Racial Traits																												
Charge	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bariaur often begins a battle by charging at an opponent, lowering its head to smash its rams' horns against a foe. In addition to the normal benefits and hazards of a charge, this allows the bariaur to make a single gore attack that deals 2d6+1 points of bludgeoning damage.	KEY:Bariaur ~ Charge																											SOURCEPAGE:MotP30	
