SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																	
# # Subrace Traits																																	
																																	
###Block: Traits																																	
Stone Walk	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:This ability allows Urdunnirs to pass through stone and earth as if it were air. They can carry up to twice their own body weight with them in this manner.	KEY:Urdunnir Dwarf ~ Stone Walk																											SOURCEPAGE:MCMoF	
Stone Shape	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Urdunnir Dwarf ~ Stone Shape																		SPELLS:Innate|TIMES=1|TIMEUNIT=Round|CASTERLEVEL=8|Stone Shape									SOURCEPAGE:MCMoF	
Shape Metal	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An urdunnir can also use a shape metal spell-like ability by concentrating for a full round and using this ability in the next round. The power works just like the stone shape spell, except that the urdunnir can only affect 5 cubic feet of metal. The dwarf must touch the metal to shape it, which may require a melee touch attack if an opponent is holding or wielding the object. If an urdunnir is prepared for an attack, he can reshape a metal weapon as it hits, taking only half damage from the attack and rendering the weapon useless. (The dwarf must spend one action preparing to use the power, then ready the shape metal ability on his next action, using the ability the next time he is struck in combat.) Magic weapons and armor receive a Fortitude saving throw against this power (see the saving throw rules under Strike an Object in Chapter 8 of the Player's Handbook).	KEY:Urdunnir Dwarf ~ Shape Metal																											SOURCEPAGE:MCMoF	
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Aarakokra	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AarakokraRaceTrait	AUTO:LANG|Common|Auran	AUTO:WEAPONPROF|Javelin									BONUS:VAR|Maneuverability|3|TYPE=Base	BONUS:VAR|AdvancementByClass|1																		
Bite	CATEGORY:Special Ability	TYPE:AarakokraRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When grounded, an aarakocra attacks with its beak (+1 melee), dealing 1d3 points of damage on a successful attack.	KEY:Aarakokra ~ Bite																											SOURCEPAGE:MCMoF	
Summon Large Air Elemental	CATEGORY:Special Ability	TYPE:AarakokraRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A group of five aarakocras that includes at least one cleric can cast summon monster VI to summon a Large air elemental. To perform the summoning, the aarakocras must perform an intricate aerial dance for 3 rounds.	KEY:Aarakokra ~ Summon Large Air Elemental																											SOURCEPAGE:MCMoF	
																																	
Race Traits ~ Aballin	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|TYPE=AballinRaceTrait											BONUS:VAR|DarkvisionRange|60|TYPE=Base																			
Drown	CATEGORY:Special Ability	TYPE:AballinRaceTrait.SpecialAttack	VISIBLE:YES	DESC:The first victim hit by an aballin's pseudopods must make an opposed grapple check with the aballin (the monster's bonus on this check is +11). If the aballin wins this check, it draws the victim into its fluid body. The victim is at risk of drowning (see Water Dangers in the DUNGEON MASTER's Guide for the risks and effects of drowning). Because the aballin is composed of acid, not water, spells such as water breathing offer no help in surviving the effect of drowning in their fluids. A trapped victim can attack the aballin or make additional grapple checks to escape its grasp. The character cannot cast spells with a verbal component or use any other item or ability that requires speech. If other characters use edged weapons to attack the aballin while it is holding a victim, those attacks have a 25%% chance of hitting the trapped character, and they do no harm to the aballin. While holding a victim, the aballin continues to attack with its pseudopods, dealing slam damage to other characters.	KEY:Aballin ~ Drown																											SOURCEPAGE:MCMoF	
Immimities	CATEGORY:Special Ability	TYPE:AballinRaceTrait.SpecialQuality.Extraordinatry	VISIBLE:YES	DESC:Aballins suffer no damage from energy attacks involving fire, cold, or electricity. As noted above, slashing or piercing weapon attacks have a 25%% chance of striking a character trapped within an aballin, but they do no harm to the aballin itself. Only bludgeoning weapons can harm the creature (and then only if they overcome its damage reduction).	KEY:Aballin ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Fire|Immunity to Cold|Immunity to Electricity									SOURCEPAGE:MCMoF	
Passive State	CATEGORY:Special Ability	TYPE:AballinRaceTrait.SpecialQuality	VISIBLE:YES	DESC:In its passive state, an aballin cannot be harmed by any attacks that would not affect a normal pool of water.	KEY:Aballin ~ Passive State																											SOURCEPAGE:MCMoF	
Vulnerable to Water-Affecting spells	CATEGORY:Special Ability	TYPE:AballinRaceTrait.SpecialQuality.Extraordinatry	VISIBLE:YES	DESC:A transmute water to dust spell forces an aballin to make a Fortitude save (the DC is determined by the attributes of the caster) or perish. A lower water spell forces an aballin to release a trapped character if it fails a Fortitude save.	KEY:Aballin ~ Vulnerable to Water-Affecting Spells																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Water spells									SOURCEPAGE:MCMoF	
																																	
