SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Astral Dreadnought			STARTFEATS:1	SIZE:G	TYPE:Outsider	RACETYPE:Outsider		MONSTERCLASS:Outsider:18	MOVE:Fly,180	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8				FACE:20	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Dreadnaught		SR:28	BONUS:STAT|STR|32	BONUS:STAT|DEX|-4	BONUS:STAT|CON|26	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Hide|Move Silently|Search|Spot|Survival	CR:17	KIT:1|TN	HITDICEADVANCEMENT:32,54		LEGS:0	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Astral Dreadnaught Stats
Bariaur			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider			MOVE:Walk,40						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bariaur										CR:1/2				LEGS:4	HANDS:2	SOURCEPAGE:MotP30	KIT:1|Bariaur Stats
# Eladrin (Firre)																																		
# Eladrin (Leonal)																																		
# Demon (Uridezu)																																		
# Demon (Armanite)																																		
# Demon (Goristro)																																		
# Devil (Spinagon)																																		
# Devil (Narzugon)																																		
Energon (Xag-Ya)			STARTFEATS:1	SIZE:M	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Incorporeal	MONSTERCLASS:Elemental:5	MOVE:Fly,20		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*4,1d6,SPROP=Positive energy				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Energon (Xag-Ya)				BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8	MONCSKILL:Hide|Spot	CR:4	KIT:1|TN	HITDICEADVANCEMENT:9,15		LEGS:0	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Energon (Xag-Ya) Stats
Energon (Xeg-Yi)			STARTFEATS:1	SIZE:M	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Incorporeal	MONSTERCLASS:Elemental:5	MOVE:Fly,20		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*4,1d6,SPROP=Negative energy				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Energon (Xeg-Yi)				BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-4		BONUS:STAT|CHA|8	MONCSKILL:Hide|Spot	CR:4	KIT:1|TN	HITDICEADVANCEMENT:9,15		LEGS:0	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Energon (Xeg-Yi) Stats
Ephemera (Dusk Beast)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider		MONSTERCLASS:Outsider:8	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*2,1d8|Tail Barb,Weapon.Natural.Finesseable.Melee.Bludgeoning.Piercing,*1,1d4				FACE:5	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ephemera (Dusk Beast)			BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Spot|Survival	CR:3		HITDICEADVANCEMENT:12,18		LEGS:4	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Ephemera (Dusk Beast) Stats
Ephemera (Ecalypse)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider		MONSTERCLASS:Outsider:10	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d3				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ephemera (Ecalypse)			BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4	MONCSKILL:Balance|Hide|Jump|Listen|Sense Motive|Spot|Survival	CR:9		HITDICEADVANCEMENT:20,30		LEGS:6	HANDS:0	SOURCEPAGE:MotP30	KIT:1|Ephemera (Ecalypse) Stats
