SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Beetle Buckler	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BeetleBucklerRaceTrait																													
Deflect Arrows	CATEGORY:Special Ability	TYPE:BeetleBucklerRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When detached from its shield position, a beetle buckler darts about in its owner's space, blocking one ranged attack per round as the Deflect Arrows feat.	KEY:Beetle Buckler ~ Deflect Arrows	SERVESAS:FEAT|Deflect Arrows																										SOURCEPAGE:AaEG
																																
Race Traits ~ Climbdog	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ClimbdogRaceTrait|Scent																													
Training	CATEGORY:Special Ability	TYPE:ClimbdogRaceTrait.SpecialQuality	VISIBLE:YES	DESC:DC 10 young, DC 17 adult.	KEY:Climbdog ~ Training																											SOURCEPAGE:AaEG
Skills	CATEGORY:Special Ability	TYPE:ClimbdogRaceTrait	VISIBLE:YES		KEY:Climbdog ~ Skills									BONUS:SKILL|Climb|4|TYPE=Racial																		SOURCEPAGE:AaEG
																																
Race Traits ~ Thudhunter	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ThudhunterRaceTrait																													
Improved Grab	CATEGORY:Special Ability	TYPE:ThudhunterRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a Thudhunter hits an opponent with a Claw attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity.	KEY:Thudhunter ~ Improved Grab																											SOURCEPAGE:AaEG
Thud	CATEGORY:Special Ability	TYPE:ThudhunterRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Their thick, stumpy legs loudly stomp the ground when thudhunters prowl. Creatures with tremorsense within 120 feet are driven to distraction by the disruptive vibrations, and are forced to surface unless they succeed on a Will save (DC %1). Once they do surface, they must succeed on a second Will save (DC %1) or be stunned for 1 round.|ThudDC	KEY:Thudhunter ~ Thud				DEFINE:ThudDC|0					BONUS:VAR|ThudDC|DefaultDCStr	BONUS:VAR|ThudDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Thud)								ABILITY:Ability Focus|AUTOMATIC|Thud									SOURCEPAGE:AaEG
Training	CATEGORY:Special Ability	TYPE:ThudhunterRaceTrait.SpecialQuality	VISIBLE:YES	DESC:DC 22 young, DC 29 adult.	KEY:Thudhunter ~ Training																											SOURCEPAGE:AaEG
Skills	CATEGORY:Special Ability	TYPE:ThudhunterRaceTrait	VISIBLE:YES		KEY:Thudhunter ~ Skills									BONUS:SKILL|Jump|5|TYPE=Racial																		SOURCEPAGE:AaEG
																																
Race Traits ~ Riding Lizard	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=RidingLizardRaceTrait																													
Light Blindness	CATEGORY:Special Ability	TYPE:RidingLizardRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Abrupt exposure to bright light (such as sunlight or a daylight spell) blinds drow for 1 round. On subsequent rounds, they are dazzled as long as they remain in the affected area.	KEY:Riding Lizard ~ Light Blindness																											SOURCEPAGE:AaEG, p. 82
Sticky Pads	CATEGORY:Special Ability	TYPE:RidingLizardRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A riding lizard has large, circular pads on its toes that exude adhesive. At will, a riding lizard can stick to any vertical or inverted surface as Spider Climb spell cast by a 20th-level sorcerer.	KEY:Riding Lizard ~ Sticky Pads																											SOURCEPAGE:AaEG, p. 82
Training	CATEGORY:Special Ability	TYPE:RidingLizardRaceTrait.SpecialQuality	VISIBLE:YES	DESC:DC 20 young, DC 27 adult	KEY:Riding Lizard ~ Training																											SOURCEPAGE:AaEG, p. 82
																																
Race Traits ~ Axebeak	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AxebeakRaceTrait																													
Training	CATEGORY:Special Ability	TYPE:AxebeakRaceTrait.SpecialQuality	VISIBLE:YES	DESC:DC 11 young, DC 18 adult	KEY:Axebeak ~ Training																											SOURCEPAGE:AaEG, p. 83
Skills	CATEGORY:Special Ability	TYPE:AxebeakRaceTrait.SpecialQuality	VISIBLE:YES		KEY:Axebeak ~ Skills									BONUS:SITUATION|Spot=Daylight|8|TYPE=Racial																		SOURCEPAGE:AaEG, p. 83
Speed	CATEGORY:Special Ability	TYPE:AxebeakRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Axebeaks move five times their normal speed when running instead of four times the speed.																												SOURCEPAGE:AaEG, p. 83
																																
Race Traits ~ Hippocampus	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=HippocampusRaceTrait	AUTO:LANG|Aquan																												
