SOURCELONG:Gozzilioni Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BerserkClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Bersek is proficient with all simple and martial weapons, light armor.	KEY:Berserk ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf|TYPE=WeaponProfMartial								SORTKEY:Class_Barbarian	SOURCEPAGE:DaD
Battle Fury	CATEGORY:Special Ability	TYPE:ClassFeatures.BerserkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Bersek can enter battle fury as a standard action. They gain +6 to Strength, +6 to Constitution and +3 morale bonus on Will saves, but suffer a -2 penalty to AC while in battle fury. The increase in Conctitution increase the berserk's hit points by 3 points per level. While in his fury, a berserk cannot use skills or abilities that require patience and concentration, such as moving silently or casting spells (the only class skills he can't use are Animal Empathy and Wilderness Lore). He cannot use ranged weapons. He can use any feat he might have except for Expertise, item creation feats, metamagic feats, and Skill Focus (if it's tied to a skill that requires patience or concentration). While in a fury, berserks attack every being they can see. When a berserk begins attacking a foe, she continues until that foe dies, the berserk dies or becomes incapacitated, or the fury ends.&nl;In order to avoid attacking a friend or innocent bystander, the berserk must make a Will save (DC 15 + the number of rounds already spent in a fury). A fit of battle fury lasts for a number of rounds equal to 3 + the character's (newly improved) Constitution modifier. The berserk may not prematurely end the battle fury voluntarily. If there are no longer any beings in sight, the berserk randomly attacks walls, rocks, trees, doors, or anything else she can see. At the end of a fury, the berserk is fatigued (-2 to Strength, -2 to Dexterity, can't charge or run) for the duration of that encounter. The berserk can only fly into a fury once per encounter and only a certain number of times per day (determined by level).	KEY:Berserk ~ Battle Fury				DEFINE:BerserkBattleFuryTimesLVL|0					BONUS:VAR|BattleFuryTimesLVL|BerserkLVL	BONUS:VAR|BattleFuryTimes|(BerserkBattleFuryTimesLVL+3)/4								ABILITY:Special Ability|AUTOMATIC|Battle Fury								SORTKEY:Class_Barbarian	SOURCEPAGE:DaD
Movement Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.BerserkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Berserk increase their movement rate by 10 feet. This bonus only applies to the berserk's human and hybrid forms.	KEY:Berserk ~ Movement Bonus									BONUS:MOVEADD|TYPE=Walk|10|TYPE=Enhancement																	SORTKEY:Class_Barbarian	SOURCEPAGE:DaD
Beast Shape	CATEGORY:Special Ability	TYPE:ClassFeatures.BerserkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The berserk selects a totem animal from the following list: bear (brown), boar, eagle, raven, whale (cachalot), or wolf. A number of times per day determined by level, the berserk may change shape into a hybrid creature with features that combine human and animal, or into the animal itself. 	KEY:Berserk ~ Beast Shape				DEFINE:BerserkBeastShapeTimes|0					BONUS:ABILITYPOOL|Berserk Totem|1	BONUS:VAR|BerserkBeastShapeTimes|BerserkLVL/3																SORTKEY:Class_Barbarian	SOURCEPAGE:DaD
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.BerserkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, the berserk gains the ability to shrug off some amount of injury from each blow or attack. Subtract 1 from the damage the berserk takes each time she is dealt damage. At 4th level, this damage reduction rises to 2. At 6th level it rises to 3. At 8th level it rises to 4. Damage reduction can reduce damage to 0 but not below 0.	KEY:Berserk ~ Damage Reduction				DEFINE:BerserkDR|0					BONUS:VAR|BerserkDR|min(4,BerserkLVL/2)									DR:BerserkDR/-									
																																
Brown Bear	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Brown Bear.	KEY:Berserk ~ Totem ~ Brown Bear																											SOURCEPAGE:DaD
Boar	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Boar.	KEY:Berserk ~ Totem ~ Boar																											SOURCEPAGE:DaD
Eagle	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Eagle.	KEY:Berserk ~ Totem ~ Eagle																											SOURCEPAGE:DaD
Raven	CATEGORY:Special Ability	TYPE:BerserkTotem.SpecialQuality	VISIBLE:YES	DESC:%1/day change shape into a Raven.	KEY:Berserk ~ Totem ~ Raven																											SOURCEPAGE:DaD
