SOURCELONG:Gozzilioni Deities and Demigods	SOURCESHORT:DaD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-04																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Lesser Cyclops	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait	AUTO:LANG|Common																			AUTO:WEAPONPROF|Longspear	AUTO:EQUIP|Longspear								
																																
Race Traits ~ Greater Cyclops	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTraitAttack|Immunity To Fire	AUTO:LANG|Common																			AUTO:WEAPONPROF|Longspear	AUTO:EQUIP|Longspear	SR:21	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium						
																																
Race Traits ~ Faun	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=FaunRaceTrait	AUTO:LANG|Sylvan|Common																												
Music Ability	CATEGORY:Special Ability	TYPE:FaunRaceTrait	VISIBLE:YES	DESC:when a faun uses a magic flute or a set of pipes the saving throw DC for any effect of the item is increased by +2. a Faun with Use Magic Device skill (DC 25) can use a satyr's pipes to create the magical effects that satyrs produce on the pipes. 	KEY:Faun ~ Music Ability																											SOURCEPAGE:DaD
Music Resistance	CATEGORY:Special Ability	TYPE:FaunRaceTrait	VISIBLE:YES	DESC:Fauns receive a +2 racial bonus on saving throws made to resist any musical effects.	KEY:Faun ~ Music Resistance																											SOURCEPAGE:DaD
Skills	CATEGORY:Special Ability	TYPE:FaunRaceTrait	VISIBLE:YES		KEY:Faun ~ Skills									BONUS:SKILL|Hide,Move Silently,Survival|2|TYPE=Racial	BONUS:SKILL|Perform (Wind Instruments)|4|TYPE=Racial																	SOURCEPAGE:DaD
																																
Race Traits ~ Minion Of Set	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MinionOfSetRaceTrait																				AUTO:WEAPONPROF|Sword (Kopesh)|Longbow									
Alternate Form	CATEGORY:Special Ability	TYPE:MinionOfSetRaceTrait.Supernatural	VISIBLE:YES	DESC:A minion of set has one alternate form, that of Large Viper, Giant Crocodile, Dire Hyena, Large Monstrous Scorpion or Dire Bear animal.	KEY:Minion of Set ~ Alternate Form																											SOURCEPAGE:DaD
																																
Race Traits ~ Xag-Ya	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=XagYaRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4																		
Positive Energy Lash	CATEGORY:Special Ability	TYPE:XagYaRaceTrait.Supernatural	VISIBLE:YES	DESC:5/day Touch or Ray attack infuse target with positive energy. Undead take an additional 2d8+5 points of damage. Living creatures heal up to 2d8+5 points of damage. Xag-Ya can control its positive energy enaugh to avoid healing living foes (dealing only the base damage).	KEY:Xag-Ya ~ Positive Energy Lash																											SOURCEPAGE:DaD
Turn Undead	CATEGORY:Special Ability	TYPE:XagYaRaceTrait.Supernatural	VISIBLE:YES	DESC:By suffusing a 60-foot-radius area with positive energy, a xag-ya can make undead recoil. It turns undead as a 5th-level cleric and can do so five times per day. It cannot destroy undead.	KEY:Xag-Ya ~ Turn Undead				DEFINE:EnergonYagYaTurnLVL|0					BONUS:VAR|EnergonXagYaTurnLVL|5	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|EnergonXagYaTurnLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|VIRTUAL|Basic Turning|Turn Undead									SOURCEPAGE:DaD
