SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09																													
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Mental Immunity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All petitioners are immune to mind-influencing effects. This may be due to the mindless nature of their existence, devotion to their deities, or being surrounded by a similarly aligned plane.	KEY:Petitioner ~ Mental Immunity																		ABILITY:Special Ability|VIRTUAL|Immunity To Mind-Affecting									
Acidic Vapor	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:When a mane is slain, it discorporates into a cloud of noxious vapor. Anyone within 10 feet of a slain mane who fails a Reflex save (DC 20) takes 1d6 points of acid damage.	KEY:Petitioner ~ Abyss Acidic Vapor																											SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, manes can leave the plane they call home.	KEY:Petitioner ~ Abyss No Planar Commitment																											SOURCEPAGE:MotP
Skills	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Carceri Skills									BONUS:SKILL|Bluff|10|TYPE=Racial																		SOURCEPAGE:MotP3.5upd
Wounding	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Every time a larva deals damage, the wound automatically bleeds for 1 additional point of damage every round until a Heal check (DC 15) is made or magical healing is applied.	KEY:Petitioner ~ Hades Wounding																											SOURCEPAGE:MotP
Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Following a battle with larvae during which the larvae dealt any damage, wounded characters must make a Fortitude save (DC 17) or contract devil chills.	KEY:Petitioner ~ Hades Disease																											SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, larvae can be removed from Hades. Often, they are taken elsewhere to serve as food, barter, and basic "soulstuff" for fiendish projects, both demonic and devilish, that require such an esoteric component.	KEY:Petitioner ~ Hades No Planar Commitment																											SOURCEPAGE:MotP
Surefoot	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Petitioner ~ Gehenna Surefoot									BONUS:SKILL|Climb|10|Racial																		SOURCEPAGE:MotP
Mindless	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Lemures are immune to all mindinfluencing effects, and unless commanded, act as if feebleminded.	KEY:Petitioner ~ Baator Mindless																		ABILITY:Special Ability|VIRTUAL|Immunity To Mind-Affecting									SOURCEPAGE:MotP
No Planar Commitment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Unlike most other petitioners, lemures can leave their home plane	KEY:Petitioner ~ Baator No Planar Commitment																											SOURCEPAGE:MotP
Hearted	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All members of a renegade army within a 100-foot radius of a petitioner commander receive a +2 morale bonus on saving throws against charm and fear effects and a +1 morale bonus on attack and damage rolls.	KEY:Petitioner ~ Acheron Hearten																											SOURCEPAGE:MotP
Detect Chaos/Good	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The einheriar can detect chaos or detect good at will (as the spells cast by a 5th-level cleric).	KEY:Petitioner ~ Arcadia Detect Chaos/Good																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=5|Detect Chaos|Detect Good									SOURCEPAGE:MotP
