SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Divine Agent is proficient with all simple and martial weapons, and all armor. Furthermore, a divine agent,gains proficiency with her deity's favored weapon, if not already proficient.	KEY:Divine Agent ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy|TYPE=ShieldProf|TYPE=WeaponProfMartial|TYPE=DeityWeaponProficiency								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Granted Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Divine Agent gains access to one domain chosen from among those of her deity offers, and with it the granted power of that domain.	KEY:Divine Agent ~ Granted Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Contact	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A divine agent may be contacted mentally by her deity or its agents, usually to impart particular knowledge and orders to the divine agent. This contact only functions one way; the divine agent cannot initiate the contact, question the orders, or ask for clarifications.	KEY:Divine Agent ~ Contact																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Menacing Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A divine agent gains the ability to generate an intangible, invisible aura of menace that weakens hostile creatures within a 20-foot radius. Anyone about to attack the divine agent must attempt a Will save (DC %1). Those who fail the saving throw suffer a -2 morale penalty on attacks, checks, and saves for one full day or until they successfully damage the divine agent generating the aura.|MenacingAuraDC	KEY:Divine Agent ~ Menacing Aura				DEFINE:MenacingAuraDC|0					BONUS:VAR|MenacingAuraDC|TL	BONUS:VAR|MenacingAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Menacing Aura)								ABILITY:Ability Focus|AUTOMATIC|Menacing Aura								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Godly Gift	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The deity bestows a gift. Each deity's gift varies, but it is usually the ability to use a spell from one of the divine agent's domains as a spell-like ability.	KEY:Divine Agent ~ Godly Gift				DEFINE:GodlyGiftCount|0					BONUS:ABILITYPOOL|Godly Gift|GodlyGiftCount	BONUS:VAR|GodlyGiftCount|min(3,DivineAgentLVL/3)																SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Altered Appearance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a divine agent begins to show prominent physical modification to match the desires of her deity. All such alterations are permanent, though disguise or spells may hide them.	KEY:Divine Agent ~ Altered Appearance																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Commune	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A divine agent of 5th level or higher can activate this spell-like ability (as the spell of the same name) once per week. This spell-like ability functions as a spell cast by a cleric of a level equal to the divine agent's character level.	KEY:Divine Agent ~ Commune				DEFINE:CommuneLVL|0					BONUS:VAR|CommuneLVL|TL									SPELLS:Class|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=CommuneLVL|Commune								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Plane Shift to Deity's Plane	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A divine agent of 5th level or higher may plane shift to her deity's home plane once per day, and from that plane to the divine  agent's native plane.	KEY:Divine Agent ~ Plane Shift Deity's Plane				DEFINE:PlaneShiftDeitySPlaneLVL|0					BONUS:VAR|PlaneShiftDeitySPlaneLVL|TL									SPELLS:Class|TIMES=1|CASTERLEVEL=PlaneShiftDeitySPlaneLVL|Plane Shift ~ Deity's plane only								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Plane Shift	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Upon reaching 7th level, a divine agent may plane shift to any plane of existence, as per the spell, once per day.	KEY:Divine Agent ~ Plane Shift				DEFINE:PlaneShiftLVL|0					BONUS:VAR|PlaneShiftLVL|TL									SPELLS:Class|TIMES=1|CASTERLEVEL=PlaneShiftLVL|Plane Shift								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Audience	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Up to twice per year a divine agent of 8th level or higher may request an audience with her deity, which functions as a double-duration Commune spell allowing a number of questions equal to double the divine agent's character level.	KEY:Divine Agent ~ Audience																										SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Alignment Shift	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:If a divine agent is not the same alignment as her deity, then her alignment shifts to match it as soon as the divine agent reaches 8th level.	KEY:Divine Agent ~ Alignment Shift																		TEMPLATE:Deity's Alignment								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
Mystic Union	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 9th level, a divine agent becomes a magical creature. She is treated as an outsider of the deity's home plane rather than as a humanoid.	KEY:Divine Agent ~ Mystic Union																		TEMPLATE:Divine Agent ~ Mystic Union								SORTKEY:Class_Divine_Agent	SOURCEPAGE:MotP	
