SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01																														
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.EmancipatedSpawnClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Emancipated spawn are proficient with all simple weapons, and otherwise neither gain nor lose any weapon, armor, or shield proficiencies by gaining levels of this class.	KEY:Emancipated Spawn ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Emancipated_Spawn	SOURCEPAGE:SS	
Turn Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.EmancipatedSpawnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An emancipated spawn gains an additional +2 turn resistance at each level. This stacks with any inherent turn resistance of the undead creature.	KEY:Emancipated Spawn ~ Turn Resistance									BONUS:VAR|TurnResistance|EmancipatedSpawnLVL*2																	SORTKEY:Class_Emancipated_Spawn	SOURCEPAGE:SS	
Recall Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.EmancipatedSpawnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, an emancipated spawn remembers several aspects of her former existence. She regains all the feats she had as a living character, provided she meets their prerequisites. These remembered feats are in addition to any feats gained for advancing a level.	KEY:Emancipated Spawn ~ Recall Feats																										SORTKEY:Class_Emancipated_Spawn	SOURCEPAGE:SS	
Recall Class Features	CATEGORY:Special Ability	TYPE:ClassFeatures.EmancipatedSpawnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, an emancipated spawn remembers more of her former existence. She now can use all the class features of one former class, as a character of that former class's level. If the former class was a spellcasting class, the emancipated spawn is able to cast one spell of each level available to the character (if she was a wizard, she must still consult her spellbook, or learn from scrolls if her spellbook was lost when she became a spawn). If the character had a familiar, the empathic link between her and the familiar is reestablished.	KEY:Emancipated Spawn ~ Recall Class Features																										SORTKEY:Class_Emancipated_Spawn	SOURCEPAGE:SS	
Rediscovery	CATEGORY:Special Ability	TYPE:ClassFeatures.EmancipatedSpawnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the emancipated spawn comes fully into her heritage. She recalls all her former class features and abilities, regains her former base attack bonus, base saving throw bonuses gained from class levels, hit points, and all other class benefits, and can now advance again in any of her former classes. This applies even if a former character class does not normally allow free multiclassing, provided the character did not leave the path prior to her transformation into an undead spawn. Thus, a former paladin could continue to gain levels as a paladin (effectively multiclassing as a monster/paladin), but if she had left the path of paladinhood before her transformation, she is still ineligible to return to that class. In addition, a 3rd-level emancipated spawn receives the benefit of a sudden jump in ECL. If a character takes all three levels of the emancipated spawn prestige class, its ECL becomes the sum of its monster ECL + its three levels of emancipated spawn + the character's former class levels.	KEY:Emancipated Spawn ~ Rediscovery																										SORTKEY:Class_Emancipated_Spawn	SOURCEPAGE:SS	
Acquire Skill	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSavantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, an illithid savant can acquire one skill known by a creature whose brain he has consumed, chosen at the time of consumption. He permanently gains all of the creature's ranks in that skill (but not racial or ability score bonuses to the skill modifier) even if his new total is more ranks than the illithid savant's current character level would normally allow. This skill becomes a class skill for the illithid savant, and he may buy more ranks in the skill if the new ranks do not cause him to exceed his maximum ranks in the skill. At 4th, 6th, and 8th level, the illithid savant can acquire and use one additional skill from a brain.	KEY:Illithid Savant ~ Acquire Skill									BONUS:ABILITYPOOL|Acquire Skill|1|PREVARGTEQ:IllithidSavantLVL,1	BONUS:ABILITYPOOL|Acquire Skill|1|PREVARGTEQ:IllithidSavantLVL,4	BONUS:ABILITYPOOL|Acquire Skill|1|PREVARGTEQ:IllithidSavantLVL,6	BONUS:ABILITYPOOL|Acquire Skill|1|PREVARGTEQ:IllithidSavantLVL,8														SORTKEY:Class_Illithid_Savant	SOURCEPAGE:SS	
Lore	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSavantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, an illithid savant gains the ability to make a special lore check twice per day to recall esoteric information from the brains of those he has consumed. Just as with a bardic knowledge check (see Chapter 3 of the PHB for more on this ability and typical check DCs), the illithid savant adds his level in this prestige class and his Intelligence modifier as bonuses on any attempt to learn something unusual (%1/day, +%2 bonus).|LoreTimes|LoreBonus	KEY:Illithid Savant ~ Lore				DEFINE:LoreTimes|0	DEFINE:LoreBonus|0				BONUS:VAR|LoreTimes|2|PREVARGTEQ:IllithidSavantLVL,1	BONUS:VAR|LoreTimes|2|PREVARGTEQ:IllithidSavantLVL,2	BONUS:VAR|LoreTimes|2|PREVARGTEQ:IllithidSavantLVL,5	BONUS:VAR|LoreTimes|2|PREVARGTEQ:IllithidSavantLVL,9	BONUS:VAR|LoreBonus|INT|TYPE=Base													SORTKEY:Class_Illithid_Savant	SOURCEPAGE:SS	ASPECT:Ability Benefit|+%1|LoreBonus
Acquire Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSavantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, an illithid savant permanently acquires one of the feats of a consumed creature, provided he meets that feat's prerequisites. At 4th, 6th, and 8th level, the illithid savant can acquire and use one additional feat from a consumed brain.	KEY:Illithid Savant ~ Acquire Feat									BONUS:ABILITYPOOL|Acquire Feat|1|PREVARGTEQ:IllithidSavantLVL,2	BONUS:ABILITYPOOL|Acquire Feat|1|PREVARGTEQ:IllithidSavantLVL,4	BONUS:ABILITYPOOL|Acquire Feat|1|PREVARGTEQ:IllithidSavantLVL,6	BONUS:ABILITYPOOL|Acquire Feat|1|PREVARGTEQ:IllithidSavantLVL,8														SORTKEY:Class_Illithid_Savant	SOURCEPAGE:SS	
Acquire Class Feature	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSavantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, an illithid savant permanently gains one class feature of a consumed brain's owner, as a character of that creature's level in that class. If the former character was a spellcaster, the illithid savant is able to cast one spell of each level available to the character (if the victim was a wizard, the mind flayer must still consult a spellbook or learn from scrolls), as well as any bonus spells provideded by the illithid savant's ability scores. If the illithid savant already has spellcasting levels, these spells are in addition to those granted by the illithid savant's spellcasting class levels. At 7th level and again at 10th level, the illithid savant can gain another class feature from a consumed brain.	KEY:Illithid Savant ~ Acquire Class Feature									BONUS:ABILITYPOOL|Acquire Class Feature|1|PREVARGTEQ:IllithidSavantLVL,3	BONUS:ABILITYPOOL|Acquire Class Feature|1|PREVARGTEQ:IllithidSavantLVL,7	BONUS:ABILITYPOOL|Acquire Class Feature|1|PREVARGTEQ:IllithidSavantLVL,10															SORTKEY:Class_Illithid_Savant	SOURCEPAGE:SS	
Acquire Special Attack or Special Quality	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSavantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the illithid savant permanently gains one special attack or special quality of a consumed brain's owner. The chosen ability must not rely on a physical feature of the consumed creature, such as a gaze attack, a breath weapon, flight, or a natural attack with an appendage not possessed by the mind flayer. If the ability allows a saving throw, the illithid savant uses his own ability score modifier to determine the DC. At 9th level, the illithid savant can gain another special attack or special quality from a consumed brain.	KEY:Illithid Savant ~ Acquire Special Attack or Special Quality									BONUS:ABILITYPOOL|Acquire Special Attack or Special Quality|1|PREVARGTEQ:IllithidSavantLVL,5	BONUS:ABILITYPOOL|Acquire Special Attack or Special Quality|1|PREVARGTEQ:IllithidSavantLVL,9																SORTKEY:Class_Illithid_Savant	SOURCEPAGE:SS	
