SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																		
# Equipment Name	Output Name	Type	Cost	Weight		Source Page	Special Property											
# Rings																		
Ring of Growth		TYPE:Magic.Ring	COST:18000	WT:0	SOURCEPAGE:SS		SPELLS:Ring of Growth|TIMES=1|CASTERLEVEL=9|Enlarge Person											
Ring of Shrinking		TYPE:Magic.Ring	COST:3600	WT:0	SOURCEPAGE:SS		SPELLS:Ring of Shrinking|TIMES=1|CASTERLEVEL=9|Reduce Person											
Ring of Wordtwisting		TYPE:Magic.Ring	COST:23508	WT:0	SOURCEPAGE:SS		SPROP:Constant Tongues spell (5th level wizard).|PRERACE:1,RACESUBTYPE=Orc	BONUS:SKILL|Bluff,Diplomacy,Sense Motive|2|TYPE=Insight	BONUS:SKILL|Bluff,Diplomacy,Intimidate,Sense Motive|4|TYPE=Insight|PRERACE:1,RACESUBTYPE=Orc									
																		
# Staff																		
Staff (Glutton)	OUTPUTNAME:Staff of the [NAME]	PROFICIENCY:WEAPON|Quarterstaff	TYPE:Magic.Staff.Weapon.Melee.TwoHanded.Simple.Double.Standard.Bludgeoning.Quarterstaff	COST:58200	WT:5	SOURCEPAGE:SS	BASEITEM:Staff	EQMOD:CHARGED_ITEM_50|CHARGES[50].WOOD.PLUS2W.EQ_COST_ADJ|16300	ALTEQMOD:WOOD.PLUS2W.EQ_COST_ADJ|16300	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	ALTDAMAGE:1d6	ALTCRITRANGE:1	ALTCRITMULT:x2	WIELD:TwoHanded	SIZE:M	SPROP:Bite extra 1d8 on critical hit. Acid Fog (2 charges), Summon Swarm (1 charge).
Staff (Lich)	OUTPUTNAME:Staff of the [NAME]	PROFICIENCY:WEAPON|Quarterstaff	TYPE:Magic.Staff.Weapon.Melee.TwoHanded.Simple.Double.Standard.Bludgeoning.Quarterstaff	COST:78950	WT:5	SOURCEPAGE:SS	BASEITEM:Staff	EQMOD:CHARGED_ITEM_50|CHARGES[50].WOOD.PLUS2W.UNHLY_M.EQ_COST_ADJ|32300	ALTEQMOD:WOOD.PLUS1W.UNHLY_M.EQ_COST_ADJ|18300	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2	ALTDAMAGE:1d6	ALTCRITRANGE:1	ALTCRITMULT:x2	WIELD:TwoHanded	SIZE:M	SPROP:Negative Energy Wave (2 charges), Negative Energy Burst (2 charges), Negative energy Ray (1 charge).
																		
# Wondrous																		
###TODO:Arms of the Naga HANDS:2																		
Arms of the Naga		TYPE:Magic.Wondrous.Resizeable	COST:56000	WT:8		SOURCEPAGE:SS												
Babbling Wheel		TYPE:Magic.Wondrous	COST:2000			SOURCEPAGE:SS			SPROP:Will DC 11 or Hypnotism spell for 2d4 rounds.									
Circlet of Rest		TYPE:Magic.Wondrous.Headgear	COST:12500			SOURCEPAGE:SS			SPROP:+10 resistance bonus against Nightmare, Dream and Dream Casting.	ABILITY:Special Ability|AUTOMATIC|Immunity To Dream Effects								
Cloak of Charms		TYPE:Magic.Wondrous.Cape	COST:54000	WT:1		SOURCEPAGE:SS			SPELLS:Cloak of Charms|TIMES=1|CASTERLEVEL=15|Charm Animal,11|Charm Person,11|Command Plants,14									
