SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																												
# BASICS																																												
# Feat Name		Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
#Ability Focus																																												
Area Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,STR=19						PRESIZEGTEQ:H			DESC:You can wield improvised weapons to attack several spaces at once.																	SOURCEPAGE:SS		
Assume Supernatural Ability	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:Ability to assume a new form magically.				DESC:You learn to use a supernatural ability of an assumed form.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Blowhard	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,CON=20					PRESIZEGTEQ:H				DESC:You can blow targets over with your breath.																	SOURCEPAGE:SS		
Bonus Breath	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Extend Spell,Extend Spell Like Ability													PREABILITY:1,CATEGORY=Special Ability,Breath Weapon	PRETEXT:Breath weapon with limited uses per day				DESC:You can use your breath weapon one more time per day than you normally could.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Controlled Respiration	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance														PRETEXT:Time limit on how long you can remain out of the water				DESC:You can stay out of water longer than you otherwise could.																	SOURCEPAGE:SS		
Crush	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PRESIZEGTEQ:H				DESC:Like a dragon, you can hurl your body onto opponents to deal tremendous damage																	SOURCEPAGE:SS		
Cumbrous Dodge	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dodge						PRESKILL:1,Tumble=4												DESC:You have a chance to dodge attacks that hits you, but a cost																	SOURCEPAGE:SS		
Cumbrous Fortitude	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Great Fortitude																		DESC:You have a greater chance than normal to resist attacks against your vitality, but a cost																	SOURCEPAGE:SS		
Cumbrous Reflexes	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Lightning Reflexes																		DESC:You have a greater chance than normal to resist attacks against your agility, but a cost																	SOURCEPAGE:SS		
Cumbrous Will	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Iron Will																		DESC:You have a greater chance than normal to resist attacks against your willpower, but a cost																	SOURCEPAGE:SS		
Deadly Poison	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Virulent Poison									PRESTAT:1,CON=19				PRETEXT:the poison must deal ability damage as a secondary damage.	PREABILITY:1,CATEGORY=Special Ability,Poison				DESC:Your poison attack deals more damage than normal																	SOURCEPAGE:SS		
Deep Denizen	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Underground as sole terrain type.				DESC:You are adapted to a subterran environment													BONUS:SKILL|Listen|2|TYPE=Competence				SOURCEPAGE:SS	BONUS:SITUATION|Survival=Track by scent|4|TYPE=Competence	
Desert Dweller	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Desert terrain type.				DESC:You are adapted to a desert environment																	SOURCEPAGE:SS		
Detach	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=19					PREABILITY:1,CATEGORY=Special Ability,Regeneration				DESC:You can remove part of your body and use it as a ranged weapon																	SOURCEPAGE:SS		
Dust Cloud	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Reflexes									PRESTAT:2,DEX=19,INT=19				PRETEXT:Wings or tail.	PRESIZEGTEQ:H				DESC:You can sweep dust into the air to hide from opponents																	SOURCEPAGE:SS		
#Empower Spell Like Ability																																												
Extend Reach	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Nonrigid body or nonrigid attack form such as a tentacle, feeler or pseudopod.	PRESIZEGTEQ:S				DESC:Your flexible body allows you to reach farther than normal	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[TYPE=Natural]														SOURCEPAGE:SS	SELECT:1	
Extra Item Space	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES								PREMULT:1,[PREHANDSGT:2],[PRELEGSGT:2]														DESC:You can wear more magic items than are normally allowed	STACK:YES	MULT:YES	CHOOSE:STRING|BOOT|BRACER|EYEGEAR|GLOVE|HANDS|HEADGEAR|LEGS|RING														SOURCEPAGE:SS	SELECT:1	BONUS:SLOTS|LIST|1
Final Strike	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Acid,RACESUBTYPE=Air,RACESUBTYPE=Cold,RACESUBTYPE=Earth,RACESUBTYPE=Electricity,RACESUBTYPE=Fire,RACESUBTYPE=Water				DESC:Your death throes are destructive.																	SOURCEPAGE:SS		
Fling Enemy	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=23				PREABILITY:1,CATEGORY=Special Ability,Improved Grab	PRESIZEGTEQ:H				DESC:You can pick up an opponent and fling it																	SOURCEPAGE:SS		
Gape of the Serpent	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Swallow Whole				DESC:You can swallow a creaure of up to your own size category																	SOURCEPAGE:SS		
Grass Trekker	CATEGORY:FEAT	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Plains terrain type.				DESC:You are adapted to a plains environment													BONUS:SKILL|Jump|2|TYPE=Competence				SOURCEPAGE:SS		
Great Flyby Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Flyby Attack														PREMOVE:1,Fly=1				DESC:You can make multiple flyby attacks in a round																	SOURCEPAGE:SS		
Greater Multigrab	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Multigrab									PRESTAT:2,STR=19,DEX=15					PREABILITY:1,CATEGORY=Special Ability,Improved Grab				DESC:You can grapple enemies effortlessly with your natural weapons																	SOURCEPAGE:SS		
#Greater Multiweapon Fighting																																												
Greater Mighty Roar	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Mighty Roar													PRERACE:1,TYPE=Animal,TYPE=Magical Beast	PRESIZEGTEQ:L				DESC:You unsettle opponents with a dreadful roar as you attack																	SOURCEPAGE:SS		
Improved Assume Supernatural Ability	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Assume Supernatural Ability									PRESTAT:1,WIS=17					PRETEXT:Ability to assume a new form magically				DESC:You gain skill with using a supernatural ability of an assumed form	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
#Improved Flyby Attack																																												
#Improved Multiattack																																												
Improved Multiweapon Fighting	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PREATT:9		PREABILITY:2,CATEGORY=FEAT,Multidexterity,Multyweapon Fighting				PREHANDSGTEQ:3					PRESTAT:1,DEX=15									DESC:You are expert at fighting with a weapon in each of your three or more hands. You can make up to two attacks per round with each off-hand weapon.									BONUS:COMBAT|SECONDARYATTACKS|1								SOURCEPAGE:SS		
