SOURCELONG:Gozzilioni Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																										
###Block: Spells																										
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Air Breathing			TYPE:Divine.Arcane	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched		DURATION:2 hours/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subjects can breathe air freely.	SOURCEPAGE:SS								
Awaken Construct			TYPE:Divine.Arcane	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M, XP	CASTTIME:8 hours	RANGE:Touch	TARGETAREA:One construct		DURATION:Instantaneous	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Construct gains human intellect.	SOURCEPAGE:SS			XPCOST:5000					
Awaken Undead			TYPE:Divine.Arcane	CLASSES:Cleric=6|Sorcerer,Wizard=7		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All mindless undead within a circle 25-ft radius plus 5-ft/2 levels		DURATION:Permanent	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Mindless undead creatures gain Int.	SOURCEPAGE:SS			XPCOST:200					
Blindsight			TYPE:Divine.Arcane	CLASSES:Cleric=3|Druid=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains blindsight 30-ft for 1 min/level.	SOURCEPAGE:SS								
Blindsight (Improved)	OUTPUTNAME:Blindsight, Improved		TYPE:Divine.Arcane	CLASSES:Cleric=5|Druid=4|Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject gains blindsight 60-ft for 1 min/level.	SOURCEPAGE:SS								
Blood Wind			TYPE:Divine.Arcane	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A single creature with intelligence of 4 or higher		DURATION:1 round/level	SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Subject uses natural weapon as thrown weapon.	SOURCEPAGE:SS								
Bridge of Sound			TYPE:Divine.Arcane	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Sonic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bridge of sound 5-ft wide, 1-in thick and up to 10-ft/level long		DURATION:Concentration plus 1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Invisible bridge spans gap of 10 ft/level.	SOURCEPAGE:SS								
Buoyant Lifting			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Evocation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing swimming or floating creature or object		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Water lifts creature 20-ft above surface.	SOURCEPAGE:SS								
Cacophonic Burst			TYPE:Arcane	CLASSES:Bard=5|Sorcerer,Wizard=5		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft radius burst		DURATION:Instantaneous	SAVEINFO:Reflex Half	SPELLRES:Yes	DESC:Noise deals 1d6/level sonic damage to all within area.	SOURCEPAGE:SS								
Camouflage			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+10 circumstance bonus on Hide checks.	SOURCEPAGE:SS								
