SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An anointed knight is proficient with all simple and martial weapons, all types of armor, and shields.	KEY:Anointed Knight ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Anoint self	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An anointed knight concocts a magic oil with which to anoint herself, at a cost of 100 gp (for alchemical components). She can make only one dose of the oil each time this class feature is gained (at 1st, 4th, 7th, and 10th level). Creating the oil takes 1 hour. Applying the oil is a ceremony that takes 8 hours. Once the oil is applied, the anointed knight permanently gains a new supernatural ability chosen from the accompanying list. Her level plus Charisma modifier determines the choices available to her (the highest- umbered choice possible, or any lower one). An anointed knight cannot choose an ability more than once, nor can she replace one ability with another once the choice is made.	KEY:Anointed Knight ~ Anoint Self				DEFINE:AnointSelfLVL|0					BONUS:ABILITYPOOL|Anoint Self|(AnointedKnightLCL+2)/3	BONUS:VAR|AnointSelfLVL|AnointedKnightLVL+CHA																SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Holy Sight	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight gains the Alertness feat.	KEY:Anointed Knight ~ Anoint Self ~ Holy Sight																		ABILITY:FEAT|AUTOMATIC|Alertness								SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Celestial Strategy	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight gains the Combat Reflexes feat.	KEY:Anointed Knight ~ Anoint Self ~ Celestial Strategy			PREVARGTEQ:AnointSelfLVL,3															ABILITY:FEAT|AUTOMATIC|Combat Reflexes								SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Unbroke Flesh	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight gains damage reduction 3/-.	KEY:Anointed Knight ~ Anoint Self ~ Unbroken Flesh			PREVARGTEQ:AnointSelfLVL,5															DR:3/-								SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Divine Clarity (Int)	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight's Intelligence, Wisdom, or Charisma score improves by 1.	KEY:Anointed Knight ~ Anoint Self ~ Divine Clarity ~ Int			PREVARGTEQ:AnointSelfLVL,7						BONUS:STAT|INT|1																	SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Divine Clarity (Wis)	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight's Intelligence, Wisdom, or Charisma score improves by 1.	KEY:Anointed Knight ~ Anoint Self ~ Divine Clarity ~ Wis			PREVARGTEQ:AnointSelfLVL,7						BONUS:STAT|WIS|1																	SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Divine Clarity (Cha)	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The knight's Intelligence, Wisdom, or Charisma score improves by 1.	KEY:Anointed Knight ~ Anoint Self ~ Divine Clarity ~ Cha			PREVARGTEQ:AnointSelfLVL,7						BONUS:STAT|CHA|1																	SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Call to Battle	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Three times per day, the knight gains an extra +3 bonus on her attack roll when charging.	KEY:Anointed Knight ~ Anoint Self ~ Call to Battle			PREVARGTEQ:AnointSelfLVL,9																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Deep Strike	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Three times per day, on a successful attack, the knight deals an extra 2d6 points of damage.	KEY:Anointed Knight ~ Anoint Self ~ Deep Strike			PREVARGTEQ:AnointSelfLVL,10																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Inspired Strike	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointSelf.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Three times per day, the knight can take a single extra attack at her highest attack bonus as a free action.	KEY:Anointed Knight ~ Anoint Self ~ Inspired Strike			PREVARGTEQ:AnointSelfLVL,11																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Anoint Ancestral Weapon	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An anointed knight concocts a magic oil with which to coat her ancestral weapon, at a cost of 100 gp (for alchemical components). She can make only one dose of the oil each time this class feature is gained (at 2nd, 5th, and 8th level). If the oil is applied to a weapon other than the anointed knight's ancestral weapon, nothing happens and the oil is wasted. Creating the oil takes 1 hour. Applying the oil is a ceremony that takes 8 hours. Once the oil is applied, the ancestral weapon permanently gains a new supernatural ability chosen from the accompanying list. The knight's level plus Charisma modifier determines the choices available to her (the highest-numbered choice possible, or any lower one). An anointed knight cannot choose an ability more than once, nor can she replace one ability with another once the choice is made.	KEY:Anointed Knight ~ Anoint Ancestral Weapon				DEFINE:AnointAncestralWeaponLVL|0					BONUS:ABILITYPOOL|Anoint Ancestral Weapon|(AnointedKnightLCL+1)/3	BONUS:VAR|AnointAncestralWeaponLVL|AnointedKnightLVL+CHA																SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Good Weapon	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointAncestralWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The ancestral weapon deals 1d6 points of damage per round to any evil creature that holds or wields it. The weapon also becomes a good-aligned weapon.	KEY:Anointed Knight ~ Anoint Ancestral Weapon ~ Good Weapon																										SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Sunder Resistance	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointAncestralWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The ancestral weapon gains 10 points of hardness.	KEY:Anointed Knight ~ Anoint Ancestral Weapon ~ Sunder Resistance			PREVARGTEQ:AnointAncestralWeaponLVL,4																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Unicorn Blood	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointAncestralWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any evil creature wounded by the weapon must make a DC 17 Fortitude save or suffer the weakening effects of unicorn blood.	KEY:Anointed Knight ~ Anoint Ancestral Weapon ~ Unicorn Blood			PREVARGTEQ:AnointAncestralWeaponLVL,7																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Impervious	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointAncestralWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The ancestral weapon gains an extra 50 hp.	KEY:Anointed Knight ~ Anoint Ancestral Weapon ~ Impervious			PREVARGTEQ:AnointAncestralWeaponLVL,9																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Sentience	CATEGORY:Special Ability	TYPE:AnointedKnightClassFeatures.AnointAncestralWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The ancestral weapon becomes an intelligent item, with the same alignment as the knight.	KEY:Anointed Knight ~ Anoint Ancestral Weapon ~ Sentience			PREVARGTEQ:AnointAncestralWeaponLVL,10																							SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, and again at 6th and 9th level, the anointed knight gains a bonus feat. This feat must be drawn from the following feats, and the knight must meet all the prerequisites for it.	KEY:Anointed Knight ~ Bonus Feat									BONUS:ABILITYPOOL|Anointed Knight Feat|AnointedKnightLVL/3																	SORTKEY:Class_Anointed_Knight	SOURCEPAGE:BoED	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Apostles of peace gain no proficiency with any weapon or armor. As part of their sacred vows, apostles of peace forswear the use of armor, though they may wear magic items that protect them (such as a ring of protection or bracers of armor). An apostle of peace who wears any armor is unable to cast apostle of peace spells or use any of his supernatural class abilities while doing so and for 24 hours thereafter.	KEY:Apostole of Peace ~ Weapon and Armor Proficiency																										SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:BoED	
