SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Deathless Type Traits|PRERACE:1,RACETYPE=Deathless																																
CATEGORY=Internal|Creature Type.MOD	ABILITY:Special Ability|AUTOMATIC|Traits Output ~ Deathless|PREMULT:2,[PREVAREQ:NoTypeTraits,0],[PRERACE:1,RACETYPE=Deathless]																																
																																	
Deathless Type Traits	CATEGORY:Special Ability	TYPE:TraitAbility	VISIBLE:YES						DEFINESTAT:NONSTAT|CON					BONUS:VAR|DarkvisionRange|60|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity to Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Critical Hits|Immunity To Nonlethal Damage|Immunity To Ability Drain|Immunity To Fatigue|Immunity To Exhaustion|Immunity To Strength Damage|Immunity To Dexterity Damage|Immunity To Constitution Damage									SOURCEPAGE:BoED	
Deathless Traits	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Deathless do not eat/sleep/breathe.	KEY:Traits Output ~ Deathless																											SOURCEPAGE:BoED	
																																	
Race Traits ~ Dragon Cloud	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DragonCloudRaceTrait											BONUS:VAR|Maneuverability|3|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Flyby Attack|Improved Critical (Bite)|Improved Initiative										
Breath Weapon	CATEGORY:Special Ability	TYPE:DragonCloudRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-foot line, once every 1d4 rounds, damage %2d%3 electricity, Reflex DC %4 half. The save DC is Constitution-based.|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Dragon Cloud ~ Breath Weapon				DEFINE:BreathWeaponLine|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponLine|100	BONUS:VAR|BreathWeaponDice|10	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:BoED	
																																	
Race Traits ~ Archon (Owl)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArchonOwlRaceTrait	AUTO:LANG|Sylvan										BONUS:VAR|Maneuverability|4|TYPE=Base																			
Natural Weapons	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:An owl archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction. Its claws and beak are also treated as silvered weapons for purposes of overcoming damage reduction.	KEY:Archon (Owl) ~ Natural Weapons																											SOURCEPAGE:BoED	
Eye Rays	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Six times per day, an owl archon canshoot twin beams of silvery light from its eyes, striking an opponent within 120 feet. The owl archon must succeed on a ranged touch attack to hit, and any creature struck by the eye rays must make a DC 20 Fortitude save or be turned to stone. This ability's save DC is Constitutionbased.|EyeRaysDC	KEY:Archon (Owl) ~ Eye Rays				DEFINE:EyeRaysDC|0					BONUS:VAR|EyeRaysDC|DefaultDCCon	BONUS:VAR|EyeRaysDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Eye Rays)								ABILITY:Ability Focus|AUTOMATIC|Eye Rays									SOURCEPAGE:BoED	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Freedom of Movement always active.	KEY:Archon (Owl) ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Calm Animals,11+CHA|Charm Animal,11+CHA|Dispel Magic|Faerie Fire|Speak with Animals	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Dismissal,14+CHA|Find the Path,16+CHA|Dispel Magic (Greater)|Neutralize Poison,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Divine Power|Reincarnate							SOURCEPAGE:BoED	
Swoop	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The owl archon can execute a swoop attack that is similar to a charge action in all respects, except as noted here. The owl archon must fly toward its target for a minimum of 40 feet in a straight line. If the swoop attack succeeds, the owl archon can attempt to grapple the target without provoking an attack of opportunity or deal double claw damage (2d8+8 points) Instead.	KEY:Archon (Owl) ~ Swoop																											SOURCEPAGE:BoED	
Aura of Menace	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Will DC %1|AuraOfMenaceDC	KEY:Archon (Owl) ~ Aura of Menace																											SOURCEPAGE:BoED	
Stone to Flesh	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An owl archon can use stone to flesh at will, as the spell (Fortitude DC 18 negates). When cast on a creature turned to stone by the archon's own eye rays (see above), the spell does not require the target to make a Fortitude save to survive the transformation. Caster level 12th.	KEY:Archon (Owl) ~ Stone to Flesh																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Stone to Flesh									SOURCEPAGE:BoED	
Skills	CATEGORY:Special Ability	TYPE:ArchonOwlRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An owl archon's keen vision gives it a +4 racial bonus on Spot checks. *In areas of shadowy illumination, the bonus increases to +8.	KEY:Archon (Owl) ~ Skills									BONUS:SKILL|Spot|4|TYPE=Racial	BONUS:SITUATION|Spot=Shadowy illumination area|8|TYPE=Racial																	SOURCEPAGE:BoED	
																																	
Race Traits ~ Archon (Sword)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArchonSwordRaceTrait	AUTO:LANG|Celestial|Infernal										BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:VAR|ArchonStandardLanguages|1|TYPE=Base																		
Natural Weapons	CATEGORY:Special Ability	TYPE:ArchonSwordRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A sword archon's natural weapons, as well as any weapons it wields, are treated as having the good and lawful alignments for the purpose of overcoming damage reduction.	KEY:Archon (Sword) ~ Natural Weapons																											SOURCEPAGE:BoED	
