SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																													
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#Aleax Template																																
Searing Light	CATEGORY:Special Ability	TYPE:AleaxRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per round, as a standard action, an aleax may fire rays of light from its eyes. The rays duplicate the effect of a searing light spell (caster level equals the aleax's Hit Dice).	KEY:Aleax ~ Searing Light																											SOURCEPAGE:BoED
Shapechange	CATEGORY:Special Ability	TYPE:AleaxRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An aleax can shapechange at will, as the spell. An aleax typically has one or two favored alternate forms reflective of the deity it serves. (For example, Bahamut's aleax has been known to take the form of a gold dragon.) The aleax retains its extraordinary and spell-like abilities regardless of the new form. Caster level 20th.	KEY:Aleax ~ Shapechange																											SOURCEPAGE:BoED
Sudden Death	CATEGORY:Special Ability	TYPE:AleaxRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If the aleax kills its intended victim, the victim's spirit is instantly transported to the aleax's deity, who gives the fallen character one last chance to barter for its life. The deity can demand a service, a sworn oath, a magic item or other precious item, or some similar sacrifice. If the character does not pay, his spirit is destroyed, and the character cannot be returned to life by any means. If the intended victim destroys the aleax in battle, the aleax and all of its equipment vanishes. However, some portion of the divine essence infusing the aleax merges with the character, who immediately gains the following benefits: a +2 bonus to Wisdom, a +1 insight bonus on all initiative checks, a +2 perfection bonus to AC, and spell resistance equal to the aleax's Hit Dice. The deity's wrath is annulled, and no more attacks will be made against that character for whatever offense begot the aleax (regardless of whether that character is now acting in an appropriate manner).	KEY:Aleax ~ Sudden Death																											SOURCEPAGE:BoED
Singular Enemy	CATEGORY:Special Ability	TYPE:AleaxRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although the aleax is visible to all, only its intended victim can harm it. Attacks made by other creatures are rebuffed, dealing no damage and hindering the aleax in no way.	KEY:Aleax ~ Singular Enemy																											SOURCEPAGE:BoED
True Seeing	CATEGORY:Special Ability	TYPE:AleaxRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An aleax can use true seeing at will, as a free action. Caster level 20th.	KEY:Aleax ~ True Seeing																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|True Seeing									SOURCEPAGE:BoED
																																
#Sacred Watcher Template																																
Manifestation	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Every sacred watcher has this ability. A sacred watcher dwells on the Ethereal Plane and as an ethereal creature, it cannot affect or be affected by anything in the material world. When a sacred watcher manifests it partly enters the Material plane and becomes visible but incorporeal on the Material plane. The manifested sacred watcher can be harmed only by other incorporeal creatures, +1 or better magic weapons or magic, with a 50%% chance to ignore any damage from a corporeal source. The manifested sacred watcher can pass through solid objects at will, and its own attacks pass through armor. The manifested sacred watcher can always move silently.	KEY:Sacred Watcher ~ Manifestation																											SOURCEPAGE:BoED
Positive Energy Touch	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A sacred watcher can make a hit with an incorporeal touch attack to infuse a target with positive energy. Undead foes (even incorporeal ones) take an additional 2d8+5 points of damage. The sacred watcher can channel this positive energy into living creatures as well, healing up to 2d8+5 points of damage. The sacred watcher can control its positive energy enough to avoid healing living foes (dealing only the base damage). This power can be used up to five times per day.	KEY:Sacred Watcher ~ Corrupting Touch																											SOURCEPAGE:BoED
Rejuvenation	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:In most cases, it's difficult to destroy a sacred watcher through simple combat: The "destroyed" spirit often restores itself in 2d4 days. Even the most powerful spells are often only temporary solutions. A sacred watcher that would otherwise be destroyed returns to its mission with a successful level check (1d20 + sacred watcher's level or HD) against DC 16. As a rule, the only way to conclusively end a sacred watcher's existence is to ensure it fulfills the purpose that sustains it.	KEY:Sacred Watcher ~ Rejuvenation																											SOURCEPAGE:BoED
Turn Resistance	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A sacred watcher has +4 turn resistance.	KEY:Sacred Watcher ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|4																		SOURCEPAGE:BoED
Ward	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A sacred watcher is constantly aware of her ward's precise location and status: whether he is unharmed, wounded, disabled, staggered, unconscious, dying, dead, and so on. She can move instantly to her ward's location as though using greater teleport, except that this ability allows her to cross planar boundaries. She can only transport herself and up to 50 pounds of ethereal objects. She can also scry on her ward at will (as though she had cast scrying), with no saving throw allowed and success guaranteed.	KEY:Sacred Watcher ~ Ward																											SOURCEPAGE:BoED
Skills	CATEGORY:Special Ability	TYPE:SacredWatcherRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Sacred watchers receive a +8 racial bonus on Hide, Listen, Search, and Spot checks. Otherwise same as the base creature.	KEY:Sacred Watcher ~ Skills									BONUS:SKILL|Hide,Listen,Search,Spot|8|TYPE=Racial																		SOURCEPAGE:BoED
																																
#Saint Template																																
Holy Power	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The save DCs of any and all of the saint's special attacks, including spells as well as spell-like, supernatural, and extraordinary abilities, increase by +2.	KEY:Saint ~ Holy Power																											SOURCEPAGE:BoED
Holy Touch	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A saint's entire being is suffused with holy power, which likewise flows into any weapon the saint wields. A saint's melee attacks with any weapon (or unarmed) deal an additional 1d6 points of holy damage against evil creatures, and 1d8 points against evil undead and evil outsiders. Any evil creature that strikes a saint with a natural weapon takes holy damage as if hit by the saint's attack.	KEY:Saint ~ Holy Touch																											SOURCEPAGE:BoED
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Saint ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Guidance|Resistance|Virtue|Bless									SOURCEPAGE:BoED
Damage Reduction	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Saints gain damage reduction according to their Hit Dice (including character level).	KEY:Saint ~ Damage Reduction																											SOURCEPAGE:BoED
Immunities	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A saint is immune to acid, cold, electricity, and petrification attacks.	KEY:Saint ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Acid|Immunity to Cold|Immunity to Electricity|Immunity to Petrification									SOURCEPAGE:BoED
Keen Vision	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Saints have low-light vision and 60-foot darkvision.	KEY:Saint ~ Keen Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SOURCEPAGE:BoED
Protective Aura	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a free action, a saint can surround herself with a nimbus of light having a radius of 20 feet. This acts as a double-strength magic circle against evil and as a lesser globe of invulnerability, both as cast by a cleric whose level equal to the saint's Hit Dice.	KEY:Saint ~ Protective Aura									BONUS:VAR|HasLowLightVision|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SOURCEPAGE:BoED
Resistances	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Saints have resistance to fire 10 and receive a +4 racial bonus on Fortitude saves against poison.	KEY:Saint ~ Resistancies									BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Resistance to Fire|Resistance to Poison									SOURCEPAGE:BoED
Tongues	CATEGORY:Special Ability	TYPE:SaintRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A saint can speak with any creature that has a language, as though using a tongues spell cast by a 14th-level cleric. This ability is always active.	KEY:Saint ~ Tongues																											SOURCEPAGE:BoED
																																
#Saint Template																																
Sanctified Traits	CATEGORY:Special Ability	TYPE:SanctifiedRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The sanctified creature loses all of its preexisting supernatural and spell-like abilities, but retains its extraordinary abilities.&nl;The sanctified creature loses all of its preexisting supernatural and spell-like abilities, but retains its extraordinary abilities.&nl;If the base creature has damage reduction that can be bypassed with good weapons, the sanctified creature's damage reduction changes so that evil weapons bypass it instead.	KEY:Sanctified ~ Traits																											SOURCEPAGE:BoED
Natural Weapons	CATEGORY:Special Ability	TYPE:SanctifiedRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A sanctified creature's natural weapons, and any weapons it wields, are considered good weapons for purpose of overcoming damage reduction.	KEY:Sanctified ~ Natural Weapons																											SOURCEPAGE:BoED
Light Ray	CATEGORY:Special Ability	TYPE:SanctifiedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per round, as a standard action, the sanctified creature can fire a ray of light from its eyes or hand. The ray is treated as a ranged touch attack and has a maximum range of 60 feet. Against evil creatures, the ray deals 1d6 points of damage per 2 HD of the sanctified creature (maximum 10d6). The light has no harmful effect on nonevil creatures.	KEY:Sanctified ~ Light Ray																											SOURCEPAGE:BoED
