SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																															
																																		
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Dragon Cloud			STARTFEATS:1	SIZE:H	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar|Good	MONSTERCLASS:Elemental:21	MOVE:Fly,150	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dragon Cloud	DR:10/Magic		BONUS:STAT|STR|14	BONUS:STAT|DEX|12	BONUS:STAT|CON|8	BONUS:STAT|INT|-4			MONCSKILL:Listen|Spot		KIT:1|TN			LEGS:0	HANDS:2	SOURCEPAGE:BoED, p. 97	KIT:1|Dragon Cloud Stats
Archon (Owl)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	MONSTERCLASS:Outsider:10	MOVE:Walk,30,Fly,90	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Owl)	DR:10/Evil	SR:25	BONUS:STAT|STR|6	BONUS:STAT|DEX|10	BONUS:STAT|CON|8	BONUS:STAT|INT|6	BONUS:STAT|WIS|14	BONUS:STAT|CHA|4	MONCSKILL:Concentration|Diplomacy|Escape Artist|Heal|Hide|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival|Use Rope	CR:11	KIT:1|LG	HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:8	LEGS:2	HANDS:0	SOURCEPAGE:BoED	KIT:1|Archon (Owl) Stats
Archon (Sword)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	MONSTERCLASS:Outsider:11	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Armblade,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Sword)	DR:10/Evil	SR:26	BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Balance|Concentration|Decipher Script|Diplomacy|Disguise|Gather Information|Hide|Knowledge (Religion)|Knowledge (The Planes)|Search|Sense Motive|Survival	CR:11	KIT:1|LG	HITDICEADVANCEMENT:21,33	LEVELADJUSTMENT:9	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Archon (Sword) Stats
Archon (Throne)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	MONSTERCLASS:Outsider:14	MOVE:Walk,40	BONUS:COMBAT|AC|12|TYPE=NaturalArmor					FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Throne)	DR:10/Evil	SR:30	BONUS:STAT|STR|12	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12	MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (History)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spellcraft|Spot|Survival	CR:15	KIT:1|LG	HITDICEADVANCEMENT:29,42	LEVELADJUSTMENT:10	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Archon (Throne) Stats
Archon (Warden)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Archon|Extraplanar|Good|Lawful	MONSTERCLASS:Outsider:8	MOVE:Walk,40	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Archon (Warden)	DR:10/Evil	SR:25	BONUS:STAT|STR|16		BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Climb|Concentration|Diplomacy|Jump|Knowledge (Religion)|Knowledge (The Planes)|Listen|Search|Sense Motive|Spot|Survival|Swim|Tumble	CR:8	KIT:1|LG	HITDICEADVANCEMENT:18,24	LEVELADJUSTMENT:7	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Archon (Warden) Stats
Asura			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Extraplanar|Good	MONSTERCLASS:Outsider:8	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Asura	DR:5/Cold Iron or Evil	SR:19	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Concentration|Diplomacy|Escape Artist|Intimidate|Knowledge (The Planes)|Listen|Sense Motive|Spot|Survival|Use Rope	CR:8	KIT:1|CG	HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:6	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Asura Stats
Crypt Warden			STARTFEATS:1	SIZE:M	TYPE:Deathless	RACETYPE:Deathless		MONSTERCLASS:Deathless:9	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Crypt Warden	DR:5/Bludgeoning	SR:19	BONUS:STAT|STR|4	BONUS:STAT|DEX|2		BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6	MONCSKILL:Climb|Diplomacy|Intimidate|Jump|Knowledge (Religion)|Sense Motive|Tumble	CR:8	KIT:1|LG	HITDICEADVANCEMENT:13,27		LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Crypt Warden Stats
Eladrin (Coure)			STARTFEATS:1	SIZE:T	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Eladrin|Extraplanar|Good	MONSTERCLASS:Outsider:2	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|4|TYPE=NaturalArmor					FACE:2.5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Eladrin (Coure)			BONUS:STAT|STR|-4	BONUS:STAT|DEX|14	BONUS:STAT|CON|2	BONUS:STAT|INT|2		BONUS:STAT|CHA|4	MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|Knowledge (The Planes)|Listen|Move Silently|Sense Motive|Spot|Survival|Use Rope	CR:2	KIT:1|CG	HITDICEADVANCEMENT:2,6	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Eladrin (Coure) Stats
Eladrin (Firre)			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Eladrin|Extraplanar|Good	MONSTERCLASS:Eladrin (Firre):8	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6,SPROP=+1d6 fire				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Eladrin (Firre)	DR:10/Cold Iron or Evil	SR:27	BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8	MONCSKILL:Bluff|Concentration|Diplomacy|Knowledge (The Planes)|TYPE.Perform|Sense Motive|Spellcraft|Survival	CR:10	KIT:1|CG	HITDICEADVANCEMENT:16,24	LEVELADJUSTMENT:10	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Eladrin (Firre) Stats
Eladrin (Shiradi)			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Eladrin|Extraplanar|Good	MONSTERCLASS:Outsider:12	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|14|TYPE=NaturalArmor					FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Eladrin (Shiradi)	DR:10/Cold Iron or Evil	SR:30	BONUS:STAT|STR|14	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|12	MONCSKILL:Concentration|Diplomacy|Gather Information|Heal|Intimidate|Knowledge (Local)|Knowledge (The Planes)|Knowledge (Religion)|Listen|TYPE.Perform|Sense Motive|Spot|Survival	CR:14	KIT:1|CG	HITDICEADVANCEMENT:18,36	LEVELADJUSTMENT:12	LEGS:2	HANDS:2	SOURCEPAGE:BoED	KIT:1|Eladrin (Shiradi) Stats
