SOURCELONG:Book of Exalted Deeds	SOURCESHORT:BoED	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																						
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Affliction				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Good	CLASSES:Cleric=3|Druid=3|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Evil creature touched.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:The subject contracts an affliction selected from the list below, which strikes immediately (no incubation period).	SOURCEPAGE:BoED								
Amber Sarcophagus				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:You infuse an amber sphere with magical power and hurl it toward the target. Material Component: An amber sphere worth at least 500 gp.	SOURCEPAGE:BoED		COST:500						
Armageddon				TYPE:Sanctified	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good		COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:2 or more summoned creatures, no two of which can be more than 30 ft. Apart.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:The caster opens a portal to one of the good-aligned outer planes and calls forth celestials to aid in battle against the most fearsome forces of evil. Sacrifice: 1 character level.	SOURCEPAGE:BoED								
Aspect of the Deity				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As lesser aspect of the deity, but you take on all the qualities of a celestial creature (see the Monster Manual for complete Details).	SOURCEPAGE:BoED								
Aspect of the Deity (Greater)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As lesser aspect of the deity, except that you take on the qualities of a half-celestial (see the Monster Manual for complete details). You do not gain the spell- ike abilities of these creatures.	SOURCEPAGE:BoED								
Aspect of the Deity (Lesser)				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Paladin=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:When you cast this spell, your body changes into a form that is more like your deity (in a very limited fashion, of course).	SOURCEPAGE:BoED								
Axiomnatic Creature				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S, M, XP, Archon	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One corporeal creature of lawful or neutral alignment that is native to the Material Plane.	DURATION:Permanent	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:This spell transforms the target into an axiomatic creature-a perfect version of itself. Material Component: A diamond wand worth at least 10,000 gp. XP Cost: 1,000 XP.	SOURCEPAGE:BoED		COST:10000	XPCOST:1000					
Ayailla's Radiant Burst				TYPE:Sanctified	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped burst.	DURATION:Instantaneous	SAVEINFO:Fortitude negates and Reflex half	SPELLRES:Yes	DESC:Shards of heavenly light spray from your fingertips, blinding evil creatures in their path for 1 round. Sacrifice: 1d2 points of Strength damage.	SOURCEPAGE:BoED								
Bastion of Good				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good	CLASSES:Cleric=7	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:20-ft-radius spherical emanation centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:A nimbus of light surrounds you, protecting you and those around you from spell effects and the attacks of evil creatures. Abstinence Component: You must fast for 24 hours before casting this spell.	SOURCEPAGE:BoED								
Blessed Sight				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=3|Paladin=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell makes your eyes glow with white light and allows you to see evil auras within 120 feet of you.	SOURCEPAGE:BoED								
Blinding Beauty				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Bard=4|Druid=4|Ranger=4	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain the physical beauty of a nymph, with some of the supernatural accompaniment. Abstinence Component: You must abstain from sexual intercourse for one week before casting this spell.	SOURCEPAGE:BoED								
Blinding Glory				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Good	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Close	TARGETAREA:100-ft/level radius spread, centered on you.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:A brilliant radiance spreads from you, brightly illuminating the area. Arcane Material Component: A polished rod of pure silver.	SOURCEPAGE:BoED								
Blood of the Martyr				TYPE:Spell	SCHOOL:Necromancy	SUBSCHOOL:Healing	DESCRIPTOR:Good	CLASSES:Cleric=4|Paladin=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Willing creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You may transfer your own hit points directly to a target creature within range.	SOURCEPAGE:BoED								
Bolt of Glory				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Good		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:By casting this spell, you project a bolt of energy from the Positive Energy Plane against one creature.	SOURCEPAGE:BoED								
