SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Warlocks are profi cient with all simple weapons. They are profi cient with light armor but not with shields. Because the somatic components required for warlock invocations are relatively simple, a warlock can use any of his invocations while wearing light armor without incurring the normal arcane spell failure chance. However, like arcane spellcasters, a warlock wearing medium or heavy armor or using a shield incurs a chance of arcane spell failure (all invocations, including eldritch blast, have a somatic component). A multiclass warlock still incurs the normal arcane spell failure chance for arcane spells received from levels in other classes.	KEY:Warlock ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfWarlock	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Invocations	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A warlock does not prepare or cast spells as other wielders of arcane magic do. Instead, he possesses a repertoire of attacks, defenses, and abilities known as invocations that require him to focus the wild energy that suffuses his soul. A warlock can use any invocation he knows at will, with the following qualifi cations: A warlock's invocations are spell-like abilities; using an invocation is therefore a standard action that provokes attacks of opportunity. An invocation can be disrupted, just as a spell can be ruined during casting. A warlock is entitled to a Concentration check to successfully use an invocation if he is hit by an attack while invoking, just as a spellcaster would be. A warlock can choose to use an invocation defensively, by making a successful Concentration check, to avoid provoking attacks of opportunity. A warlock's invocations are subject to spell resistance unless an invocation's description specifi cally states otherwise. A warlock's caster level with his invocations is equal to his warlock level. The save DC for an invocation (if it allows a save) is 10 + equivalent spell level + the warlock's Charisma modifi er. Since spell-like abilities are not actually spells, a warlock cannot benefi t from the Spell Focus feat. He can, however, benefi t from the Ability Focus feat (see page 303 of the Monster Manual), as well as from feats that emulate metamagic effects for spell-like abilities, such as Quicken Spell-Like Ability and Empower Spell-Like Ability (see pages 303 and 304 of the Monster Manual). The four grades of invocations, in order of their relative power, are least, lesser, greater, and dark. A warlock begins with knowledge of one invocation, which must be of the lowest grade (least). As a warlock gains levels, he learns new invocations, as summarized on Table 1-1 and described below. A list of available invocations can be found following this class description, and a complete description of each invocation can be found in Chapter 4 of this book. At any level when a warlock learns a new invocation, he can also replace an invocation he already knows with another invocation of the same or a lower grade. At 6th level, a warlock can replace a least invocation he knows with a different least invocation (in addition to learning a new invocation, which could be either least or lesser). At 11th level, a warlock can replace a least or lesser invocation he knows with another invocation of the same or a lower grade (in addition to learning a new invocation, which could be least, lesser, or greater). At 16th level, a warlock can replace a least, lesser, or greater invocation he knows with another invocation of the same or a lower grade (in addition to learning a new invocation, which could be least, lesser, greater, or dark). Finally, unlike other spell-like abilities, invocations are subject to arcane spell failure chance as described under Weapon and Armor Profi ciency above. Warlocks can qualify for some prestige classes usually intended for spellcasters; see Warlocks and Prestige Classes, page 18, for details.	KEY:Warlock ~ Invocations				DEFINE:Caster_Level_Warlock|0	DEFINE:Caster_Level_BL_Warlock|0	DEFINE:WarlockInvocationLVL|0	DEFINE:WarlockInvocation|0		BONUS:CASTERLEVEL|Warlock|Caster_Level_Warlock	BONUS:VAR|Caster_Level_Warlock|WarlockLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Warlock|charbonusto("PCLEVEL","Warlock")	BONUS:VAR|Caster_Level_Highest__Arcane|Caster_Level_Warlock+Caster_Level_BL_Warlock|TYPE=Base	BONUS:VAR|InvocationLVL|WarlockInvocationLVL					ABILITY:Special Ability|AUTOMATIC|Invocations	BONUS:ABILITYPOOL|Warlock Least Invocation|1+(WarlockInvocationLVL>=2)+(WarlockInvocationLVL>=4)	BONUS:ABILITYPOOL|Warlock Lesser Invocation|(WarlockInvocationLVL>=6)+(WarlockInvocationLVL>=8)+(WarlockInvocationLVL>=10)	BONUS:ABILITYPOOL|Warlock Greater Invocation|(WarlockInvocationLVL>=11)+(WarlockInvocationLVL>=13)+(WarlockInvocationLVL>=15)	BONUS:ABILITYPOOL|Warlock Dark Invocation|(WarlockInvocationLVL>=16)+(WarlockInvocationLVL>=18)+(WarlockInvocationLVL>=20)				SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Eldritch Blast	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The fi rst ability a warlock learns is eldritch blast. A warlock attacks his foes with eldritch power, using baleful magical energy to deal damage and sometimes impart other debilitating effects. An eldritch blast is a ray with a range of 60 feet. It is a ranged touch attack that affects a single target, allowing no saving throw. An eldritch blast deals 1d6 points of damage at 1st level and increases in power as the warlock rises in level. An eldritch blast is the equivalent of a spell whose level is equal to one-half the warlock's class level (round down), with a minimum spell level of 1st and a maximum of 9th when a warlock reaches 18th level or higher. An eldritch blast is subject to spell resistance, although the Spell Penetration feat and other effects that improve caster level checks to overcome spell resistance also apply to eldritch blast. An eldritch blast deals half damage to objects. Metamagic feats cannot improve a warlock's eldritch blast (because it is a spell-like ability, not a spell). However, the feat Ability Focus (eldritch blast) increases the DC for all saving throws (if any) associated with a warlock's eldritch blast by 2. See page 303 of the Monster Manual.	KEY:Warlock ~ Eldritch Blast				DEFINE:EldritchBlastDC|0					BONUS:VAR|EldritchBlastDC|DefaultDCCha	BONUS:VAR|EldritchBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Eldritch Blast)								ABILITY:Special Ability|AUTOMATIC|Eldritch Blast	AUTO:EQUIP|Eldritch Blast							SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Detect Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 2nd level, a warlock can use detect magic as the spell at will. His caster level equals his class level.	KEY:Warlock ~ Detect Magic																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=WarlockLVL|Detect Magic								SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Fortifi ed by the supernatural power fl owing in his body, a warlock becomes resistant to physical attacks at 3rd level and above, gaining damage reduction 1/cold iron. At 7th level and every four levels thereafter, a warlock's damage reduction improves as shown on Table 1-1.	KEY:Warlock ~ Damage Reduction				DEFINE:WarlockDR|0					BONUS:VAR|WarlockDR|(WarlockLVL+1)/4	BONUS:DR|Cold Iron|WarlockDR								DR:0/Cold Iron								SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Deceive Item	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level and higher, a warlock has the ability to more easily commandeer magic items made for the use of other characters. When making a Use Magic Device check, a warlock can take 10 even if distracted or threatened.	KEY:Warlock ~ Deceive Item																										SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Fiendish Resilience	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 8th level, a warlock knows the trick of fi endish resilience. Once per day, as a free action, he can enter a state that lasts for 2 minutes. While in this state, the warlock gains fast healing 1. At 13th level, a warlock's fi endish resilience improves. When in his fi endish resilience state, he gains fast healing 2 instead. At 18th level, a warlock's fi endish resilience improves to fast healing 5.	KEY:Warlock ~ Fiendish Resilience																										SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Energy Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level and higher, a warlock has resistance 5 against any two of the following energy types: acid, cold, electricity, fi re, and sonic. Once the types are chosen, this energy resistance cannot be changed. At 20th level, a warlock gains resistance 10 against the two selected types of energy.	KEY:Warlock ~ Energy Resistance				DEFINE:WarlockEnergyResistance|0					BONUS:VAR|WarlockEnergyResistance|5|PREVARGTEQ:WarlockLVL,10	BONUS:VAR|WarlockEnergyResistance|5|PREVARGTEQ:WarlockLVL,20	BONUS:ABILITYPOOL|Warlock Energy Resistance|2															SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Acid	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockEnergyResistance	VISIBLE:YES		KEY:Warlock ~ Energy Resistance ~ Acid									BONUS:VAR|AcidResistanceBonus|WarlockEnergyResistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Acid								SORTKEY:Class_Warlock	SOURCEPAGE:CA	
Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.WarlockEnergyResistance	VISIBLE:YES		KEY:Warlock ~ Energy Resistance ~ Cold									BONUS:VAR|ColdResistanceBonus|WarlockEnergyResistance									ABILITY:Special Ability|AUTOMATIC|Resistance to Cold								SORTKEY:Class_Warlock	SOURCEPAGE:CA	
