SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Favored souls are proficient with all simple weapons, with light and medium armor, and with shields (except tower shields). A favored soul is also proficient with her deity's favored weapon. Although a favored soul is not proficient with heavy armor, wearing it does not interfere with her spellcasting.	KEY:Favored Soul ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfFavoredSoul								SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A favored soul casts divine spells (the same type of spells available to clerics), which are drawn from the cleric spell list. She can cast any spell she knows without preparing it ahead of time the way a cleric must. To cast a spell, a favored soul must have a Charisma score of 10 + the spell's level (Cha 10 for 0-level spells, Cha 11 for 1st-level spells, and so forth). The Diffi culty Class for a saving throw against a favored soul's spell is 10 + the spell's level + the favored soul's Wisdom modifi er. Like other spellcasters, a favored soul can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1-1: The Favored Soul. In addition, she receives bonus spells for a high Charisma. Unlike a cleric, a favored soul's selection of spells is limited. A favored soul begins play knowing four 0-level spells and three 1st-level spells of your choice. At each new favored soul level, she gains one or more new spells, as indicated on Table 1-2: Favored Soul Spells Known. (Unlike spells per day, her Charisma score does not affect the number of spells a favored soul knows; the numbers on Table 1-2 are fi xed.) Upon reaching 4th level, and at every even-numbered favored soul level after that (6th, 8th, and so on), a favored soul can choose to learn a new spell in place of one she already knows. In effect, the favored soul "loses" the old spell in exchange for the new one. The new spell's level must be the same as that of the spell being exchanged, and it must be at least two levels lower than the highest-level favored soul spell the favored soul can cast. A favored soul may swap only a single spell at any given level, and must choose whether or not to swap the spell at the same time that she gains new spells known for the level. Unlike a cleric, a favored soul need not prepare her spells in advance. She can cast any spell she knows at any time, assuming she has not yet used up her spells per day for that spell level.	KEY:Favored Soul ~ Spells				DEFINE:Caster_Level_Favored_Soul|0	DEFINE:Caster_Level_BL_Favored_Soul|0				BONUS:CASTERLEVEL|Favored Soul|Caster_Level_Favored_Soul	BONUS:VAR|Caster_Level_Favored Soul|FavoredSoulLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Favored_Soul|charbonusto("PCLEVEL","Favored Soul")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Favored_Soul+Caster_Level_BL_Favored_Soul|TYPE=Base														SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Deity's Weapon Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 3rd level, a favored soul gains the Weapon Focus feat with her deity's favored weapon. If the character already has that feat, she can choose a different one.	KEY:Favored Soul ~ Deity's Weapon Focus									BONUS:ABILITYPOOL|Favored Soul Weapon Focus|1																	SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Energy Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a favored soul chooses an energy type and gains resistance 10 against that type. At 10th level and 15th level, the character gains resistance 10 against another energy type of her choosing.	KEY:Favored Soul ~ Energy Resistance									BONUS:ABILITYPOOL|Favored Soul Energy Resistance|min(3,(FavoredSoulLVL/5))																	SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Deity's Weapon Specialization	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At 12th level, a favored soul gains the Weapon Specialization feat with her deity's favored weapon. If she already has that feat, she can choose a different one.	KEY:Favored Soul ~ Deity's Weapon Specialization									BONUS:ABILITYPOOL|Favored Soul Weapon Specialization|1																	SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Wings	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 17th level, a favored soul gains wings and can fl y at a speed of 60 feet (good maneuverability). A good-aligned favored soul grows feathered wings, and an evil-aligned favored soul gains batlike wings. A favored soul who is neither good nor evil may choose either type of wings.	KEY:Favored Soul ~ Wings									BONUS:ABILITYPOOL|Favored Soul Wings|1																	SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.FavoredSoulClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 20th-level favored soul gains damage reduction. If the character is lawful-aligned, the damage reduction is 10/silver. If the character is chaotic-aligned, the damage reduction is 10/cold iron. A favored soul who is neither lawful nor chaotic may choose either type of damage reduction.	KEY:Favored Soul ~ Damage Reduction				DEFINE:FavoredSoulDR|0					BONUS:ABILITYPOOL|Favored Soul Damage Reduction|1	BONUS:VAR|FavoredSoulDR|10																SORTKEY:Class_Favored_Soul	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Shugenjas are proficient with all simple weapons and with the short sword (they often carry a masterwork short sword called a wakizashi). They are not profi cient with any type of armor, nor with shields. In their home culture, it is considered inappropriate for a shugenja to wear armor, although shugenjas serving with the military or traveling in foreign lands sometimes take the time to learn how to wear armor properly.	KEY:Shugenja ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfShugenja								SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Sense Elements	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:One of the first "spells" a shugenja learns-a magical effect so basic that it becomes a spell-like ability-is the ability to sense elements. As a full-round action, a shugenja can become aware of all sources of one chosen element (air, earth, fi re, or water) within 10 feet of him. The shugenja learns the size of the objects but not their precise location or actual nature. By concentrating longer, a shugenja can either extend her magical senses or gather more information about the elements he has detected. Each additional round spent in concentration allows the shugenja to add 5 feet to the radius of his sense ability, to a maximum of 5 additional feet per shugenja level. Thus, at 4th level, Kitsu Mari can sense elements to a maximum range of 30 feet by concentrating for five full rounds. Alternatively, the shugenja can focus on one source of the sensed element per round, attempting a Spellcraft check to determine more about that single item. The amount of information he learns depends on his Spellcraft check result. In subsequent rounds, a shugenja can retry his Spellcraft check on the same item, shift his attention to a different item, or extend the range of his senses. A 1st-level shugenja can use this ability three times per day. Every five levels he advances as a shugenja allows him to use the ability an additional time per day (four times at 5th level, five times at 10th level, and so one). Like many divination spells, a shugenja's sense elements ability is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.	KEY:Shugenja ~ Sense Elements																										SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.ShugenjaClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A shugenja casts divine spells (the same type of spells available to clerics and druids), which are drawn from the shugenja spell list (page XX). He can cast any spell he knows without preparing it ahead of time, the way a wizard or a cleric must (see below). To learn or cast a spell, a shugenja must have a Charisma score equal to at least 10 + the spell level (Cha 10 for 0-level spells, Cha 11 for 1st-level spells, and so forth). The Difficulty Class for a saving throw against a shugenja's spell is 10 + the spell level + the shugenja's Charisma modifier. Like other spellcasters, a shugenja can cast only a certain number of spells of each spell level per day. His base daily spell allotment is given on Table 1-3: The Shugenja. In addition, he receives bonus spells per day if he has a high Charisma score (see page 8 in the Player's Handbook). A shugenja's selection of spells is extremely limited. A shugenja begins play knowing four 0-level spells and two 1st-level spells of his choice, plus one 0-level spell and one 1st-level spell determined by his shugenja order. At each new shugenja level, he gains one or more new spells as indicated on Table 1-4: Shugenja Spells Known. (Unlike spells per day, the number of spells a shugenja knows is not affected by his Charisma score; the numbers on Table 1-4 are fixed.) One spell of every level is determined by the shugenja's order; sometimes these spells are normal spells on the shugenja spell list, but often they are additions to the spell list. These spells are listed with the shugenja spell list below. Half of the spells a shugenja knows must be of his chosen element, as indicated on Table 1-4. A shugenja may use a higher-level slot to cast a lower-level spell if he so chooses. For example, if an 8th-level shugenja has used up all his 3rd-level spell slots for the day but wants to cast another one, he could use a 4th-level slot to do so. The spell is still treated as its actual level, not the level of the slot used to cast it. Upon reaching 4th level, and at every even-numbered shugenja level after that (6th, 8th, and so on), a shugenja can choose to learn a new spell in place of one he already knows. In effect, the shugenja "loses" the old spell in exchange for the new one. The new spell's level must be at least two levels lower than the highest-level shugenja spell the shugenja can cast. For instance, upon reaching 4th level, a shugenja could trade in a single 0-level spell (two spell levels below the highest-level shugenja spell he can cast, which is 2nd) for a different 0-level spell. At 6th level, he could trade in a single 0-level or 1st-level spell (since he now can cast 3rdlevel shugenja spells) for a different spell of the same level. A shugenja may swap only a single spell at any given level, and must choose whether or not to swap the spell at the same time that he gains new spells known for the level. A shugenja still must honor his elemental focus. Shugenjas do not have spellbooks, though they write their spells on ofudas. These ofudas serve as divine focus items and must be read as part of the spellcasting process. Shugenjas can use the Scribe Scroll feat to create magic scrolls that work the same as a wizard or cleric's scrolls. When casting metamagic spells, remember that the shugenja has not prepared the spell in advance, and is doing so on the spot. The shugenja, therefore, must take more time to cast a metamagic spell than a regular spell. If its normal casting time is 1 standard action, casting a metamagic spell is a full-round action for a shugenja. For spells with a longer casting time, it takes an extra full-round action to cast the spell. Shugenjas cannot use the Quicken Spell metamagic feat.	KEY:Shugenja ~ Spells				DEFINE:Caster_Level_Shugenja|0	DEFINE:Caster_Level_BL_Shugenja|0				BONUS:CASTERLEVEL|Shugenja|Caster_Level_Shugenja	BONUS:VAR|Caster_Level_Shugenja|ShugenjaLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Shugenja|charbonusto("PCLEVEL","Shugenja")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Shugenja+Caster_Level_BL_Shugenja|TYPE=Base														SORTKEY:Class_Shugenja	SOURCEPAGE:CD				
