SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
#								
#	ALIGN:	DEITYWEAP:	DESC: ()	DOMAINS:|PREALIGN:	TYPE:	FACTSET:Pantheon|	SOURCEPAGE:	
#Mosat	ALIGN:CG	DEITYWEAP:Tiger claws	DESC:The CONTENTed One	DOMAINS:Chaos,Knowledge,Animal		PANTHEON:BoD	SOURCEPAGE:not recorded yet	SYMBOL:a Kitten on a keyboard
###Block: Core								
Bahamut	ALIGN:LG	DEITYWEAP:Pick (Heavy)|Bite	DESC:Bahamut (M)	DOMAINS:Air,Cold,Good,Luck,Protection|PREALIGN:LG,LN,NG	TYPE:Lesser	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Boccob	ALIGN:TN	DEITYWEAP:Quarterstaff	DESC:Boccob (M)	DOMAINS:Knowledge,Magic,Mind,Oracle,Trickery|PREALIGN:LN,NG,TN,NE,CN	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Corellon Larethian	ALIGN:CG	DEITYWEAP:Longsword	DESC:Corellon Larethian (M)	DOMAINS:Chaos,Community,Good,Protection,War|PREALIGN:NG,CG,CN	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Ehlonna	ALIGN:NG	DEITYWEAP:Longbow	DESC:Ehlonna (F)	DOMAINS:Animal,Celerity,Good,Plant,Sun|PREALIGN:LG,LN,CG,NG	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Erythnul	ALIGN:CE	DEITYWEAP:Morningstar	DESC:Erithnul (M)	DOMAINS:Chaos,Evil,Madness,Trickery,War|PREALIGN:NE,CE,CN	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Fharlanghn	ALIGN:TN	DEITYWEAP:Quarterstaff	DESC:Fharlanghn (M)	DOMAINS:Celerity,Luck,Protection,Travel,Weather|PREALIGN:LN,NG,TN,NE,CN	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Garl Glittergold	ALIGN:NG	DEITYWEAP:Battleaxe	DESC:Garl Glittergold (M)	DOMAINS:Community,Creation,Good,Protection,Trickery|PREALIGN:LG,LN,CG,NG	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Gruumsh	ALIGN:CE	DEITYWEAP:Shortspear|Longspear	DESC:Gruumsh (M)	DOMAINS:Chaos,Domination,Evil,Strength,War|PREALIGN:NE,CE,CN	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Heironeous	ALIGN:LG	DEITYWEAP:Longsword	DESC:Heironeous (M)	DOMAINS:Glory,Good,Inquisition,Law,War|PREALIGN:LG,LN,NG	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Hextor	ALIGN:LE	DEITYWEAP:Flail	DESC:Hextor (M)	DOMAINS:Destruction,Domination,Evil,Law,War|PREALIGN:NE,LE,LN	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Kord	ALIGN:CG	DEITYWEAP:Greatsword	DESC:Kord (M)	DOMAINS:Chaos,competition,Good,Luck,Strength|PREALIGN:NG,CG,CN	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Kurtumlak	ALIGN:LE	DEITYWEAP:Spear	DESC:Kurtumlack ()	DOMAINS:Evil,Law,Luck,Trickery|PREALIGN:LN,LE,NE	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Lolth	ALIGN:CE	DEITYWEAP:Whip	DESC:Lolth (F)	DOMAINS:Chaos,Destruction,Evil,Trickery|PREALIGN:NE,CN,CE	TYPE:Intermediate	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Moradin	ALIGN:LG	DEITYWEAP:Warhammer	DESC:Moradin (M)	DOMAINS:Creation,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
Nerull	ALIGN:NE	DEITYWEAP:Scythe	DESC:Nerull (M)	DOMAINS:Death,Evil,Pestilence,Trickery|PREALIGN:LE,TN,NE,CE	TYPE:Greater	FACTSET:Pantheon|None	SOURCEPAGE:CD	
